date,AAPL_log_rv,AMZN_log_rv,JPM_log_rv
2016-01-04,-3.839511,-3.927129,-4.451811
2016-01-05,-4.069714,-3.915969,-4.536704
2016-01-06,-3.949863,-3.828992,-4.455090
2016-01-07,-3.885971,-3.629876,-4.123294
2016-01-08,-3.863461,-3.958590,-3.937666
2016-01-11,-4.236611,-3.873885,-4.220876
2016-01-12,-4.229087,-4.182982,-4.167616
2016-01-13,-3.900501,-3.647418,-4.073731
2016-01-14,-3.985707,-3.370663,-3.636045
2016-01-15,-4.119992,-3.709519,-3.967249
2016-01-19,-4.041704,-3.952980,-4.055559
2016-01-20,-3.767231,-3.367490,-3.911020
2016-01-21,-3.818397,-3.580810,-4.048130
2016-01-22,-4.147032,-4.463570,-4.525060
2016-01-25,-4.226817,-4.099233,-4.255624
2016-01-26,-3.962799,-3.900142,-4.325508
2016-01-27,-3.953289,-3.665600,-3.836509
2016-01-28,-3.940524,-3.647130,-3.980155
2016-01-29,-4.509872,-3.644202,-4.360657
2016-02-01,-4.492358,-4.214745,-4.390298
2016-02-02,-4.369310,-3.661566,-4.358228
2016-02-03,-4.025292,-3.409636,-3.686663
2016-02-04,-3.999742,-3.543560,-3.889180
2016-02-05,-4.171298,-3.634088,-3.987095
2016-02-08,-4.000990,-3.214454,-3.921214
2016-02-09,-3.972936,-3.211670,-3.902091
2016-02-10,-4.264530,-3.525084,-4.057277
2016-02-11,-4.113152,-3.471047,-3.778850
2016-02-12,-4.489147,-4.007525,-3.968893
2016-02-16,-4.445385,-3.996455,-4.564954
2016-02-17,-4.490147,-4.158071,-4.432837
2016-02-18,-4.643112,-4.043202,-4.142914
2016-02-19,-4.447700,-3.932884,-4.269207
2016-02-22,-4.642799,-4.265518,-4.878527
2016-02-23,-4.843412,-4.273946,-4.291344
2016-02-24,-4.277787,-3.832267,-4.060875
2016-02-25,-4.443606,-3.954465,-4.364869
2016-02-26,-4.639067,-4.355484,-4.297571
2016-02-29,-4.556983,-4.252485,-4.418646
2016-03-01,-4.451377,-4.204555,-4.151340
2016-03-02,-4.542285,-4.200195,-4.113703
2016-03-03,-4.513594,-4.575615,-4.585447
2016-03-04,-4.282368,-4.442271,-4.177170
2016-03-07,-4.477325,-4.001387,-4.552580
2016-03-08,-4.430002,-4.042312,-4.276570
2016-03-09,-4.605480,-4.392138,-4.375335
2016-03-10,-4.273317,-3.953576,-4.169902
2016-03-11,-4.824321,-4.668642,-4.674292
2016-03-14,-4.736451,-4.670254,-4.645316
2016-03-15,-4.663989,-4.393236,-4.769629
2016-03-16,-4.600189,-4.078900,-4.173418
2016-03-17,-4.728173,-4.231556,-4.455267
2016-03-18,-4.803278,-3.983995,-4.310834
2016-03-21,-4.477087,-4.036104,-4.651716
2016-03-22,-4.735077,-4.305741,-4.663735
2016-03-23,-4.954124,-4.257600,-4.717761
2016-03-24,-4.957042,-4.393095,-4.739748
2016-03-28,-4.888565,-4.549062,-4.901777
2016-03-29,-4.785004,-4.350540,-4.817970
2016-03-30,-4.560028,-4.464174,-4.666471
2016-03-31,-4.780476,-4.697833,-4.769542
2016-04-01,-4.527821,-4.702564,-4.598655
