date,actual,rw,ar,har,arfima,fnn,lstm,nar
2022-04-20,-4.408297,-4.522126,-4.469252,-4.450472,-4.424901,-4.424542,-4.446313,-4.458848
2022-04-21,-4.179529,-4.408297,-4.428727,-4.413239,-4.398088,-4.410095,-4.454916,-4.427535
2022-04-22,-4.002815,-4.179529,-4.296865,-4.292612,-4.287414,-4.289105,-4.333446,-4.246201
2022-04-25,-3.797045,-4.002815,-4.202970,-4.190037,-4.175065,-4.126864,-4.164030,-4.156742
2022-04-26,-4.159478,-3.797045,-4.041373,-4.066677,-4.040916,-3.989732,-3.979909,-4.009859
2022-04-27,-3.940930,-4.159478,-4.152453,-4.203338,-4.169822,-4.088728,-4.098998,-4.118128
2022-04-28,-3.949639,-3.940930,-4.062464,-4.073491,-4.084709,-4.027586,-4.060853,-4.070107
2022-04-29,-3.758505,-3.949639,-4.024334,-4.058279,-4.067373,-4.031566,-4.040503,-4.006256
2022-05-02,-3.648545,-3.758505,-3.965653,-3.951111,-3.964848,-3.950631,-3.917251,-3.957303
2022-05-03,-4.019652,-3.648545,-3.849641,-3.886783,-3.880519,-3.903793,-3.806191,-3.861313
2022-05-04,-3.751974,-4.019652,-4.012177,-4.040255,-4.026795,-3.994009,-3.955960,-3.990149
2022-05-05,-3.796237,-3.751974,-3.901875,-3.904805,-3.925328,-3.936675,-3.902772,-3.922049
2022-05-06,-3.588442,-3.796237,-3.887768,-3.908687,-3.922860,-3.944802,-3.889716,-3.895832
2022-05-09,-3.764380,-3.588442,-3.824649,-3.799438,-3.816022,-3.883862,-3.762978,-3.859022
2022-05-10,-3.806706,-3.764380,-3.847237,-3.883883,-3.868508,-3.909370,-3.802050,-3.857066
2022-05-11,-3.570279,-3.806706,-3.891159,-3.885289,-3.892698,-3.923961,-3.852478,-3.901288
2022-05-12,-3.316550,-3.570279,-3.758455,-3.761680,-3.783246,-3.881901,-3.758131,-3.813124
2022-05-13,-3.852314,-3.316550,-3.617960,-3.606994,-3.632315,-3.831637,-3.572030,-3.746566
2022-05-16,-4.034737,-3.852314,-3.843861,-3.861277,-3.841665,-3.909045,-3.753546,-3.866060
2022-05-17,-4.113175,-4.034737,-3.975215,-3.957555,-3.969126,-3.994064,-3.981893,-3.983402
2022-05-18,-4.001872,-4.113175,-4.039414,-4.011570,-4.045078,-4.086323,-4.125152,-4.032063
2022-05-19,-3.568566,-4.001872,-4.078908,-3.988672,-4.020657,-4.067873,-4.104356,-4.067266
2022-05-20,-3.641950,-3.568566,-3.865479,-3.804524,-3.810958,-3.890380,-3.844382,-3.841811
2022-05-23,-3.787125,-3.641950,-3.837531,-3.817620,-3.793548,-3.856227,-3.760249,-3.836511
2022-05-24,-3.764813,-3.787125,-3.883911,-3.863213,-3.841792,-3.886473,-3.818425,-3.885836
2022-05-25,-3.975789,-3.764813,-3.840819,-3.828954,-3.839103,-3.893548,-3.847658,-3.850847
2022-05-26,-4.064537,-3.975789,-3.963518,-3.922716,-3.930768,-3.987114,-3.975106,-3.953694
2022-05-27,-4.250407,-4.064537,-4.061603,-3.994261,-3.994259,-4.054264,-4.075848,-4.047235
2022-05-31,-4.052902,-4.250407,-4.180017,-4.119754,-4.098939,-4.194162,-4.219699,-4.143618
2022-06-01,-4.064220,-4.052902,-4.142775,-4.049098,-4.047536,-4.120680,-4.162549,-4.094740
2022-06-02,-4.240557,-4.064220,-4.139372,-4.075502,-4.048439,-4.112035,-4.136166,-4.082229
2022-06-03,-4.067937,-4.240557,-4.245710,-4.175919,-4.128346,-4.196124,-4.220075,-4.198675
2022-06-06,-4.212374,-4.067937,-4.159412,-4.099152,-4.076416,-4.126996,-4.168309,-4.104836
2022-06-07,-4.407981,-4.212374,-4.217058,-4.164609,-4.132244,-4.200321,-4.220984,-4.172103
2022-06-08,-4.263377,-4.407981,-4.354857,-4.279738,-4.234177,-4.332870,-4.350039,-4.345777
2022-06-09,-4.187762,-4.263377,-4.296970,-4.232229,-4.203402,-4.296892,-4.330327,-4.255627
2022-06-10,-4.122888,-4.187762,-4.265761,-4.197625,-4.170875,-4.244355,-4.271411,-4.213818
2022-06-13,-3.892122,-4.122888,-4.238888,-4.174084,-4.136294,-4.171490,-4.203341,-4.193949
2022-06-14,-3.937909,-3.892122,-4.086188,-4.051778,-4.025206,-4.031476,-4.053874,-4.025657
2022-06-15,-3.588477,-3.937909,-4.058364,-4.045653,-4.012762,-4.010118,-4.014248,-4.014019
2022-06-16,-4.044676,-3.588477,-3.864868,-3.842852,-3.847598,-3.870200,-3.814182,-3.883116
2022-06-17,-3.944514,-4.044676,-4.013097,-4.038697,-3.997810,-4.014661,-3.986073,-3.993055
2022-06-21,-4.396741,-3.944514,-4.021885,-3.981012,-3.981993,-3.990491,-4.010473,-4.031193
2022-06-22,-4.022843,-4.396741,-4.215364,-4.219419,-4.179602,-4.274911,-4.279499,-4.207420
2022-06-23,-4.206441,-4.022843,-4.151952,-4.060236,-4.082560,-4.118495,-4.162356,-4.139972
2022-06-24,-4.258986,-4.206441,-4.195921,-4.186245,-4.146705,-4.191646,-4.211252,-4.158879
2022-06-27,-4.305651,-4.258986,-4.295582,-4.226925,-4.186512,-4.214661,-4.254467,-4.262523
2022-06-28,-4.279154,-4.305651,-4.286175,-4.274831,-4.222562,-4.277663,-4.307366,-4.263525
2022-06-29,-4.057176,-4.279154,-4.308304,-4.257473,-4.225522,-4.279417,-4.308153,-4.265871
2022-06-30,-3.768837,-4.057176,-4.199356,-4.160019,-4.131620,-4.154346,-4.182910,-4.172790
2022-07-01,-4.044899,-3.768837,-4.019732,-3.998565,-3.979335,-3.987371,-3.967295,-3.949849
