date,actual,rw,ar,har,arfima,fnn,lstm,nar
2022-04-20,-4.248732,-4.458256,-4.358166,-4.361290,-4.373660,-4.337088,-4.433322,-4.376813
2022-04-21,-4.447357,-4.248732,-4.325589,-4.285115,-4.292999,-4.349895,-4.367524,-4.305012
2022-04-22,-4.228238,-4.447357,-4.411452,-4.411735,-4.384346,-4.386235,-4.450196,-4.363642
2022-04-25,-3.966359,-4.228238,-4.337341,-4.315055,-4.291329,-4.335412,-4.351094,-4.291169
2022-04-26,-4.109745,-3.966359,-4.160615,-4.174106,-4.146899,-4.255566,-4.182127,-4.114505
2022-04-27,-4.262160,-4.109745,-4.191006,-4.208845,-4.184204,-4.183820,-4.166669,-4.160927
2022-04-28,-4.353462,-4.262160,-4.246370,-4.275346,-4.255843,-4.199568,-4.255166,-4.241331
2022-04-29,-4.163767,-4.353462,-4.303254,-4.308684,-4.313403,-4.280349,-4.360128,-4.299028
2022-05-02,-3.912933,-4.163767,-4.251869,-4.217552,-4.233489,-4.293446,-4.295539,-4.235683
2022-05-03,-4.132607,-3.912933,-4.115937,-4.097743,-4.095735,-4.213367,-4.123548,-4.062703
2022-05-04,-3.863345,-4.132607,-4.176821,-4.193613,-4.173686,-4.169398,-4.157989,-4.124712
2022-05-05,-3.973335,-3.863345,-4.035450,-4.045690,-4.042292,-4.141129,-4.026136,-4.025599
2022-05-06,-3.962795,-3.973335,-4.035457,-4.066433,-4.070833,-4.137783,-4.049251,-4.031946
2022-05-09,-3.992134,-3.962795,-4.050290,-4.046208,-4.060043,-4.124815,-4.034368,-4.053638
2022-05-10,-3.877514,-3.992134,-4.043926,-4.061201,-4.069239,-4.137049,-4.063475,-4.021207
2022-05-11,-3.818328,-3.877514,-4.001059,-3.989492,-4.009470,-4.127992,-4.004012,-3.982000
2022-05-12,-3.806931,-3.818328,-3.951755,-3.954669,-3.965697,-4.111765,-3.944317,-3.938245
2022-05-13,-4.234825,-3.806931,-3.928243,-3.934640,-3.946372,-4.096588,-3.905671,-3.918374
2022-05-16,-4.035636,-4.234825,-4.127359,-4.145709,-4.150045,-4.132185,-4.147411,-4.100185
2022-05-17,-4.226865,-4.035636,-4.094333,-4.061034,-4.085854,-4.165839,-4.136014,-4.081697
2022-05-18,-4.127749,-4.226865,-4.193105,-4.169302,-4.182045,-4.219533,-4.251225,-4.166816
2022-05-19,-4.081048,-4.127749,-4.204847,-4.145398,-4.150681,-4.210625,-4.215613,-4.168459
2022-05-20,-4.186007,-4.081048,-4.159290,-4.139724,-4.127959,-4.124954,-4.203134,-4.108675
2022-05-23,-3.957965,-4.186007,-4.215681,-4.183225,-4.177396,-4.154756,-4.232306,-4.180779
2022-05-24,-3.682600,-3.957965,-4.104412,-4.072523,-4.070761,-4.057765,-4.139488,-4.083599
2022-05-25,-4.343715,-3.682600,-3.928211,-3.909005,-3.913173,-3.927238,-3.946805,-3.964351
2022-05-26,-4.484637,-4.343715,-4.204361,-4.221378,-4.209490,-4.148363,-4.181792,-4.155324
2022-05-27,-4.621290,-4.484637,-4.343972,-4.314116,-4.325886,-4.320156,-4.415561,-4.340519
2022-05-31,-4.254808,-4.621290,-4.468568,-4.406930,-4.433882,-4.562274,-4.582305,-4.479541
2022-06-01,-4.323074,-4.254808,-4.389535,-4.262458,-4.284690,-4.404787,-4.453851,-4.367696
2022-06-02,-4.372919,-4.323074,-4.385088,-4.336412,-4.304817,-4.368085,-4.405937,-4.299933
2022-06-03,-4.346004,-4.372919,-4.406484,-4.364171,-4.331239,-4.348428,-4.410254,-4.358684
2022-06-06,-4.538939,-4.346004,-4.368438,-4.343783,-4.324972,-4.358791,-4.417242,-4.349315
2022-06-07,-4.535665,-4.538939,-4.472914,-4.429564,-4.424867,-4.479427,-4.510774,-4.466929
2022-06-08,-4.465422,-4.535665,-4.509275,-4.450408,-4.445012,-4.527417,-4.555027,-4.501845
2022-06-09,-4.240236,-4.465422,-4.485920,-4.431482,-4.422659,-4.520062,-4.539165,-4.462921
2022-06-10,-4.068757,-4.240236,-4.379256,-4.322704,-4.309867,-4.361567,-4.411921,-4.344804
2022-06-13,-4.055489,-4.068757,-4.245274,-4.228149,-4.202153,-4.187469,-4.257611,-4.203810
2022-06-14,-4.056686,-4.055489,-4.180707,-4.191573,-4.167176,-4.100682,-4.174428,-4.160776
2022-06-15,-3.843302,-4.056686,-4.141176,-4.162014,-4.150537,-4.073797,-4.150197,-4.143649
2022-06-16,-4.005887,-3.843302,-4.012021,-4.022218,-4.030894,-3.981713,-4.039070,-4.046780
2022-06-17,-4.008365,-4.005887,-4.056016,-4.079742,-4.085625,-4.011286,-4.058869,-4.052730
2022-06-21,-4.403142,-4.008365,-4.068732,-4.075228,-4.085097,-4.014400,-4.082373,-4.063618
2022-06-22,-4.466393,-4.403142,-4.263010,-4.278235,-4.283403,-4.245028,-4.312213,-4.221922
2022-06-23,-4.195071,-4.466393,-4.383347,-4.336575,-4.351283,-4.400966,-4.439599,-4.378217
