date,actual,arfimax
2022-04-20,-4.408297,-4.448093
2022-04-21,-4.179529,-4.405000
2022-04-22,-4.002815,-4.220208
2022-04-25,-3.797045,-3.953373
2022-04-26,-4.159478,-4.043144
2022-04-27,-3.940930,-3.850424
2022-04-28,-3.949639,-3.981930
2022-04-29,-3.758505,-4.054658
2022-05-02,-3.648545,-3.714721
2022-05-03,-4.019652,-3.874702
2022-05-04,-3.751974,-4.023820
2022-05-05,-3.796237,-4.088858
2022-05-06,-3.588442,-3.787703
2022-05-09,-3.764380,-3.842420
2022-05-10,-3.806706,-3.684172
2022-05-11,-3.570279,-3.877708
2022-05-12,-3.316550,-3.743608
2022-05-13,-3.852314,-3.756464
2022-05-16,-4.034737,-3.979240
2022-05-17,-4.113175,-4.009705
2022-05-18,-4.001872,-4.119133
2022-05-19,-3.568566,-3.848336
2022-05-20,-3.641950,-3.845332
2022-05-23,-3.787125,-3.897700
2022-05-24,-3.764813,-3.935918
2022-05-25,-3.975789,-3.870124
2022-05-26,-4.064537,-4.028511
2022-05-27,-4.250407,-4.063996
2022-05-31,-4.052902,-4.176804
2022-06-01,-4.064220,-4.061376
2022-06-02,-4.240557,-4.116290
2022-06-03,-4.067937,-4.188213
2022-06-06,-4.212374,-4.101843
2022-06-07,-4.407981,-4.165848
2022-06-08,-4.263377,-4.269155
2022-06-09,-4.187762,-4.192745
2022-06-10,-4.122888,-4.088411
2022-06-13,-3.892122,-4.028858
2022-06-14,-3.937909,-3.709358
2022-06-15,-3.588477,-3.877806
2022-06-16,-4.044676,-3.873506
2022-06-17,-3.944514,-3.769666
2022-06-21,-4.396741,-3.962113
2022-06-22,-4.022843,-4.110184
2022-06-23,-4.206441,-4.002728
2022-06-24,-4.258986,-4.097342
2022-06-27,-4.305651,-4.179605
2022-06-28,-4.279154,-4.128467
2022-06-29,-4.057176,-4.085964
2022-06-30,-3.768837,-4.070394
2022-07-01,-4.044899,-3.913932
2022-07-05,-4.008366,-4.107508
2022-07-06,-3.925088,-4.057736
2022-07-07,-4.717612,-4.064390
2022-07-08,-4.333950,-4.329103
2022-07-11,-4.421259,-4.190433
2022-07-12,-4.021827,-4.196214
2022-07-13,-3.676994,-3.981397
2022-07-14,-4.205546,-3.946679
2022-07-15,-4.402469,-4.154056
2022-07-18,-4.225309,-4.251382
2022-07-19,-4.452818,-4.069858
2022-07-20,-4.243542,-4.278741
2022-07-21,-4.331349,-4.176630
2022-07-22,-4.310948,-4.265368
2022-07-25,-4.532739,-4.197320
2022-07-26,-4.722634,-4.280216
2022-07-27,-4.108243,-4.288570
2022-07-28,-4.394662,-4.225564
2022-07-29,-4.032282,-4.360471
2022-08-01,-4.359690,-4.249984
2022-08-02,-4.320902,-4.245073
2022-08-03,-4.522145,-4.205752
2022-08-04,-4.352081,-4.393183
2022-08-05,-4.570189,-4.292614
2022-08-08,-4.279003,-4.415114
2022-08-09,-4.621632,-4.264840
2022-08-10,-4.601372,-4.386405
2022-08-11,-4.691963,-4.505434
2022-08-12,-4.812926,-4.491571
2022-08-15,-4.747210,-4.612660
2022-08-16,-4.701001,-4.577161
2022-08-17,-4.402071,-4.563046
2022-08-18,-4.579702,-4.454266
2022-08-19,-4.783212,-4.531211
2022-08-22,-4.802785,-4.525323
2022-08-23,-4.429998,-4.433010
2022-08-24,-4.769684,-4.362890
2022-08-25,-4.758530,-4.546129
2022-08-26,-3.949499,-4.612865
2022-08-29,-4.197160,-4.128109
2022-08-30,-4.174236,-4.155284
2022-08-31,-4.293734,-4.143445
2022-09-01,-4.141875,-4.202227
2022-09-02,-4.176822,-4.212003
2022-09-06,-4.134837,-4.172540
2022-09-07,-4.375179,-4.090649
2022-09-08,-4.127972,-4.287618
2022-09-09,-4.631272,-4.241202
2022-09-12,-4.442703,-4.400007
2022-09-13,-4.474823,-4.340608
2022-09-14,-4.172618,-4.184967
2022-09-15,-4.247667,-4.222484
2022-09-16,-4.144522,-4.189207
2022-09-19,-4.327144,-4.164289
2022-09-20,-4.237705,-4.233599
2022-09-21,-3.461983,-4.150114
2022-09-22,-4.072427,-3.881667
2022-09-23,-4.212847,-4.036440
2022-09-26,-3.966776,-4.009725
2022-09-27,-3.957361,-3.890183
2022-09-28,-3.989655,-3.884901
2022-09-29,-4.016129,-3.997055
2022-09-30,-3.896300,-3.901255
2022-10-03,-4.364585,-3.920144
2022-10-04,-4.294807,-4.111975
2022-10-05,-4.079518,-4.161778
2022-10-06,-4.218425,-4.132497
2022-10-07,-4.393746,-4.068318
2022-10-10,-4.000926,-4.125504
2022-10-11,-4.198480,-4.034080
2022-10-12,-4.289507,-3.982440
2022-10-13,-3.676253,-4.037279
2022-10-14,-3.927494,-4.001222
2022-10-17,-4.318500,-3.959291
2022-10-18,-3.650712,-4.101938
2022-10-19,-4.241674,-3.954255
2022-10-20,-4.115814,-4.024921
2022-10-21,-4.135252,-4.075538
2022-10-24,-4.017945,-4.119282
2022-10-25,-4.412906,-4.061188
2022-10-26,-4.056829,-4.194482
2022-10-27,-3.952778,-4.142014
2022-10-28,-3.842590,-4.106105
2022-10-31,-4.162920,-4.118821
2022-11-01,-4.208343,-4.127851
2022-11-02,-3.547530,-4.151351
2022-11-03,-3.816276,-3.941850
2022-11-04,-3.409421,-3.962347
2022-11-07,-4.088830,-3.831020
2022-11-08,-4.017981,-3.964956
2022-11-09,-4.218440,-3.953706
2022-11-10,-3.943380,-4.019602
2022-11-11,-4.118305,-4.134823
2022-11-14,-4.322634,-4.134257
2022-11-15,-3.899690,-4.148616
2022-11-16,-4.278353,-4.039956
2022-11-17,-4.263254,-4.112890
2022-11-18,-4.176494,-4.186854
2022-11-21,-4.535163,-4.206699
2022-11-22,-4.623396,-4.327238
2022-11-23,-4.435892,-4.438837
2022-11-25,-4.919368,-4.461964
2022-11-28,-4.578270,-4.579067
2022-11-29,-4.045314,-4.434551
2022-11-30,-3.882545,-4.314907
2022-12-01,-4.292940,-4.267117
2022-12-02,-4.416914,-4.309667
2022-12-05,-4.103941,-4.412026
2022-12-06,-4.332896,-4.216880
