date,actual,arfimax
2022-04-20,-4.056968,-4.092795
2022-04-21,-3.928866,-4.041982
2022-04-22,-3.779785,-3.876263
2022-04-25,-3.843672,-3.633813
2022-04-26,-3.879148,-3.867224
2022-04-27,-3.561262,-3.534516
2022-04-28,-3.873867,-3.646513
2022-04-29,-3.418215,-3.806194
2022-05-02,-3.330659,-3.323768
2022-05-03,-3.820760,-3.570854
2022-05-04,-3.328133,-3.735522
2022-05-05,-3.424848,-3.702955
2022-05-06,-3.217667,-3.432456
2022-05-09,-3.617340,-3.465298
2022-05-10,-3.324689,-3.414636
2022-05-11,-3.402485,-3.491242
2022-05-12,-3.143267,-3.471387
2022-05-13,-3.633874,-3.498967
2022-05-16,-3.613832,-3.723035
2022-05-17,-3.503765,-3.670318
2022-05-18,-3.709685,-3.702864
2022-05-19,-3.430189,-3.537061
2022-05-20,-3.605084,-3.584330
2022-05-23,-3.338033,-3.703180
2022-05-24,-3.462097,-3.582043
2022-05-25,-3.667487,-3.625088
2022-05-26,-3.938254,-3.766949
2022-05-27,-4.054259,-3.854714
2022-05-31,-3.641726,-3.922786
2022-06-01,-3.580036,-3.709904
2022-06-02,-3.863485,-3.773226
2022-06-03,-3.950471,-3.889245
2022-06-06,-3.719696,-3.847166
2022-06-07,-3.904114,-3.784385
2022-06-08,-3.887973,-3.925301
2022-06-09,-3.878899,-3.841883
2022-06-10,-3.831214,-3.768714
2022-06-13,-3.685531,-3.691108
2022-06-14,-3.726336,-3.382932
2022-06-15,-3.285658,-3.584348
2022-06-16,-3.717536,-3.507096
2022-06-17,-3.692858,-3.468678
2022-06-21,-3.887897,-3.647896
2022-06-22,-3.684722,-3.707296
2022-06-23,-3.719218,-3.663613
2022-06-24,-3.925433,-3.731408
2022-06-27,-3.873815,-3.857549
2022-06-28,-3.692755,-3.749968
2022-06-29,-3.569782,-3.668926
2022-06-30,-3.451892,-3.712604
2022-07-01,-3.799498,-3.612933
2022-07-05,-3.677524,-3.876471
2022-07-06,-3.464126,-3.779078
2022-07-07,-4.196779,-3.728126
2022-07-08,-3.916103,-4.002137
2022-07-11,-4.014635,-3.854039
2022-07-12,-3.794461,-3.904288
2022-07-13,-3.447961,-3.751187
2022-07-14,-3.924517,-3.710890
2022-07-15,-4.052141,-3.903777
2022-07-18,-3.939777,-3.996044
2022-07-19,-4.091056,-3.834782
2022-07-20,-3.786470,-4.010697
2022-07-21,-3.989558,-3.872164
2022-07-22,-3.935546,-4.035283
2022-07-25,-3.979765,-3.965577
2022-07-26,-3.967738,-3.988660
2022-07-27,-3.692661,-3.921557
2022-07-28,-3.972126,-3.944277
2022-07-29,-3.635120,-4.083705
2022-08-01,-3.615658,-3.962834
2022-08-02,-3.876162,-3.885733
2022-08-03,-4.274696,-3.930027
2022-08-04,-3.740857,-4.172528
2022-08-05,-4.133089,-3.917081
2022-08-08,-3.990738,-4.136103
2022-08-09,-4.295885,-4.000606
2022-08-10,-4.328228,-4.123335
2022-08-11,-4.093345,-4.226411
2022-08-12,-4.244263,-4.072445
2022-08-15,-4.466809,-4.236260
2022-08-16,-4.113271,-4.254538
2022-08-17,-4.095213,-4.115287
2022-08-18,-4.337924,-4.102962
2022-08-19,-4.574543,-4.230784
2022-08-22,-4.297363,-4.193480
2022-08-23,-3.970277,-3.962380
2022-08-24,-4.349161,-3.892393
2022-08-25,-4.363371,-4.109896
2022-08-26,-3.548808,-4.148861
2022-08-29,-3.929379,-3.642899
2022-08-30,-3.890972,-3.851052
2022-08-31,-3.972064,-3.795362
2022-09-01,-3.823643,-3.852902
2022-09-02,-3.635696,-3.826734
2022-09-06,-3.964588,-3.745098
2022-09-07,-4.186072,-3.779736
2022-09-08,-3.826750,-3.989624
2022-09-09,-4.358393,-3.869061
2022-09-12,-4.322269,-4.083471
2022-09-13,-4.220552,-4.004681
2022-09-14,-4.023776,-3.835850
2022-09-15,-3.892079,-3.892098
2022-09-16,-3.914047,-3.809727
2022-09-19,-4.216972,-3.832236
2022-09-20,-4.186702,-3.961671
2022-09-21,-3.333692,-3.869465
2022-09-22,-3.737369,-3.587676
2022-09-23,-3.927533,-3.735535
2022-09-26,-3.805218,-3.694560
2022-09-27,-3.839186,-3.562945
2022-09-28,-3.993041,-3.581337
2022-09-29,-3.961284,-3.783599
2022-09-30,-4.003237,-3.668531
2022-10-03,-3.977448,-3.738064
2022-10-04,-4.117916,-3.833399
2022-10-05,-3.921663,-3.892619
2022-10-06,-3.933219,-3.834858
2022-10-07,-4.095981,-3.744636
2022-10-10,-3.923850,-3.770667
2022-10-11,-3.798404,-3.723821
2022-10-12,-3.862711,-3.627894
2022-10-13,-3.344773,-3.668751
2022-10-14,-3.518424,-3.572332
2022-10-17,-3.944082,-3.569333
2022-10-18,-3.843539,-3.725703
2022-10-19,-3.774670,-3.740831
2022-10-20,-3.830393,-3.670352
2022-10-21,-3.932336,-3.695474
2022-10-24,-3.821282,-3.772372
2022-10-25,-4.011068,-3.722153
2022-10-26,-3.674937,-3.853638
2022-10-27,-3.438030,-3.753744
2022-10-28,-3.472553,-3.706502
2022-10-31,-3.782857,-3.747045
2022-11-01,-3.759016,-3.769468
2022-11-02,-3.324386,-3.764952
2022-11-03,-3.500475,-3.587335
2022-11-04,-3.304893,-3.690801
2022-11-07,-3.939796,-3.578638
2022-11-08,-3.870112,-3.795438
2022-11-09,-3.961434,-3.749340
2022-11-10,-3.205958,-3.785381
2022-11-11,-3.703764,-3.748364
2022-11-14,-3.811717,-3.817388
2022-11-15,-3.570944,-3.795636
2022-11-16,-4.039157,-3.717950
2022-11-17,-3.943660,-3.893446
2022-11-18,-4.046696,-3.884291
2022-11-21,-3.919515,-3.958722
2022-11-22,-3.990632,-3.945279
2022-11-23,-4.056543,-4.012914
2022-11-25,-4.355394,-4.077551
2022-11-28,-3.958756,-4.161379
2022-11-29,-4.064298,-3.944550
2022-11-30,-3.732704,-4.018989
2022-12-01,-3.889236,-3.996438
2022-12-02,-4.172307,-4.029187
2022-12-05,-4.171495,-4.165283
2022-12-06,-4.082736,-4.042468
2022-12-07,-3.875302,-3.991429
2022-12-08,-3.851716,-3.933182
2022-12-09,-4.167696,-3.954393
2022-12-12,-4.263175,-3.987420
2022-12-13,-3.578194,-3.976239
2022-12-14,-3.482642,-3.880687
2022-12-15,-4.039179,-3.876512
2022-12-16,-3.916920,-3.937104
2022-12-19,-4.022465,-3.923909
2022-12-20,-3.772322,-3.965693
2022-12-21,-4.091257,-3.905133
2022-12-22,-4.123752,-4.108868
2022-12-23,-3.847408,-3.959667
2022-12-27,-4.196425,-3.969370
2022-12-28,-4.128685,-4.005859
2022-12-29,-4.381815,-3.976655
2022-12-30,-4.173357,-4.140742
2023-01-03,-3.729095,-4.042816
2023-01-04,-3.678039,-3.871169
2023-01-05,-4.214010,-3.912450
2023-01-06,-3.800307,-4.025147
2023-01-09,-4.122268,-4.001926
2023-01-10,-3.884835,-4.005547
2023-01-11,-4.077293,-4.030305
2023-01-12,-3.638226,-4.055634
2023-01-13,-4.144511,-4.021053
2023-01-17,-4.082237,-4.164818
2023-01-18,-3.780875,-4.070677
2023-01-19,-3.988962,-3.944870
2023-01-20,-4.151736,-4.011742
2023-01-23,-4.116930,-4.120826
2023-01-24,-4.023199,-4.087793
2023-01-25,-3.792770,-4.083992
2023-01-26,-3.881968,-4.005806
2023-01-27,-4.041961,-4.054142
2023-01-30,-4.065077,-4.083420
2023-01-31,-4.100032,-3.989208
2023-02-01,-3.582110,-4.093219
2023-02-02,-3.606137,-4.002109
2023-02-03,-3.343241,-3.936128
2023-02-06,-3.841461,-3.812140
2023-02-07,-3.614874,-3.871381
2023-02-08,-3.924544,-3.865999
2023-02-09,-3.870822,-3.883010
2023-02-10,-4.011932,-3.832458
2023-02-13,-4.231695,-3.921927
2023-02-14,-3.837485,-4.025828
2023-02-15,-3.963010,-3.970310
2023-02-16,-4.082090,-4.039979
2023-02-17,-4.098121,-3.918760
2023-02-21,-4.434834,-4.005790
2023-02-22,-4.064904,-3.936247
2023-02-23,-4.239179,-3.953932
2023-02-24,-4.041982,-4.072444
2023-02-27,-4.233878,-3.948368
2023-02-28,-4.547449,-4.068510
2023-03-01,-4.093678,-4.188235
2023-03-02,-4.274806,-4.044231
2023-03-03,-4.263659,-4.177924
2023-03-06,-4.197879,-4.224216
2023-03-07,-3.881962,-4.151174
2023-03-08,-4.226458,-3.997816
2023-03-09,-4.009153,-4.127361
2023-03-10,-3.756748,-3.848368
2023-03-13,-3.402057,-3.770377
2023-03-14,-3.894961,-3.624037
2023-03-15,-3.713422,-3.923875
2023-03-16,-3.798110,-3.751869
2023-03-17,-3.877139,-3.932376
2023-03-20,-3.883322,-3.789592
2023-03-21,-4.293896,-3.905645
2023-03-22,-3.753176,-4.140820
2023-03-23,-4.010924,-3.863401
2023-03-24,-4.147851,-4.004760
2023-03-27,-4.255990,-4.108159
2023-03-28,-4.364693,-4.138998
2023-03-29,-4.215063,-4.219027
2023-03-30,-4.336173,-4.237888
2023-03-31,-4.613567,-4.230952
2023-04-03,-4.255463,-4.400041
2023-04-04,-4.191786,-4.263318
2023-04-05,-4.349456,-4.175188
2023-04-06,-4.390240,-4.264775
2023-04-10,-4.386770,-4.297064
2023-04-11,-4.560682,-4.274964
2023-04-12,-4.156348,-4.313581
2023-04-13,-4.290924,-4.193594
2023-04-14,-4.020344,-4.322862
2023-04-17,-4.518544,-4.232669
2023-04-18,-4.378378,-4.372404
2023-04-19,-4.280105,-4.328600
2023-04-20,-4.322268,-4.332600
2023-04-21,-4.279240,-4.278419
2023-04-24,-4.079377,-4.308620
2023-04-25,-4.296667,-4.222777
2023-04-26,-3.966859,-4.189177
2023-04-27,-3.983776,-4.100172
2023-04-28,-3.916160,-4.224176
2023-05-01,-4.177246,-4.238261
2023-05-02,-4.187523,-4.223307
2023-05-03,-3.981282,-4.139853
2023-05-04,-4.209672,-4.077448
2023-05-05,-4.641727,-4.074169
2023-05-08,-4.486837,-4.442276
2023-05-09,-4.397805,-4.345073
2023-05-10,-4.077568,-4.282175
2023-05-11,-4.206197,-4.262939
2023-05-12,-4.312169,-4.288139
2023-05-15,-4.146746,-4.296883
2023-05-16,-4.242726,-4.219849
2023-05-17,-4.405178,-4.185699
2023-05-18,-4.220177,-4.353450
2023-05-19,-4.485581,-4.320409
2023-05-22,-4.233608,-4.299888
2023-05-23,-4.177653,-4.232323
2023-05-24,-4.335166,-4.132751
2023-05-25,-4.275381,-4.125990
2023-05-26,-4.107947,-4.192566
2023-05-30,-3.865038,-4.188479
2023-05-31,-4.094901,-4.130568
2023-06-01,-4.203881,-4.154814
2023-06-02,-4.240619,-4.340954
2023-06-05,-4.372300,-4.394979
2023-06-06,-4.408601,-4.365519
2023-06-07,-3.932647,-4.456307
2023-06-08,-4.083437,-4.253151
2023-06-09,-4.272759,-4.331755
2023-06-12,-4.473080,-4.362515
2023-06-13,-4.319246,-4.354691
2023-06-14,-4.075670,-4.329789
2023-06-15,-4.370870,-4.302564
2023-06-16,-4.405684,-4.363526
2023-06-20,-4.035794,-4.444556
2023-06-21,-4.271467,-4.280770
2023-06-22,-3.916969,-4.419505
2023-06-23,-3.985027,-4.305841
