date,actual,arfimax
2022-04-20,-4.248732,-4.392251
2022-04-21,-4.447357,-4.379085
2022-04-22,-4.228238,-4.309102
2022-04-25,-3.966359,-4.034200
2022-04-26,-4.109745,-4.105766
2022-04-27,-4.262160,-3.882806
2022-04-28,-4.353462,-4.051625
2022-04-29,-4.163767,-4.112953
2022-05-02,-3.912933,-3.893104
2022-05-03,-4.132607,-3.905204
2022-05-04,-3.863345,-4.072364
2022-05-05,-3.973335,-4.120998
2022-05-06,-3.962795,-3.872045
2022-05-09,-3.992134,-3.963658
2022-05-10,-3.877514,-3.788370
2022-05-11,-3.818328,-3.858431
2022-05-12,-3.806931,-3.860988
2022-05-13,-4.234825,-3.896319
2022-05-16,-4.035636,-4.112602
2022-05-17,-4.226865,-4.064349
2022-05-18,-4.127749,-4.171677
2022-05-19,-4.081048,-3.942016
2022-05-20,-4.186007,-4.050040
2022-05-23,-3.957965,-4.053081
2022-05-24,-3.682600,-4.025758
2022-05-25,-4.343715,-3.928125
2022-05-26,-4.484637,-4.172699
2022-05-27,-4.621290,-4.197104
2022-05-31,-4.254808,-4.304389
2022-06-01,-4.323074,-4.145701
2022-06-02,-4.372919,-4.203995
2022-06-03,-4.346004,-4.252426
2022-06-06,-4.538939,-4.231172
2022-06-07,-4.535665,-4.270999
2022-06-08,-4.465422,-4.317467
2022-06-09,-4.240236,-4.283115
2022-06-10,-4.068757,-4.145379
2022-06-13,-4.055489,-4.066247
2022-06-14,-4.056686,-3.836210
2022-06-15,-3.843302,-3.908587
2022-06-16,-4.005887,-3.986801
2022-06-17,-4.008365,-3.859639
2022-06-21,-4.403142,-3.970348
2022-06-22,-4.466393,-4.086828
2022-06-23,-4.195071,-4.132107
2022-06-24,-4.153459,-4.063488
2022-06-27,-4.235579,-4.163144
2022-06-28,-4.169472,-4.151717
2022-06-29,-4.246393,-4.072543
2022-06-30,-3.894895,-4.120887
2022-07-01,-4.037047,-4.002585
2022-07-05,-4.254633,-4.154585
2022-07-06,-4.285320,-4.161532
2022-07-07,-4.426641,-4.186808
2022-07-08,-4.352783,-4.247590
2022-07-11,-4.341521,-4.284218
2022-07-12,-4.199460,-4.232678
2022-07-13,-4.063240,-4.151796
2022-07-14,-3.886417,-4.177723
2022-07-15,-4.123756,-4.130199
2022-07-18,-3.983020,-4.300226
2022-07-19,-4.574581,-4.179167
2022-07-20,-4.339386,-4.399736
2022-07-21,-4.201454,-4.312760
2022-07-22,-4.241713,-4.332456
2022-07-25,-4.288970,-4.355183
2022-07-26,-4.334034,-4.352999
2022-07-27,-4.295223,-4.293077
2022-07-28,-4.345761,-4.383723
2022-07-29,-4.503969,-4.441185
2022-08-01,-4.063693,-4.523643
2022-08-02,-4.427928,-4.328897
2022-08-03,-4.373027,-4.375307
2022-08-04,-4.524128,-4.451338
2022-08-05,-4.034083,-4.488395
2022-08-08,-4.497598,-4.342311
2022-08-09,-4.627126,-4.485320
2022-08-10,-4.310381,-4.480072
2022-08-11,-4.418162,-4.499171
2022-08-12,-4.744001,-4.480566
2022-08-15,-4.710312,-4.612134
2022-08-16,-4.453806,-4.575447
2022-08-17,-4.649626,-4.514311
2022-08-18,-4.900540,-4.551162
2022-08-19,-4.791577,-4.652172
2022-08-22,-4.633127,-4.550990
2022-08-23,-4.564232,-4.389925
2022-08-24,-4.680203,-4.393045
2022-08-25,-4.526724,-4.492371
2022-08-26,-3.855291,-4.502591
2022-08-29,-4.575471,-4.124990
2022-08-30,-4.232865,-4.329255
2022-08-31,-4.222818,-4.220432
2022-09-01,-4.168926,-4.223779
2022-09-02,-4.138107,-4.199070
2022-09-06,-4.062976,-4.201291
2022-09-07,-4.371709,-4.103033
2022-09-08,-4.075060,-4.301116
2022-09-09,-4.504747,-4.224453
2022-09-12,-4.514873,-4.374147
2022-09-13,-4.279421,-4.327400
2022-09-14,-4.110312,-4.158052
2022-09-15,-4.088255,-4.190947
2022-09-16,-4.143678,-4.145905
2022-09-19,-4.381878,-4.149803
2022-09-20,-4.417866,-4.237719
2022-09-21,-3.643572,-4.182285
2022-09-22,-3.939810,-3.971734
2022-09-23,-4.178100,-4.044000
2022-09-26,-3.916887,-3.992767
2022-09-27,-4.036758,-3.843144
2022-09-28,-4.016226,-3.875172
2022-09-29,-4.054667,-4.010106
2022-09-30,-4.173138,-3.896964
2022-10-03,-4.184053,-3.952092
2022-10-04,-4.181608,-4.061342
2022-10-05,-4.147722,-4.086955
2022-10-06,-4.214205,-4.071793
2022-10-07,-4.380239,-4.014817
2022-10-10,-4.227888,-4.059898
2022-10-11,-4.027292,-3.997796
2022-10-12,-4.126172,-3.925749
2022-10-13,-3.575165,-3.956279
2022-10-14,-3.310003,-3.878588
2022-10-17,-3.970097,-3.788222
2022-10-18,-3.870767,-3.968603
2022-10-19,-4.337105,-3.953226
2022-10-20,-4.111924,-4.056410
2022-10-21,-3.831574,-4.050189
2022-10-24,-4.315725,-3.989280
2022-10-25,-4.397478,-4.113701
2022-10-26,-4.347598,-4.196050
2022-10-27,-4.394923,-4.224130
2022-10-28,-4.540288,-4.259701
2022-10-31,-4.300798,-4.374191
2022-11-01,-4.420766,-4.296420
2022-11-02,-3.784245,-4.324170
2022-11-03,-4.024457,-4.137432
2022-11-04,-4.273557,-4.172070
2022-11-07,-4.649318,-4.248544
2022-11-08,-4.397931,-4.375435
2022-11-09,-4.371237,-4.273259
2022-11-10,-4.466458,-4.252653
2022-11-11,-4.335041,-4.441372
2022-11-14,-4.560418,-4.409019
2022-11-15,-4.177600,-4.391220
2022-11-16,-4.631625,-4.279720
2022-11-17,-4.634741,-4.431478
2022-11-18,-4.532958,-4.424064
2022-11-21,-4.875118,-4.430368
2022-11-22,-4.962302,-4.568049
2022-11-23,-4.972600,-4.647677
2022-11-25,-5.313926,-4.703311
2022-11-28,-4.854696,-4.791678
2022-11-29,-4.918174,-4.573522
2022-11-30,-4.215704,-4.633487
2022-12-01,-4.369818,-4.530421
2022-12-02,-4.580299,-4.607395
2022-12-05,-4.513352,-4.687285
2022-12-06,-4.132873,-4.535832
2022-12-07,-4.330270,-4.386606
2022-12-08,-4.604509,-4.423968
2022-12-09,-4.864856,-4.517718
2022-12-12,-4.673712,-4.533936
2022-12-13,-4.120020,-4.434182
2022-12-14,-4.088423,-4.416931
2022-12-15,-4.296929,-4.428657
2022-12-16,-4.469618,-4.378822
2022-12-19,-4.359864,-4.425044
2022-12-20,-4.586896,-4.410397
2022-12-21,-4.720639,-4.505067
2022-12-22,-4.630609,-4.619096
2022-12-23,-4.499237,-4.470770
2022-12-27,-4.754422,-4.518610
2022-12-28,-4.661084,-4.543135
2022-12-29,-4.997603,-4.498624
2022-12-30,-4.578950,-4.658725
2023-01-03,-4.212465,-4.515329
2023-01-04,-4.432430,-4.379331
2023-01-05,-4.561595,-4.495654
2023-01-06,-4.487596,-4.491993
2023-01-09,-4.624189,-4.568707
2023-01-10,-4.621226,-4.537817
2023-01-11,-4.562871,-4.608407
2023-01-12,-4.534381,-4.568757
2023-01-13,-3.925725,-4.686721
2023-01-17,-4.589508,-4.489171
2023-01-18,-4.499313,-4.613212
2023-01-19,-4.642059,-4.531055
2023-01-20,-4.566021,-4.604544
