date,actual,rw,ar,har,arfima
2022-04-20,-4.408297,-4.522126,-4.469252,-4.450472,-4.424901
2022-04-21,-4.179529,-4.408297,-4.428727,-4.413239,-4.398088
2022-04-22,-4.002815,-4.179529,-4.296865,-4.292612,-4.287414
2022-04-25,-3.797045,-4.002815,-4.202970,-4.190037,-4.175065
2022-04-26,-4.159478,-3.797045,-4.041373,-4.066677,-4.040916
2022-04-27,-3.940930,-4.159478,-4.152453,-4.203338,-4.169822
2022-04-28,-3.949639,-3.940930,-4.062464,-4.073491,-4.084709
2022-04-29,-3.758505,-3.949639,-4.024334,-4.058279,-4.067373
2022-05-02,-3.648545,-3.758505,-3.965653,-3.951111,-3.964848
2022-05-03,-4.019652,-3.648545,-3.849641,-3.886783,-3.880519
2022-05-04,-3.751974,-4.019652,-4.012177,-4.040255,-4.026795
2022-05-05,-3.796237,-3.751974,-3.901875,-3.904805,-3.925328
2022-05-06,-3.588442,-3.796237,-3.887768,-3.908687,-3.922860
2022-05-09,-3.764380,-3.588442,-3.824649,-3.799438,-3.816022
2022-05-10,-3.806706,-3.764380,-3.847237,-3.883883,-3.868508
2022-05-11,-3.570279,-3.806706,-3.891159,-3.885289,-3.892698
2022-05-12,-3.316550,-3.570279,-3.758455,-3.761680,-3.783246
2022-05-13,-3.852314,-3.316550,-3.617960,-3.606994,-3.632315
2022-05-16,-4.034737,-3.852314,-3.843861,-3.861277,-3.841665
2022-05-17,-4.113175,-4.034737,-3.975215,-3.957555,-3.969126
2022-05-18,-4.001872,-4.113175,-4.039414,-4.011570,-4.045078
2022-05-19,-3.568566,-4.001872,-4.078908,-3.988672,-4.020657
2022-05-20,-3.641950,-3.568566,-3.865479,-3.804524,-3.810958
2022-05-23,-3.787125,-3.641950,-3.837531,-3.817620,-3.793548
2022-05-24,-3.764813,-3.787125,-3.883911,-3.863213,-3.841792
2022-05-25,-3.975789,-3.764813,-3.840819,-3.828954,-3.839103
2022-05-26,-4.064537,-3.975789,-3.963518,-3.922716,-3.930768
2022-05-27,-4.250407,-4.064537,-4.061603,-3.994261,-3.994259
2022-05-31,-4.052902,-4.250407,-4.180017,-4.119754,-4.098939
2022-06-01,-4.064220,-4.052902,-4.142775,-4.049098,-4.047536
2022-06-02,-4.240557,-4.064220,-4.139372,-4.075502,-4.048439
2022-06-03,-4.067937,-4.240557,-4.245710,-4.175919,-4.128346
2022-06-06,-4.212374,-4.067937,-4.159412,-4.099152,-4.076416
2022-06-07,-4.407981,-4.212374,-4.217058,-4.164609,-4.132244
2022-06-08,-4.263377,-4.407981,-4.354857,-4.279738,-4.234177
2022-06-09,-4.187762,-4.263377,-4.296970,-4.232229,-4.203402
2022-06-10,-4.122888,-4.187762,-4.265761,-4.197625,-4.170875
2022-06-13,-3.892122,-4.122888,-4.238888,-4.174084,-4.136294
2022-06-14,-3.937909,-3.892122,-4.086188,-4.051778,-4.025206
2022-06-15,-3.588477,-3.937909,-4.058364,-4.045653,-4.012762
2022-06-16,-4.044676,-3.588477,-3.864868,-3.842852,-3.847598
2022-06-17,-3.944514,-4.044676,-4.013097,-4.038697,-3.997810
2022-06-21,-4.396741,-3.944514,-4.021885,-3.981012,-3.981993
2022-06-22,-4.022843,-4.396741,-4.215364,-4.219419,-4.179602
2022-06-23,-4.206441,-4.022843,-4.151952,-4.060236,-4.082560
2022-06-24,-4.258986,-4.206441,-4.195921,-4.186245,-4.146705
2022-06-27,-4.305651,-4.258986,-4.295582,-4.226925,-4.186512
2022-06-28,-4.279154,-4.305651,-4.286175,-4.274831,-4.222562
2022-06-29,-4.057176,-4.279154,-4.308304,-4.257473,-4.225522
2022-06-30,-3.768837,-4.057176,-4.199356,-4.160019,-4.131620
2022-07-01,-4.044899,-3.768837,-4.019732,-3.998565,-3.979335
2022-07-05,-4.008366,-4.044899,-4.099665,-4.108762,-4.057648
2022-07-06,-3.925088,-4.008366,-4.079695,-4.072812,-4.051134
2022-07-07,-4.717612,-3.925088,-4.005593,-4.010318,-4.011325
2022-07-08,-4.333950,-4.717612,-4.436721,-4.413263,-4.355680
2022-07-11,-4.421259,-4.333950,-4.358381,-4.278345,-4.274127
2022-07-12,-4.021827,-4.421259,-4.371544,-4.341788,-4.311779
2022-07-13,-3.676994,-4.021827,-4.269213,-4.161303,-4.146966
2022-07-14,-4.205546,-3.676994,-3.978117,-3.985903,-3.952323
2022-07-15,-4.402469,-4.205546,-4.185307,-4.192186,-4.129417
2022-07-18,-4.225309,-4.402469,-4.299134,-4.288557,-4.251048
2022-07-19,-4.452818,-4.225309,-4.220192,-4.198754,-4.208727
2022-07-20,-4.243542,-4.452818,-4.392228,-4.334368,-4.308628
2022-07-21,-4.331349,-4.243542,-4.339218,-4.278217,-4.243571
2022-07-22,-4.310948,-4.331349,-4.338004,-4.328216,-4.273142
2022-07-25,-4.532739,-4.310948,-4.362142,-4.312618,-4.272017
2022-07-26,-4.722634,-4.532739,-4.448649,-4.435037,-4.394208
2022-07-27,-4.108243,-4.722634,-4.593614,-4.541291,-4.517030
2022-07-28,-4.394662,-4.108243,-4.317202,-4.256942,-4.255456
2022-07-29,-4.032282,-4.394662,-4.404761,-4.389673,-4.341317
2022-08-01,-4.359690,-4.032282,-4.257547,-4.208221,-4.175952
2022-08-02,-4.320902,-4.359690,-4.298922,-4.344988,-4.296009
2022-08-03,-4.522145,-4.320902,-4.351880,-4.305488,-4.298063
2022-08-04,-4.352081,-4.522145,-4.417616,-4.425246,-4.400318
2022-08-05,-4.570189,-4.352081,-4.405304,-4.348966,-4.344363
2022-08-08,-4.279003,-4.570189,-4.495475,-4.484857,-4.444172
2022-08-09,-4.621632,-4.279003,-4.399268,-4.347384,-4.327130
2022-08-10,-4.601372,-4.621632,-4.516868,-4.520702,-4.472136
2022-08-11,-4.691963,-4.601372,-4.576411,-4.518272,-4.495570
2022-08-12,-4.812926,-4.691963,-4.598651,-4.585746,-4.553951
2022-08-15,-4.747210,-4.812926,-4.721301,-4.663044,-4.633792
2022-08-16,-4.701001,-4.747210,-4.709336,-4.667581,-4.629109
2022-08-17,-4.402071,-4.701001,-4.693615,-4.654174,-4.614664
2022-08-18,-4.579702,-4.402071,-4.544912,-4.508866,-4.469807
2022-08-19,-4.783212,-4.579702,-4.576159,-4.581560,-4.522769
2022-08-22,-4.802785,-4.783212,-4.687689,-4.674588,-4.629284
2022-08-23,-4.429998,-4.802785,-4.699968,-4.690068,-4.666839
2022-08-24,-4.769684,-4.429998,-4.546169,-4.506686,-4.501037
2022-08-25,-4.758530,-4.769684,-4.688613,-4.683589,-4.630531
2022-08-26,-3.949499,-4.758530,-4.722628,-4.690277,-4.651628
2022-08-29,-4.197160,-3.949499,-4.272512,-4.274795,-4.266379
2022-08-30,-4.174236,-4.197160,-4.310907,-4.344872,-4.293825
