date,actual,rw,ar,har,arfima
2022-04-20,-4.056968,-4.157215,-4.190802,-4.179882,-4.152707
2022-04-21,-3.928866,-4.056968,-4.155924,-4.137533,-4.119212
2022-04-22,-3.779785,-3.928866,-4.041656,-4.059285,-4.055951
2022-04-25,-3.843672,-3.779785,-3.962997,-3.953048,-3.972276
2022-04-26,-3.879148,-3.843672,-3.951414,-3.974995,-3.970372
2022-04-27,-3.561262,-3.879148,-3.953078,-3.972368,-3.976555
2022-04-28,-3.873867,-3.561262,-3.780298,-3.790950,-3.837873
2022-04-29,-3.418215,-3.873867,-3.903569,-3.929139,-3.929069
2022-05-02,-3.330659,-3.418215,-3.696795,-3.690006,-3.749109
2022-05-03,-3.820760,-3.330659,-3.565071,-3.608636,-3.660101
2022-05-04,-3.328133,-3.820760,-3.810301,-3.827174,-3.830624
2022-05-05,-3.424848,-3.328133,-3.568651,-3.579695,-3.655649
2022-05-06,-3.217667,-3.424848,-3.567872,-3.587902,-3.650511
2022-05-09,-3.617340,-3.217667,-3.499248,-3.471490,-3.548817
2022-05-10,-3.324689,-3.617340,-3.621203,-3.674230,-3.683505
2022-05-11,-3.402485,-3.324689,-3.527954,-3.502440,-3.585422
2022-05-12,-3.143267,-3.402485,-3.527021,-3.536662,-3.592708
2022-05-13,-3.633874,-3.143267,-3.432120,-3.391347,-3.476920
2022-05-16,-3.613832,-3.633874,-3.616212,-3.642564,-3.649392
2022-05-17,-3.503765,-3.613832,-3.672147,-3.629311,-3.679342
2022-05-18,-3.709685,-3.503765,-3.616305,-3.584338,-3.646172
2022-05-19,-3.430189,-3.709685,-3.764503,-3.697812,-3.727977
2022-05-20,-3.605084,-3.430189,-3.639845,-3.584470,-3.611603
2022-05-23,-3.338033,-3.605084,-3.685540,-3.660186,-3.659699
2022-05-24,-3.462097,-3.338033,-3.581298,-3.513945,-3.561336
2022-05-25,-3.667487,-3.462097,-3.580369,-3.566729,-3.583274
2022-05-26,-3.938254,-3.667487,-3.708926,-3.655994,-3.666115
2022-05-27,-4.054259,-3.938254,-3.859417,-3.814810,-3.798229
2022-05-31,-3.641726,-4.054259,-3.993181,-3.902323,-3.888533
2022-06-01,-3.580036,-3.641726,-3.842832,-3.731010,-3.758995
2022-06-02,-3.863485,-3.580036,-3.783593,-3.710562,-3.707024
2022-06-03,-3.950471,-3.863485,-3.904607,-3.858257,-3.803515
2022-06-06,-3.719696,-3.950471,-3.942564,-3.900317,-3.863287
