date,actual,rw,ar,har,arfima
2022-04-20,-4.248732,-4.458256,-4.358166,-4.361290,-4.373660
2022-04-21,-4.447357,-4.248732,-4.325589,-4.285115,-4.292999
2022-04-22,-4.228238,-4.447357,-4.411452,-4.411735,-4.384346
2022-04-25,-3.966359,-4.228238,-4.337341,-4.315055,-4.291329
2022-04-26,-4.109745,-3.966359,-4.160615,-4.174106,-4.146899
2022-04-27,-4.262160,-4.109745,-4.191006,-4.208845,-4.184204
2022-04-28,-4.353462,-4.262160,-4.246370,-4.275346,-4.255843
2022-04-29,-4.163767,-4.353462,-4.303254,-4.308684,-4.313403
2022-05-02,-3.912933,-4.163767,-4.251869,-4.217552,-4.233489
2022-05-03,-4.132607,-3.912933,-4.115937,-4.097743,-4.095735
2022-05-04,-3.863345,-4.132607,-4.176821,-4.193613,-4.173686
2022-05-05,-3.973335,-3.863345,-4.035450,-4.045690,-4.042292
2022-05-06,-3.962795,-3.973335,-4.035457,-4.066433,-4.070833
2022-05-09,-3.992134,-3.962795,-4.050290,-4.046208,-4.060043
2022-05-10,-3.877514,-3.992134,-4.043926,-4.061201,-4.069239
2022-05-11,-3.818328,-3.877514,-4.001059,-3.989492,-4.009470
2022-05-12,-3.806931,-3.818328,-3.951755,-3.954669,-3.965697
2022-05-13,-4.234825,-3.806931,-3.928243,-3.934640,-3.946372
2022-05-16,-4.035636,-4.234825,-4.127359,-4.145709,-4.150045
2022-05-17,-4.226865,-4.035636,-4.094333,-4.061034,-4.085854
2022-05-18,-4.127749,-4.226865,-4.193105,-4.169302,-4.182045
2022-05-19,-4.081048,-4.127749,-4.204847,-4.145398,-4.150681
2022-05-20,-4.186007,-4.081048,-4.159290,-4.139724,-4.127959
2022-05-23,-3.957965,-4.186007,-4.215681,-4.183225,-4.177396
2022-05-24,-3.682600,-3.957965,-4.104412,-4.072523,-4.070761
2022-05-25,-4.343715,-3.682600,-3.928211,-3.909005,-3.913173
2022-05-26,-4.484637,-4.343715,-4.204361,-4.221378,-4.209490
2022-05-27,-4.621290,-4.484637,-4.343972,-4.314116,-4.325886
2022-05-31,-4.254808,-4.621290,-4.468568,-4.406930,-4.433882
2022-06-01,-4.323074,-4.254808,-4.389535,-4.262458,-4.284690
2022-06-02,-4.372919,-4.323074,-4.385088,-4.336412,-4.304817
2022-06-03,-4.346004,-4.372919,-4.406484,-4.364171,-4.331239
2022-06-06,-4.538939,-4.346004,-4.368438,-4.343783,-4.324972
2022-06-07,-4.535665,-4.538939,-4.472914,-4.429564,-4.424867
2022-06-08,-4.465422,-4.535665,-4.509275,-4.450408,-4.445012
2022-06-09,-4.240236,-4.465422,-4.485920,-4.431482,-4.422659
2022-06-10,-4.068757,-4.240236,-4.379256,-4.322704,-4.309867
2022-06-13,-4.055489,-4.068757,-4.245274,-4.228149,-4.202153
2022-06-14,-4.056686,-4.055489,-4.180707,-4.191573,-4.167176
2022-06-15,-3.843302,-4.056686,-4.141176,-4.162014,-4.150537
2022-06-16,-4.005887,-3.843302,-4.012021,-4.022218,-4.030894
2022-06-17,-4.008365,-4.005887,-4.056016,-4.079742,-4.085625
2022-06-21,-4.403142,-4.008365,-4.068732,-4.075228,-4.085097
2022-06-22,-4.466393,-4.403142,-4.263010,-4.278235,-4.283403
2022-06-23,-4.195071,-4.466393,-4.383347,-4.336575,-4.351283
2022-06-24,-4.153459,-4.195071,-4.287861,-4.236909,-4.239072
2022-06-27,-4.235579,-4.153459,-4.264979,-4.229036,-4.207245
2022-06-28,-4.169472,-4.235579,-4.283346,-4.284600,-4.239872
2022-06-29,-4.246393,-4.169472,-4.232272,-4.238344,-4.209268
2022-06-30,-3.894895,-4.246393,-4.263008,-4.257259,-4.243800
2022-07-01,-4.037047,-3.894895,-4.097892,-4.073469,-4.070320
2022-07-05,-4.254633,-4.037047,-4.108806,-4.128568,-4.112878
