date,actual,enn,jnn
2022-04-20,-4.408297,-4.477781,-4.425979
2022-04-21,-4.179529,-4.456132,-4.434175
2022-04-22,-4.002815,-4.307975,-4.330992
2022-04-25,-3.797045,-4.184638,-4.202209
2022-04-26,-4.159478,-4.104648,-4.134944
2022-04-27,-3.940930,-4.209346,-4.191071
2022-04-28,-3.949639,-4.148474,-4.157924
2022-04-29,-3.758505,-4.141572,-4.155804
2022-05-02,-3.648545,-4.092302,-4.123489
2022-05-03,-4.019652,-4.068406,-4.107898
2022-05-04,-3.751974,-4.150386,-4.152788
2022-05-05,-3.796237,-4.092254,-4.122110
2022-05-06,-3.588442,-4.094699,-4.123842
2022-05-09,-3.764380,-4.060259,-4.102250
2022-05-10,-3.806706,-4.085127,-4.116006
2022-05-11,-3.570279,-4.096331,-4.122474
2022-05-12,-3.316550,-4.058093,-4.101019
2022-05-13,-3.852314,-4.031739,-4.083012
2022-05-16,-4.034737,-4.100520,-4.122727
2022-05-17,-4.113175,-4.161078,-4.158390
2022-05-18,-4.001872,-4.202882,-4.188761
2022-05-19,-3.568566,-4.168475,-4.173176
2022-05-20,-3.641950,-3.993023,-4.052718
2022-05-23,-3.787125,-3.994416,-4.048112
2022-05-24,-3.764813,-4.021472,-4.062080
2022-05-25,-3.975789,-4.019467,-4.062262
2022-05-26,-4.064537,-4.075719,-4.093881
2022-05-27,-4.250407,-4.119265,-4.120109
2022-05-31,-4.052902,-4.225481,-4.187208
2022-06-01,-4.064220,-4.147534,-4.152582
2022-06-02,-4.240557,-4.134529,-4.144812
2022-06-03,-4.067937,-4.221665,-4.187976
2022-06-06,-4.212374,-4.153273,-4.155543
2022-06-07,-4.407981,-4.212269,-4.192608
2022-06-08,-4.263377,-4.358769,-4.284624
2022-06-09,-4.187762,-4.309124,-4.284515
2022-06-10,-4.122888,-4.240900,-4.243896
2022-06-13,-3.892122,-4.181512,-4.182344
2022-06-14,-3.937909,-4.073401,-4.107744
2022-06-15,-3.588477,-4.070956,-4.098134
2022-06-16,-4.044676,-3.992756,-4.049145
2022-06-17,-3.944514,-4.095502,-4.104046
2022-06-21,-4.396741,-4.077289,-4.096497
2022-06-22,-4.022843,-4.308099,-4.235462
2022-06-23,-4.206441,-4.155913,-4.139965
2022-06-24,-4.258986,-4.212276,-4.183913
2022-06-27,-4.305651,-4.255194,-4.196873
2022-06-28,-4.279154,-4.304452,-4.249766
2022-06-29,-4.057176,-4.300209,-4.258107
2022-06-30,-3.768837,-4.169058,-4.166192
2022-07-01,-4.044899,-4.042039,-4.066028
2022-07-05,-4.008366,-4.107525,-4.093406
2022-07-06,-3.925088,-4.106771,-4.092923
2022-07-07,-4.717612,-4.078454,-4.080641
2022-07-08,-4.333950,-4.539433,-4.386766
2022-07-11,-4.421259,-4.419506,-4.369164
2022-07-12,-4.021827,-4.442927,-4.463964
2022-07-13,-3.676994,-4.178254,-4.190545
2022-07-14,-4.205546,-4.022467,-4.056781
2022-07-15,-4.402469,-4.174300,-4.129598
2022-07-18,-4.225309,-4.340578,-4.238626
2022-07-19,-4.452818,-4.282933,-4.250176
2022-07-20,-4.243542,-4.415419,-4.358526
2022-07-21,-4.331349,-4.308176,-4.278899
2022-07-22,-4.310948,-4.335727,-4.306118
2022-07-25,-4.532739,-4.326519,-4.278904
2022-07-26,-4.722634,-4.489293,-4.420836
2022-07-27,-4.108243,-4.674753,-4.634463
2022-07-28,-4.394662,-4.300854,-4.364643
2022-07-29,-4.032282,-4.365540,-4.347950
2022-08-01,-4.359690,-4.162773,-4.148606
2022-08-02,-4.320902,-4.305799,-4.247189
2022-08-03,-4.522145,-4.323595,-4.254296
2022-08-04,-4.352081,-4.486397,-4.425139
2022-08-05,-4.570189,-4.410164,-4.386988
2022-08-08,-4.279003,-4.544007,-4.517417
2022-08-09,-4.621632,-4.372052,-4.368748
2022-08-10,-4.601372,-4.565973,-4.532976
2022-08-11,-4.691963,-4.614160,-4.586844
2022-08-12,-4.812926,-4.690505,-4.717338
2022-08-15,-4.747210,-4.769569,-4.791494
2022-08-16,-4.701001,-4.755164,-4.797492
2022-08-17,-4.402071,-4.725666,-4.778861
2022-08-18,-4.579702,-4.519487,-4.598537
2022-08-19,-4.783212,-4.577043,-4.594494
2022-08-22,-4.802785,-4.725893,-4.710019
2022-08-23,-4.429998,-4.775752,-4.802348
2022-08-24,-4.769684,-4.558669,-4.646806
2022-08-25,-4.758530,-4.725979,-4.710744
2022-08-26,-3.949499,-4.763075,-4.751293
2022-08-29,-4.197160,-4.210985,-4.231565
2022-08-30,-4.174236,-4.194297,-4.195309
2022-08-31,-4.293734,-4.183818,-4.171109
2022-09-01,-4.141875,-4.267200,-4.261310
2022-09-02,-4.176822,-4.193047,-4.186967
2022-09-06,-4.134837,-4.192106,-4.185984
2022-09-07,-4.375179,-4.166159,-4.155166
2022-09-08,-4.127972,-4.315893,-4.305012
2022-09-09,-4.631272,-4.199370,-4.193212
2022-09-12,-4.442703,-4.526240,-4.493117
2022-09-13,-4.474823,-4.495982,-4.475537
2022-09-14,-4.172618,-4.513196,-4.503468
2022-09-15,-4.247667,-4.276655,-4.279133
2022-09-16,-4.144522,-4.254857,-4.255276
2022-09-19,-4.327144,-4.185532,-4.178356
2022-09-20,-4.237705,-4.287669,-4.281045
2022-09-21,-3.461983,-4.258969,-4.255133
2022-09-22,-4.072427,-3.967906,-3.849791
2022-09-23,-4.212847,-4.082853,-4.030487
2022-09-26,-3.966776,-4.181302,-4.154146
2022-09-27,-3.957361,-4.090140,-4.121630
2022-09-28,-3.989655,-4.066193,-4.107775
2022-09-29,-4.016129,-4.072882,-4.109697
2022-09-30,-3.896300,-4.085197,-4.116892
2022-10-03,-4.364585,-4.045205,-4.093533
2022-10-04,-4.294807,-4.264914,-4.226318
2022-10-05,-4.079518,-4.290873,-4.249952
2022-10-06,-4.218425,-4.170836,-4.187204
2022-10-07,-4.393746,-4.206434,-4.198988
2022-10-10,-4.000926,-4.338828,-4.285017
2022-10-11,-4.198480,-4.140033,-4.161592
2022-10-12,-4.289507,-4.187518,-4.188382
2022-10-13,-3.676253,-4.257360,-4.225751
2022-10-14,-3.927494,-4.011738,-4.074834
2022-10-17,-4.318500,-4.041332,-4.092815
2022-10-18,-3.650712,-4.232483,-4.203106
2022-10-19,-4.241674,-4.002552,-4.066783
2022-10-20,-4.115814,-4.174667,-4.172108
2022-10-21,-4.135252,-4.151938,-4.154818
2022-10-24,-4.017945,-4.162263,-4.169346
2022-10-25,-4.412906,-4.103483,-4.129961
