date,actual,enn,jnn
2022-04-20,-4.056968,-4.139404,-4.132465
2022-04-21,-3.928866,-4.095483,-4.087548
2022-04-22,-3.779785,-4.024267,-4.053097
2022-04-25,-3.843672,-3.951846,-4.001354
2022-04-26,-3.879148,-3.960440,-3.999580
2022-04-27,-3.561262,-3.974618,-4.005397
2022-04-28,-3.873867,-3.894272,-3.963597
2022-04-29,-3.418215,-3.960809,-3.995980
2022-05-02,-3.330659,-3.871144,-3.947722
2022-05-03,-3.820760,-3.855521,-3.937070
2022-05-04,-3.328133,-3.939192,-3.979939
2022-05-05,-3.424848,-3.859508,-3.939396
2022-05-06,-3.217667,-3.864644,-3.942118
2022-05-09,-3.617340,-3.846192,-3.929212
2022-05-10,-3.324689,-3.891820,-3.955445
2022-05-11,-3.402485,-3.856410,-3.936404
2022-05-12,-3.143267,-3.862123,-3.939779
2022-05-13,-3.633874,-3.841181,-3.925546
2022-05-16,-3.613832,-3.894423,-3.956449
2022-05-17,-3.503765,-3.895732,-3.958758
2022-05-18,-3.709685,-3.877666,-3.950273
2022-05-19,-3.430189,-3.913471,-3.968849
2022-05-20,-3.605084,-3.642886,-3.660110
2022-05-23,-3.338033,-3.687410,-3.701048
2022-05-24,-3.462097,-3.607195,-3.626363
2022-05-25,-3.667487,-3.630934,-3.647881
2022-05-26,-3.938254,-3.709937,-3.718164
2022-05-27,-4.054259,-3.869504,-3.863083
2022-05-31,-3.641726,-4.000784,-3.984463
2022-06-01,-3.580036,-3.793577,-3.808152
2022-06-02,-3.863485,-3.706249,-3.725258
2022-06-03,-3.950471,-3.820634,-3.821193
2022-06-06,-3.719696,-3.912678,-3.903214
2022-06-07,-3.904114,-3.809731,-3.817350
2022-06-08,-3.887973,-3.876806,-3.877400
2022-06-09,-3.878899,-3.888720,-3.884097
2022-06-10,-3.831214,-3.890942,-3.889919
2022-06-13,-3.685531,-3.859683,-3.861342
2022-06-14,-3.726336,-3.772336,-3.782495
2022-06-15,-3.285658,-3.769085,-3.777465
2022-06-16,-3.717536,-3.604812,-3.628339
2022-06-17,-3.692858,-3.724764,-3.735560
2022-06-21,-3.887897,-3.742840,-3.747827
2022-06-22,-3.684722,-3.851903,-3.850288
2022-06-23,-3.719218,-3.781505,-3.810977
2022-06-24,-3.925433,-3.777133,-3.810327
2022-06-27,-3.873815,-3.885436,-3.900557
2022-06-28,-3.692755,-3.892189,-3.903549
2022-06-29,-3.569782,-3.793930,-3.822645
2022-06-30,-3.451892,-3.711508,-3.755561
2022-07-01,-3.799498,-3.653845,-3.708223
2022-07-05,-3.677524,-3.782959,-3.816541
2022-07-06,-3.464126,-3.758495,-3.792087
2022-07-07,-4.196779,-3.668697,-3.720132
2022-07-08,-3.916103,-4.024276,-4.024004
2022-07-11,-4.014635,-3.965287,-3.961679
2022-07-12,-3.794461,-4.014669,-4.014259
2022-07-13,-3.447961,-3.875222,-3.889766
2022-07-14,-3.924517,-3.681849,-3.731330
2022-07-15,-4.052141,-3.853671,-3.877657
2022-07-18,-3.939777,-3.993526,-3.989277
2022-07-19,-4.091056,-3.975082,-3.975133
2022-07-20,-3.786470,-4.061417,-4.053154
2022-07-21,-3.989558,-3.888909,-3.901362
2022-07-22,-3.935546,-3.959652,-3.966097
2022-07-25,-3.979765,-3.947835,-3.950778
2022-07-26,-3.967738,-3.964418,-3.961390
2022-07-27,-3.692661,-3.962652,-3.958903
2022-07-28,-3.972126,-3.801907,-3.823918
2022-07-29,-3.635120,-3.910020,-3.914054
2022-08-01,-3.615658,-3.761879,-3.785543
2022-08-02,-3.876162,-3.722018,-3.753452
2022-08-03,-4.274696,-3.831685,-3.842588
2022-08-04,-3.740857,-4.141425,-4.105912
2022-08-05,-4.133089,-3.886044,-3.898116
2022-08-08,-3.990738,-4.048984,-4.041796
2022-08-09,-4.295885,-4.002328,-3.989973
2022-08-10,-4.328228,-4.226758,-4.196265
2022-08-11,-4.093345,-4.330761,-4.294992
2022-08-12,-4.244263,-4.188824,-4.182344
2022-08-15,-4.466809,-4.237753,-4.218220
2022-08-16,-4.113271,-4.432518,-4.393203
2022-08-17,-4.095213,-4.240345,-4.233680
2022-08-18,-4.337924,-4.141982,-4.138915
2022-08-19,-4.574543,-4.289110,-4.254680
2022-08-22,-4.297363,-4.538364,-4.499798
2022-08-23,-3.970277,-4.422695,-4.417162
2022-08-24,-4.349161,-4.111787,-4.125740
2022-08-25,-4.363371,-4.274497,-4.258588
2022-08-26,-3.548808,-4.371868,-4.338455
2022-08-29,-3.929379,-3.836794,-3.882813
2022-08-30,-3.890972,-3.878045,-3.916248
2022-08-31,-3.972064,-3.878791,-3.905161
2022-09-01,-3.823643,-3.938047,-3.963472
2022-09-02,-3.635696,-3.863892,-3.896600
2022-09-06,-3.964588,-3.757096,-3.796026
2022-09-07,-4.186072,-3.887740,-3.915370
2022-09-08,-3.826750,-4.087285,-4.085076
2022-09-09,-4.358393,-3.918187,-3.946486
2022-09-12,-4.322269,-4.229434,-4.214350
2022-09-13,-4.220552,-4.327365,-4.294927
2022-09-14,-4.023776,-4.292282,-4.285451
2022-09-15,-3.892079,-4.099486,-4.115307
2022-09-16,-3.914047,-3.940240,-3.971324
2022-09-19,-4.216972,-3.908444,-3.938944
2022-09-20,-4.186702,-4.114759,-4.112956
2022-09-21,-3.333692,-4.180214,-4.170986
2022-09-22,-3.737369,-3.713065,-3.752406
2022-09-23,-3.927533,-3.759223,-3.798147
2022-09-26,-3.805218,-3.867888,-3.892128
2022-09-27,-3.839186,-4.248127,-3.866885
2022-09-28,-3.993041,-4.248583,-3.875640
2022-09-29,-3.961284,-4.253692,-3.952505
2022-09-30,-4.003237,-4.253248,-3.964907
2022-10-03,-3.977448,-4.254533,-3.994984
2022-10-04,-4.117916,-4.253818,-3.986153
2022-10-05,-3.921663,-4.258881,-4.068623
2022-10-06,-3.933219,-4.252418,-3.981160
2022-10-07,-4.095981,-4.251939,-3.958395
2022-10-10,-3.923850,-4.257853,-4.037820
2022-10-11,-3.798404,-4.252411,-3.973249
2022-10-12,-3.862711,-4.247838,-3.886553
2022-10-13,-3.344773,-4.249259,-3.885817
2022-10-14,-3.518424,-4.238256,-3.696458
2022-10-17,-3.944082,-4.239225,-3.713022
2022-10-18,-3.843539,-4.250739,-3.874500
2022-10-19,-3.774670,-4.249325,-3.877523
2022-10-20,-3.830393,-4.246903,-3.852003
2022-10-21,-3.932336,-4.248217,-3.862749
2022-10-24,-3.821282,-4.251607,-3.917092
2022-10-25,-4.011068,-4.248595,-3.880516
2022-10-26,-3.674937,-4.254230,-3.967779
2022-10-27,-3.438030,-4.233578,-3.821187
2022-10-28,-3.472553,-4.227336,-3.708034
2022-10-31,-3.782857,-4.227152,-3.696023
2022-11-01,-3.759016,-4.234368,-3.798565
2022-11-02,-3.324386,-4.234906,-3.814603
2022-11-03,-3.500475,-4.225914,-3.677561
2022-11-04,-3.304893,-4.227274,-3.700149
2022-11-07,-3.939796,-4.224758,-3.654676
2022-11-08,-3.870112,-4.238579,-3.857769
2022-11-09,-3.961434,-4.238811,-3.879389
2022-11-10,-3.205958,-4.241481,-3.946042
2022-11-11,-3.703764,-4.225114,-3.667027
2022-11-14,-3.811717,-4.231319,-3.763371
2022-11-15,-3.570944,-4.236075,-3.824272
2022-11-16,-4.039157,-4.230438,-3.751806
2022-11-17,-3.943660,-4.243058,-3.937877
2022-11-18,-4.046696,-4.241630,-3.943506
2022-11-21,-3.919515,-4.244836,-4.017486
2022-11-22,-3.990632,-4.240789,-3.957248
2022-11-23,-4.056543,-4.242682,-3.980234
2022-11-25,-4.355394,-4.245440,-4.022778
2022-11-28,-3.958756,-4.258479,-4.239298
2022-11-29,-4.064298,-4.223890,-4.068048
2022-11-30,-3.732704,-4.226094,-4.063043
2022-12-01,-3.889236,-4.215566,-3.861499
2022-12-02,-4.172307,-4.218956,-3.889655
2022-12-05,-4.171495,-4.230415,-4.052800
2022-12-06,-4.082736,-4.231629,-4.132946
2022-12-07,-3.875302,-4.227829,-4.110214
2022-12-08,-3.851716,-4.219881,-3.959673
2022-12-09,-4.167696,-4.218313,-3.895435
2022-12-12,-4.263175,-4.230031,-4.053037
2022-12-13,-3.578194,-4.235688,-4.188293
2022-12-14,-3.482642,-4.212283,-3.848002
2022-12-15,-4.039179,-4.207764,-3.719152
2022-12-16,-3.916920,-4.223334,-3.914844
