date,actual,enn,jnn
2022-04-20,-4.248732,-4.448616,-4.400551
2022-04-21,-4.447357,-4.356132,-4.356846
2022-04-22,-4.228238,-4.448363,-4.425896
2022-04-25,-3.966359,-4.341462,-4.341732
2022-04-26,-4.109745,-4.198202,-4.236988
2022-04-27,-4.262160,-4.223560,-4.229167
2022-04-28,-4.353462,-4.302444,-4.271915
2022-04-29,-4.163767,-4.377542,-4.336780
2022-05-02,-3.912933,-4.292011,-4.296939
2022-05-03,-4.132607,-4.172985,-4.211894
2022-05-04,-3.863345,-4.228534,-4.228628
2022-05-05,-3.973335,-4.151252,-4.186380
2022-05-06,-3.962795,-4.169823,-4.195030
2022-05-09,-3.992134,-4.169786,-4.192770
2022-05-10,-3.877514,-4.178803,-4.198602
2022-05-11,-3.818328,-4.148263,-4.183231
2022-05-12,-3.806931,-4.131124,-4.173715
2022-05-13,-4.234825,-4.127033,-4.170382
2022-05-16,-4.035636,-4.265933,-4.241567
2022-05-17,-4.226865,-4.210693,-4.218869
2022-05-18,-4.127749,-4.282218,-4.267227
2022-05-19,-4.081048,-4.251041,-4.247819
2022-05-20,-4.186007,-4.171320,-4.187940
2022-05-23,-3.957965,-4.216050,-4.204429
2022-05-24,-3.682600,-4.122839,-4.158277
2022-05-25,-4.343715,-4.039578,-4.113019
2022-05-26,-4.484637,-4.275339,-4.219671
2022-05-27,-4.621290,-4.451345,-4.336532
2022-05-31,-4.254808,-4.613265,-4.562801
2022-06-01,-4.323074,-4.388280,-4.434397
2022-06-02,-4.372919,-4.359398,-4.369051
2022-06-03,-4.346004,-4.387640,-4.339267
2022-06-06,-4.538939,-4.384706,-4.355328
2022-06-07,-4.535665,-4.525015,-4.467202
2022-06-08,-4.465422,-4.567042,-4.534860
2022-06-09,-4.240236,-4.528073,-4.542087
2022-06-10,-4.068757,-4.346044,-4.382073
2022-06-13,-4.055489,-4.191273,-4.227852
2022-06-14,-4.056686,-4.153638,-4.176615
2022-06-15,-3.843302,-4.149092,-4.167065
2022-06-16,-4.005887,-4.076905,-4.131215
2022-06-17,-4.008365,-4.115519,-4.146359
2022-06-21,-4.403142,-4.123537,-4.149138
2022-06-22,-4.466393,-4.342023,-4.265244
2022-06-23,-4.195071,-4.463005,-4.389453
2022-06-24,-4.153459,-4.313007,-4.335365
2022-06-27,-4.235579,-4.238100,-4.260108
2022-06-28,-4.169472,-4.266102,-4.254063
2022-06-29,-4.246393,-4.239477,-4.240182
2022-06-30,-3.894895,-4.276687,-4.263846
2022-07-01,-4.037047,-4.123243,-4.174424
2022-07-05,-4.254633,-4.145475,-4.180004
2022-07-06,-4.285320,-4.255370,-4.233283
2022-07-07,-4.426641,-4.307214,-4.275444
2022-07-08,-4.352783,-4.421296,-4.371112
2022-07-11,-4.341521,-4.403128,-4.379466
2022-07-12,-4.199460,-4.387403,-4.378063
2022-07-13,-4.063240,-4.286095,-4.294434
2022-07-14,-3.886417,-4.188244,-4.219116
2022-07-15,-4.123756,-4.105969,-4.160759
2022-07-18,-3.983020,-4.178467,-4.193027
2022-07-19,-4.574581,-4.136914,-4.172260
2022-07-20,-4.339386,-4.470402,-4.373217
2022-07-21,-4.201454,-4.411088,-4.369481
2022-07-22,-4.241713,-4.299675,-4.331675
2022-07-25,-4.288970,-4.284150,-4.278830
2022-07-26,-4.334034,-4.301442,-4.263214
2022-07-27,-4.295223,-4.344916,-4.299604
2022-07-28,-4.345761,-4.331433,-4.300669
2022-07-29,-4.503969,-4.361187,-4.322896
2022-08-01,-4.063693,-4.487800,-4.419571
2022-08-02,-4.427928,-4.227838,-4.255727
2022-08-03,-4.373027,-4.381160,-4.332734
2022-08-04,-4.524128,-4.394768,-4.329817
2022-08-05,-4.034083,-4.519975,-4.474869
2022-08-08,-4.497598,-4.217280,-4.254008
2022-08-09,-4.627126,-4.428069,-4.366072
2022-08-10,-4.310381,-4.595904,-4.496400
2022-08-11,-4.418162,-4.429013,-4.460626
2022-08-12,-4.744001,-4.439407,-4.434023
2022-08-15,-4.710312,-4.669308,-4.594672
2022-08-16,-4.453806,-4.714671,-4.706373
2022-08-17,-4.649626,-4.560242,-4.617164
2022-08-18,-4.900540,-4.642366,-4.645518
2022-08-19,-4.791577,-4.789798,-4.761486
2022-08-22,-4.633127,-4.773565,-4.781209
2022-08-23,-4.564232,-4.688174,-4.729056
2022-08-24,-4.680203,-4.624033,-4.663513
2022-08-25,-4.526724,-4.687650,-4.687878
2022-08-26,-3.855291,-4.607115,-4.628524
2022-08-29,-4.575471,-4.135001,-4.228998
2022-08-30,-4.232865,-4.457435,-4.375166
2022-08-31,-4.222818,-4.318184,-4.282409
2022-09-01,-4.168926,-4.273373,-4.289175
2022-09-02,-4.138107,-4.216445,-4.221475
2022-09-06,-4.062976,-4.189340,-4.203819
2022-09-07,-4.371709,-4.144970,-4.177422
2022-09-08,-4.075060,-4.318596,-4.269447
2022-09-09,-4.504747,-4.182833,-4.200660
2022-09-12,-4.514873,-4.433050,-4.359662
2022-09-13,-4.279421,-4.524896,-4.441852
2022-09-14,-4.110312,-4.380167,-4.400419
2022-09-15,-4.088255,-4.209768,-4.244271
2022-09-16,-4.143678,-4.157383,-4.187106
2022-09-19,-4.381878,-4.177135,-4.191523
2022-09-20,-4.417866,-4.337565,-4.281301
2022-09-21,-3.643572,-4.421840,-4.355623
2022-09-22,-3.939810,-4.045062,-4.137711
2022-09-23,-4.178100,-4.067936,-4.136919
2022-09-26,-3.916887,-4.175083,-4.183278
2022-09-27,-4.036758,-4.107383,-4.141817
2022-09-28,-4.016226,-4.134201,-4.156765
2022-09-29,-4.054667,-4.131003,-4.152290
2022-09-30,-4.173138,-4.146240,-4.162043
2022-10-03,-4.184053,-4.204683,-4.194267
2022-10-04,-4.181608,-4.225978,-4.210625
2022-10-05,-4.147722,-4.230551,-4.218814
2022-10-06,-4.214205,-4.212058,-4.208240
2022-10-07,-4.380239,-4.244066,-4.225726
2022-10-10,-4.227888,-4.362829,-4.302465
2022-10-11,-4.027292,-4.298124,-4.278132
2022-10-12,-4.126172,-4.168349,-4.195635
2022-10-13,-3.575165,-4.183311,-4.187954
2022-10-14,-3.310003,-4.030002,-4.097842
2022-10-17,-3.970097,-3.995825,-4.072498
2022-10-18,-3.870767,-4.094523,-4.126690
2022-10-19,-4.337105,-4.079092,-4.121110
2022-10-20,-4.111924,-4.282661,-4.233411
2022-10-21,-3.831574,-4.206750,-4.199399
2022-10-24,-4.315725,-4.084519,-4.136905
2022-10-25,-4.397478,-4.268024,-4.227608
2022-10-26,-4.347598,-4.382866,-4.304934
2022-10-27,-4.394923,-4.378129,-4.339465
2022-10-28,-4.540288,-4.408676,-4.368590
2022-10-31,-4.300798,-4.530811,-4.471333
2022-11-01,-4.420766,-4.390593,-4.382313
2022-11-02,-3.784245,-4.428972,-4.401010
2022-11-03,-4.024457,-4.066833,-4.122074
2022-11-04,-4.273557,-4.088330,-4.133612
2022-11-07,-4.649318,-4.223041,-4.204340
2022-11-08,-4.397931,-4.555381,-4.448323
2022-11-09,-4.371237,-4.484845,-4.461987
2022-11-10,-4.466458,-4.427398,-4.435144
2022-11-11,-4.335041,-4.471813,-4.424212
2022-11-14,-4.560418,-4.393922,-4.369189
2022-11-15,-4.177600,-4.540598,-4.491047
2022-11-16,-4.631625,-4.298674,-4.300646
2022-11-17,-4.634741,-4.559492,-4.499404
2022-11-18,-4.532958,-4.645137,-4.593293
2022-11-21,-4.875118,-4.607538,-4.634930
2022-11-22,-4.962302,-4.782663,-4.779241
2022-11-23,-4.972600,-4.844290,-4.844129
2022-11-25,-5.313926,-4.853069,-4.859554
2022-11-28,-4.854696,-4.917661,-4.904247
2022-11-29,-4.918174,-4.815767,-4.826625
2022-11-30,-4.215704,-4.823797,-4.829447
2022-12-01,-4.369818,-4.415654,-4.529996
2022-12-02,-4.580299,-4.396045,-4.427114
2022-12-05,-4.513352,-4.550174,-4.466263
2022-12-06,-4.132873,-4.567528,-4.551019
2022-12-07,-4.330270,-4.280553,-4.336604
2022-12-08,-4.604509,-4.322126,-4.300082
2022-12-09,-4.864856,-4.551754,-4.450237
2022-12-12,-4.673712,-4.772486,-4.734149
2022-12-13,-4.120020,-4.721937,-4.747552
2022-12-14,-4.088423,-4.312996,-4.421010
2022-12-15,-4.296929,-4.171455,-4.210420
2022-12-16,-4.469618,-4.266180,-4.223926
2022-12-19,-4.359864,-4.437173,-4.349664
2022-12-20,-4.586896,-4.415415,-4.385800
2022-12-21,-4.720639,-4.573539,-4.532877
2022-12-22,-4.630609,-4.701363,-4.670536
2022-12-23,-4.499237,-4.681741,-4.704437
2022-12-27,-4.754422,-4.586740,-4.633361
2022-12-28,-4.661084,-4.717689,-4.712095
2022-12-29,-4.997603,-4.700845,-4.713446
2022-12-30,-4.578950,-4.828154,-4.831114
2023-01-03,-4.212465,-4.674121,-4.724386
2023-01-04,-4.432430,-4.363688,-4.445622
2023-01-05,-4.561595,-4.421423,-4.388895
2023-01-06,-4.487596,-4.547431,-4.477409
2023-01-09,-4.624189,-4.544491,-4.535408
2023-01-10,-4.621226,-4.630723,-4.626238
2023-01-11,-4.562871,-4.651459,-4.656050
2023-01-12,-4.534381,-4.620072,-4.645781
2023-01-13,-3.925725,-4.589697,-4.609598
2023-01-17,-4.589508,-4.157645,-4.208151
2023-01-18,-4.499313,-4.475056,-4.394820
2023-01-19,-4.642059,-4.523047,-4.445371
2023-01-20,-4.566021,-4.645978,-4.646830
2023-01-23,-4.616528,-4.620155,-4.631729
2023-01-24,-4.415509,-4.645285,-4.663016
2023-01-25,-4.799810,-4.511970,-4.539309
2023-01-26,-4.663392,-4.720004,-4.709190
2023-01-27,-4.690953,-4.698945,-4.712592
2023-01-30,-4.959747,-4.706900,-4.738344
2023-01-31,-4.827664,-4.818186,-4.821309
2023-02-01,-4.269960,-4.790371,-4.809151
2023-02-02,-4.296691,-4.445773,-4.548857
2023-02-03,-4.400042,-4.355251,-4.370710
2023-02-06,-4.782384,-4.400461,-4.324001
2023-02-07,-4.439666,-4.686375,-4.627591
2023-02-08,-4.518050,-4.551599,-4.584225
2023-02-09,-4.682647,-4.557847,-4.592279
2023-02-10,-4.727879,-4.662477,-4.650234
2023-02-13,-4.860139,-4.715847,-4.738352
2023-02-14,-4.481869,-4.780165,-4.806316
2023-02-15,-4.766177,-4.598528,-4.673310
2023-02-16,-4.768774,-4.716098,-4.748903
2023-02-17,-4.616005,-4.743194,-4.766399
2023-02-21,-4.652274,-4.671830,-4.729228
2023-02-22,-4.707154,-4.673900,-4.719371
2023-02-23,-4.596800,-4.704498,-4.735528
2023-02-24,-4.490263,-4.651669,-4.699365
