date,actual,lstar
2022-04-20,-4.408297,-4.536291
2022-04-21,-4.179529,-4.447722
2022-04-22,-4.002815,-4.269720
2022-04-25,-3.797045,-4.132221
2022-04-26,-4.159478,-3.972114
2022-04-27,-3.940930,-4.254118
2022-04-28,-3.949639,-4.084069
2022-04-29,-3.758505,-4.090845
2022-05-02,-3.648545,-3.942126
2022-05-03,-4.019652,-3.856568
2022-05-04,-3.751974,-4.145322
2022-05-05,-3.796237,-3.937045
2022-05-06,-3.588442,-3.971485
2022-05-09,-3.764380,-3.809802
2022-05-10,-3.806706,-3.946698
2022-05-11,-3.570279,-3.979631
2022-05-12,-3.316550,-3.795670
2022-05-13,-3.852314,-3.598247
2022-05-16,-4.034737,-4.015118
2022-05-17,-4.113175,-4.157059
2022-05-18,-4.001872,-4.218091
2022-05-19,-3.568566,-4.131487
2022-05-20,-3.641950,-3.778603
2022-05-23,-3.787125,-3.837605
2022-05-24,-3.764813,-3.954328
2022-05-25,-3.975789,-3.936388
2022-05-26,-4.064537,-4.106017
2022-05-27,-4.250407,-4.177372
2022-05-31,-4.052902,-4.326813
2022-06-01,-4.064220,-4.168017
2022-06-02,-4.240557,-4.177116
2022-06-03,-4.067937,-4.318894
2022-06-06,-4.212374,-4.180105
2022-06-07,-4.407981,-4.296235
2022-06-08,-4.263377,-4.453506
2022-06-09,-4.187762,-4.337242
2022-06-10,-4.122888,-4.276446
2022-06-13,-3.892122,-4.224286
2022-06-14,-3.937909,-4.038747
2022-06-15,-3.588477,-4.075560
2022-06-16,-4.044676,-3.794612
2022-06-17,-3.944514,-4.161403
2022-06-21,-4.396741,-4.080871
2022-06-22,-4.022843,-4.444469
2022-06-23,-4.206441,-4.141040
2022-06-24,-4.258986,-4.285716
2022-06-27,-4.305651,-4.327122
2022-06-28,-4.279154,-4.363894
2022-06-29,-4.057176,-4.343014
2022-06-30,-3.768837,-4.168095
2022-07-01,-4.044899,-3.940882
2022-07-05,-4.008366,-4.158420
2022-07-06,-3.925088,-4.129632
2022-07-07,-4.717612,-4.064009
2022-07-08,-4.333950,-4.701467
2022-07-11,-4.421259,-4.386193
2022-07-12,-4.021827,-4.454993
2022-07-13,-3.676994,-4.140239
2022-07-14,-4.205546,-3.868509
2022-07-15,-4.402469,-4.285010
2022-07-18,-4.225309,-4.440186
2022-07-19,-4.452818,-4.300584
2022-07-20,-4.243542,-4.479862
2022-07-21,-4.331349,-4.314952
2022-07-22,-4.310948,-4.384144
2022-07-25,-4.532739,-4.368068
2022-07-26,-4.722634,-4.539028
2022-07-27,-4.108243,-4.701421
2022-07-28,-4.394662,-4.206690
2022-07-29,-4.032282,-4.430927
2022-08-01,-4.359690,-4.147221
2022-08-02,-4.320902,-4.403548
2022-08-03,-4.522145,-4.373181
2022-08-04,-4.352081,-4.530734
2022-08-05,-4.570189,-4.397591
2022-08-08,-4.279003,-4.568347
2022-08-09,-4.621632,-4.340378
2022-08-10,-4.601372,-4.608623
2022-08-11,-4.691963,-4.592760
2022-08-12,-4.812926,-4.664506
2022-08-15,-4.747210,-4.792760
2022-08-16,-4.701001,-4.746164
2022-08-17,-4.402071,-4.672770
2022-08-18,-4.579702,-4.436728
2022-08-19,-4.783212,-4.575795
2022-08-22,-4.802785,-4.775331
2022-08-23,-4.429998,-4.786861
2022-08-24,-4.769684,-4.458592
2022-08-25,-4.758530,-4.766479
2022-08-26,-3.949499,-4.755482
2022-08-29,-4.197160,-4.083047
2022-08-30,-4.174236,-4.276709
2022-08-31,-4.293734,-4.258783
2022-09-01,-4.141875,-4.352225
2022-09-02,-4.176822,-4.233478
2022-09-06,-4.134837,-4.260805
2022-09-07,-4.375179,-4.227975
2022-09-08,-4.127972,-4.415913
2022-09-09,-4.631272,-4.222606
2022-09-12,-4.442703,-4.616168
2022-09-13,-4.474823,-4.468714
2022-09-14,-4.172618,-4.493830
2022-09-15,-4.247667,-4.257518
2022-09-16,-4.144522,-4.316203
2022-09-19,-4.327144,-4.235547
2022-09-20,-4.237705,-4.378351
2022-09-21,-3.461983,-4.308413
2022-09-22,-4.072427,-3.701829
2022-09-23,-4.212847,-4.179172
2022-09-26,-3.966776,-4.288975
2022-09-27,-3.957361,-4.095640
2022-09-28,-3.989655,-4.088355
2022-09-29,-4.016129,-4.113341
2022-09-30,-3.896300,-4.133824
2022-10-03,-4.364585,-4.041113
2022-10-04,-4.294807,-4.403422
2022-10-05,-4.079518,-4.349435
2022-10-06,-4.218425,-4.182867
2022-10-07,-4.393746,-4.290339
2022-10-10,-4.000926,-4.425984
2022-10-11,-4.198480,-4.122062
2022-10-12,-4.289507,-4.274908
2022-10-13,-3.676253,-4.345335
2022-10-14,-3.927494,-3.870864
2022-10-17,-4.318500,-4.065248
2022-10-18,-3.650712,-4.367766
2022-10-19,-4.241674,-3.851103
2022-10-20,-4.115814,-4.308327
2022-10-21,-4.135252,-4.210950
2022-10-24,-4.017945,-4.225989
2022-10-25,-4.412906,-4.135229
2022-10-26,-4.056829,-4.440808
2022-10-27,-3.952778,-4.163286
2022-10-28,-3.842590,-4.083582
2022-10-31,-4.162920,-3.999177
2022-11-01,-4.208343,-4.244554
2022-11-02,-3.547530,-4.279348
2022-11-03,-3.816276,-3.773156
2022-11-04,-3.409421,-3.979020
2022-11-07,-4.088830,-3.667363
2022-11-08,-4.017981,-4.187800
2022-11-09,-4.218440,-4.133528
2022-11-10,-3.943380,-4.287083
2022-11-11,-4.118305,-4.076383
2022-11-14,-4.322634,-4.210378
2022-11-15,-3.899690,-4.366897
2022-11-16,-4.278353,-4.042916
2022-11-17,-4.263254,-4.332977
2022-11-18,-4.176494,-4.321411
2022-11-21,-4.535163,-4.254951
2022-11-22,-4.623396,-4.529697
2022-11-23,-4.435892,-4.597285
2022-11-25,-4.919368,-4.453655
2022-11-28,-4.578270,-4.856576
2022-11-29,-4.045314,-4.559269
2022-11-30,-3.882545,-4.153219
2022-12-01,-4.292940,-4.029208
2022-12-02,-4.416914,-4.341881
2022-12-05,-4.103941,-4.436335
2022-12-06,-4.332896,-4.197886
2022-12-07,-4.126814,-4.372323
2022-12-08,-4.225574,-4.215312
2022-12-09,-4.251798,-4.290556
2022-12-12,-4.317647,-4.310535
2022-12-13,-3.791991,-4.360705
2022-12-14,-3.516569,-3.960216
2022-12-15,-4.232216,-3.750377
2022-12-16,-3.953650,-4.295617
2022-12-19,-4.222369,-4.083382
2022-12-20,-4.037200,-4.288114
2022-12-21,-4.102197,-4.147037
2022-12-22,-4.154108,-4.196557
2022-12-23,-4.072396,-4.236107
2022-12-27,-4.407770,-4.173852
2022-12-28,-4.089726,-4.429368
2022-12-29,-4.390671,-4.187055
2022-12-30,-4.336508,-4.414173
2023-01-03,-3.806268,-4.373127
2023-01-04,-3.934900,-3.971296
2023-01-05,-4.182428,-4.068777
2023-01-06,-3.873386,-4.256361
2023-01-09,-4.451607,-4.022160
2023-01-10,-4.142225,-4.460352
2023-01-11,-4.426318,-4.225894
2023-01-12,-3.883984,-4.441187
2023-01-13,-4.698504,-4.030191
2023-01-17,-4.191503,-4.647841
2023-01-18,-4.348665,-4.263238
2023-01-19,-4.234413,-4.382340
2023-01-20,-4.496131,-4.295757
2023-01-23,-4.295242,-4.494094
2023-01-24,-4.369955,-4.341855
2023-01-25,-4.241924,-4.398474
2023-01-26,-4.314743,-4.301449
2023-01-27,-4.376705,-4.356633
2023-01-30,-4.349423,-4.403590
