date,actual,lstar
2022-04-20,-4.056968,-4.231498
2022-04-21,-3.928866,-4.151075
2022-04-22,-3.779785,-4.048304
2022-04-25,-3.843672,-3.928702
2022-04-26,-3.879148,-3.979956
2022-04-27,-3.561262,-4.008417
2022-04-28,-3.873867,-3.753391
2022-04-29,-3.418215,-4.004180
2022-05-02,-3.330659,-3.638630
2022-05-03,-3.820760,-3.568388
2022-05-04,-3.328133,-3.961575
2022-05-05,-3.424848,-3.566361
2022-05-06,-3.217667,-3.643952
2022-05-09,-3.617340,-3.477739
2022-05-10,-3.324689,-3.798379
2022-05-11,-3.402485,-3.563598
2022-05-12,-3.143267,-3.626010
2022-05-13,-3.633874,-3.418051
2022-05-16,-3.613832,-3.811644
2022-05-17,-3.503765,-3.795565
2022-05-18,-3.709685,-3.707263
2022-05-19,-3.430189,-3.872464
2022-05-20,-3.605084,-3.641063
2022-05-23,-3.338033,-3.782479
2022-05-24,-3.462097,-3.566547
2022-05-25,-3.667487,-3.666862
2022-05-26,-3.938254,-3.832937
2022-05-27,-4.054259,-4.051873
2022-05-31,-3.641726,-4.145671
2022-06-01,-3.580036,-3.812107
2022-06-02,-3.863485,-3.762225
2022-06-03,-3.950471,-3.991416
2022-06-06,-3.719696,-4.061751
2022-06-07,-3.904114,-3.875151
2022-06-08,-3.887973,-4.024268
2022-06-09,-3.878899,-4.011217
2022-06-10,-3.831214,-4.003880
2022-06-13,-3.685531,-3.965323
2022-06-14,-3.726336,-3.847526
2022-06-15,-3.285658,-3.880520
2022-06-16,-3.717536,-3.524198
2022-06-17,-3.692858,-3.873405
2022-06-21,-3.887897,-3.853451
2022-06-22,-3.684722,-4.011155
2022-06-23,-3.719218,-3.843256
2022-06-24,-3.925433,-3.871276
2022-06-27,-3.873815,-4.038774
2022-06-28,-3.692755,-3.996847
2022-06-29,-3.569782,-3.849781
2022-06-30,-3.451892,-3.749896
2022-07-01,-3.799498,-3.654139
2022-07-05,-3.677524,-3.936483
2022-07-06,-3.464126,-3.837409
2022-07-07,-4.196779,-3.664076
2022-07-08,-3.916103,-4.259176
2022-07-11,-4.014635,-4.031196
