date,actual,lstar
2022-04-20,-4.248732,-4.516918
2022-04-21,-4.447357,-4.347548
2022-04-22,-4.228238,-4.508465
2022-04-25,-3.966359,-4.330247
2022-04-26,-4.109745,-4.099408
2022-04-27,-4.262160,-4.227917
2022-04-28,-4.353462,-4.358817
2022-04-29,-4.163767,-4.433977
2022-05-02,-3.912933,-4.275041
2022-05-03,-4.132607,-4.050390
2022-05-04,-3.863345,-4.247953
2022-05-05,-3.973335,-4.004406
2022-05-06,-3.962795,-4.105767
2022-05-09,-3.992134,-4.096156
2022-05-10,-3.877514,-4.122849
2022-05-11,-3.818328,-4.017591
2022-05-12,-3.806931,-3.962288
2022-05-13,-4.234825,-3.951571
2022-05-16,-4.035636,-4.335821
2022-05-17,-4.226865,-4.162085
2022-05-18,-4.127749,-4.329084
2022-05-19,-4.081048,-4.243706
2022-05-20,-4.186007,-4.200360
2022-05-23,-3.957965,-4.293085
2022-05-24,-3.682600,-4.088311
2022-05-25,-4.343715,-3.828171
2022-05-26,-4.484637,-4.426438
2022-05-27,-4.621290,-4.538468
2022-05-31,-4.254808,-4.639918
2022-06-01,-4.323074,-4.352214
2022-06-02,-4.372919,-4.409438
2022-06-03,-4.346004,-4.450241
2022-06-06,-4.538939,-4.428314
2022-06-07,-4.535665,-4.579655
2022-06-08,-4.465422,-4.577204
2022-06-09,-4.240236,-4.523622
2022-06-10,-4.068757,-4.339808
2022-06-13,-4.055489,-4.189320
2022-06-14,-4.056686,-4.177365
2022-06-15,-3.843302,-4.178445
2022-06-16,-4.005887,-3.981321
2022-06-17,-4.008365,-4.132318
2022-06-21,-4.403142,-4.134581
2022-06-22,-4.466393,-4.474559
2022-06-23,-4.195071,-4.524066
2022-06-24,-4.153459,-4.298534
2022-06-27,-4.235579,-4.261974
2022-06-28,-4.169472,-4.333678
2022-06-29,-4.246393,-4.276095
2022-06-30,-3.894895,-4.342983
2022-07-01,-4.037047,-4.026389
2022-07-05,-4.254633,-4.157513
2022-07-06,-4.285320,-4.350049
2022-07-07,-4.426641,-4.376187
2022-07-08,-4.352783,-4.492600
2022-07-11,-4.341521,-4.432608
2022-07-12,-4.199460,-4.423293
