date,actual,narx
2022-04-20,-4.408297,-4.412914
2022-04-21,-4.179529,-4.332526
2022-04-22,-4.002815,-4.216722
2022-04-25,-3.797045,-4.108437
2022-04-26,-4.159478,-4.090345
2022-04-27,-3.940930,-4.020330
2022-04-28,-3.949639,-4.063629
2022-04-29,-3.758505,-4.107634
2022-05-02,-3.648545,-3.932849
2022-05-03,-4.019652,-3.981141
2022-05-04,-3.751974,-3.994082
2022-05-05,-3.796237,-4.023098
2022-05-06,-3.588442,-3.962302
2022-05-09,-3.764380,-3.943041
2022-05-10,-3.806706,-3.902231
2022-05-11,-3.570279,-3.949198
2022-05-12,-3.316550,-3.905365
2022-05-13,-3.852314,-3.908251
2022-05-16,-4.034737,-3.952662
2022-05-17,-4.113175,-3.956470
2022-05-18,-4.001872,-4.038660
2022-05-19,-3.568566,-3.997479
2022-05-20,-3.641950,-3.909094
2022-05-23,-3.787125,-3.923322
2022-05-24,-3.764813,-3.932363
2022-05-25,-3.975789,-3.901808
2022-05-26,-4.064537,-3.988604
2022-05-27,-4.250407,-4.047473
2022-05-31,-4.052902,-4.099302
2022-06-01,-4.064220,-4.071108
2022-06-02,-4.240557,-4.102397
2022-06-03,-4.067937,-4.137976
2022-06-06,-4.212374,-4.075843
2022-06-07,-4.407981,-4.141988
2022-06-08,-4.263377,-4.238983
2022-06-09,-4.187762,-4.179701
2022-06-10,-4.122888,-4.135613
2022-06-13,-3.892122,-4.098025
2022-06-14,-3.937909,-3.967754
2022-06-15,-3.588477,-3.989532
2022-06-16,-4.044676,-3.949263
2022-06-17,-3.944514,-3.886029
2022-06-21,-4.396741,-3.971597
2022-06-22,-4.022843,-4.119302
2022-06-23,-4.206441,-4.056465
2022-06-24,-4.258986,-4.127455
2022-06-27,-4.305651,-4.201048
2022-06-28,-4.279154,-4.129858
2022-06-29,-4.057176,-4.127461
2022-06-30,-3.768837,-4.141935
2022-07-01,-4.044899,-3.991959
2022-07-05,-4.008366,-4.039538
2022-07-06,-3.925088,-4.078541
2022-07-07,-4.717612,-4.049581
2022-07-08,-4.333950,-4.265556
2022-07-11,-4.421259,-4.219207
2022-07-12,-4.021827,-4.271065
2022-07-13,-3.676994,-4.131816
2022-07-14,-4.205546,-4.007174
2022-07-15,-4.402469,-4.077986
2022-07-18,-4.225309,-4.202927
2022-07-19,-4.452818,-4.104520
2022-07-20,-4.243542,-4.310371
2022-07-21,-4.331349,-4.250712
2022-07-22,-4.310948,-4.238573
2022-07-25,-4.532739,-4.197145
2022-07-26,-4.722634,-4.282376
2022-07-27,-4.108243,-4.393837
2022-07-28,-4.394662,-4.265894
2022-07-29,-4.032282,-4.299057
2022-08-01,-4.359690,-4.179735
2022-08-02,-4.320902,-4.151640
2022-08-03,-4.522145,-4.224511
2022-08-04,-4.352081,-4.360563
2022-08-05,-4.570189,-4.237658
2022-08-08,-4.279003,-4.409017
2022-08-09,-4.621632,-4.252573
2022-08-10,-4.601372,-4.343886
2022-08-11,-4.691963,-4.439137
2022-08-12,-4.812926,-4.461468
2022-08-15,-4.747210,-4.639006
2022-08-16,-4.701001,-4.619048
2022-08-17,-4.402071,-4.543556
2022-08-18,-4.579702,-4.407587
2022-08-19,-4.783212,-4.486750
2022-08-22,-4.802785,-4.505099
2022-08-23,-4.429998,-4.481256
2022-08-24,-4.769684,-4.349291
2022-08-25,-4.758530,-4.540218
2022-08-26,-3.949499,-4.574557
2022-08-29,-4.197160,-4.066395
2022-08-30,-4.174236,-4.133981
2022-08-31,-4.293734,-4.132400
2022-09-01,-4.141875,-4.101945
2022-09-02,-4.176822,-4.143412
2022-09-06,-4.134837,-4.119206
2022-09-07,-4.375179,-4.078709
2022-09-08,-4.127972,-4.187971
2022-09-09,-4.631272,-4.108883
2022-09-12,-4.442703,-4.325601
2022-09-13,-4.474823,-4.290195
2022-09-14,-4.172618,-4.270729
2022-09-15,-4.247667,-4.151111
2022-09-16,-4.144522,-4.139244
2022-09-19,-4.327144,-4.077440
2022-09-20,-4.237705,-4.166595
2022-09-21,-3.461983,-4.126527
2022-09-22,-4.072427,-3.809937
2022-09-23,-4.212847,-3.992402
2022-09-26,-3.966776,-4.102413
2022-09-27,-3.957361,-3.918088
2022-09-28,-3.989655,-3.915943
2022-09-29,-4.016129,-3.947896
2022-09-30,-3.896300,-3.884312
2022-10-03,-4.364585,-3.876332
2022-10-04,-4.294807,-4.086384
2022-10-05,-4.079518,-4.075944
2022-10-06,-4.218425,-4.048775
2022-10-07,-4.393746,-4.096039
2022-10-10,-4.000926,-4.127706
2022-10-11,-4.198480,-3.963661
2022-10-12,-4.289507,-3.997725
2022-10-13,-3.676253,-4.059002
2022-10-14,-3.927494,-3.852211
2022-10-17,-4.318500,-3.903219
2022-10-18,-3.650712,-4.056698
2022-10-19,-4.241674,-3.839178
2022-10-20,-4.115814,-4.017735
2022-10-21,-4.135252,-4.027203
2022-10-24,-4.017945,-3.968905
2022-10-25,-4.412906,-3.983564
2022-10-26,-4.056829,-4.119172
2022-10-27,-3.952778,-4.023884
2022-10-28,-3.842590,-4.052722
2022-10-31,-4.162920,-4.059067
2022-11-01,-4.208343,-4.050169
2022-11-02,-3.547530,-4.063034
2022-11-03,-3.816276,-3.918760
2022-11-04,-3.409421,-3.986061
2022-11-07,-4.088830,-3.898440
2022-11-08,-4.017981,-3.954953
2022-11-09,-4.218440,-3.989978
2022-11-10,-3.943380,-4.065237
2022-11-11,-4.118305,-4.124492
2022-11-14,-4.322634,-4.050089
2022-11-15,-3.899690,-4.125064
2022-11-16,-4.278353,-4.061507
2022-11-17,-4.263254,-4.095742
2022-11-18,-4.176494,-4.161083
2022-11-21,-4.535163,-4.158516
2022-11-22,-4.623396,-4.290237
2022-11-23,-4.435892,-4.385566
2022-11-25,-4.919368,-4.342395
2022-11-28,-4.578270,-4.504686
2022-11-29,-4.045314,-4.436598
2022-11-30,-3.882545,-4.259821
2022-12-01,-4.292940,-4.213170
2022-12-02,-4.416914,-4.141069
2022-12-05,-4.103941,-4.232134
2022-12-06,-4.332896,-4.175115
2022-12-07,-4.126814,-4.194570
2022-12-08,-4.225574,-4.134051
2022-12-09,-4.251798,-4.168428
2022-12-12,-4.317647,-4.158315
2022-12-13,-3.791991,-4.238795
2022-12-14,-3.516569,-4.053678
2022-12-15,-4.232216,-3.967271
2022-12-16,-3.953650,-4.022601
2022-12-19,-4.222369,-4.010150
2022-12-20,-4.037200,-4.091585
2022-12-21,-4.102197,-4.091320
2022-12-22,-4.154108,-4.175368
2022-12-23,-4.072396,-4.091085
2022-12-27,-4.407770,-4.122498
2022-12-28,-4.089726,-4.179308
2022-12-29,-4.390671,-4.132806
2022-12-30,-4.336508,-4.223163
2023-01-03,-3.806268,-4.233640
2023-01-04,-3.934900,-4.087278
2023-01-05,-4.182428,-4.044196
2023-01-06,-3.873386,-4.090510
2023-01-09,-4.451607,-4.031116
2023-01-10,-4.142225,-4.115250
2023-01-11,-4.426318,-4.189822
2023-01-12,-3.883984,-4.245574
2023-01-13,-4.698504,-4.088717
2023-01-17,-4.191503,-4.315961
2023-01-18,-4.348665,-4.234850
2023-01-19,-4.234413,-4.191897
2023-01-20,-4.496131,-4.180554
2023-01-23,-4.295242,-4.337033
2023-01-24,-4.369955,-4.284422
2023-01-25,-4.241924,-4.258905
2023-01-26,-4.314743,-4.218035
2023-01-27,-4.376705,-4.281117
2023-01-30,-4.349423,-4.277258
2023-01-31,-4.237340,-4.229641
2023-02-01,-3.946226,-4.249309
2023-02-02,-4.207069,-4.166245
2023-02-03,-3.616971,-4.241870
