date,actual,narx
2022-04-20,-4.056968,-4.123516
2022-04-21,-3.928866,-4.042509
2022-04-22,-3.779785,-3.969338
2022-04-25,-3.843672,-3.905512
2022-04-26,-3.879148,-3.940613
2022-04-27,-3.561262,-3.866585
2022-04-28,-3.873867,-3.872575
2022-04-29,-3.418215,-3.929818
2022-05-02,-3.330659,-3.793337
2022-05-03,-3.820760,-3.818888
2022-05-04,-3.328133,-3.835653
2022-05-05,-3.424848,-3.828602
2022-05-06,-3.217667,-3.798491
2022-05-09,-3.617340,-3.784063
2022-05-10,-3.324689,-3.771915
2022-05-11,-3.402485,-3.785443
2022-05-12,-3.143267,-3.776155
2022-05-13,-3.633874,-3.782849
2022-05-16,-3.613832,-3.803915
2022-05-17,-3.503765,-3.799252
2022-05-18,-3.709685,-3.816031
2022-05-19,-3.430189,-3.809022
2022-05-20,-3.605084,-3.663848
2022-05-23,-3.338033,-3.712736
2022-05-24,-3.462097,-3.635382
2022-05-25,-3.667487,-3.630249
2022-05-26,-3.938254,-3.726111
2022-05-27,-4.054259,-3.844269
2022-05-31,-3.641726,-3.954603
2022-06-01,-3.580036,-3.795653
2022-06-02,-3.863485,-3.759691
2022-06-03,-3.950471,-3.843436
2022-06-06,-3.719696,-3.839052
2022-06-07,-3.904114,-3.781449
2022-06-08,-3.887973,-3.876314
2022-06-09,-3.878899,-3.864543
2022-06-10,-3.831214,-3.824952
2022-06-13,-3.685531,-3.795907
2022-06-14,-3.726336,-3.681104
2022-06-15,-3.285658,-3.699340
2022-06-16,-3.717536,-3.598519
2022-06-17,-3.692858,-3.631603
2022-06-21,-3.887897,-3.681370
2022-06-22,-3.684722,-3.767968
2022-06-23,-3.719218,-3.745672
2022-06-24,-3.925433,-3.753331
2022-06-27,-3.873815,-3.870367
2022-06-28,-3.692755,-3.801390
2022-06-29,-3.569782,-3.725773
2022-06-30,-3.451892,-3.694575
2022-07-01,-3.799498,-3.626430
2022-07-05,-3.677524,-3.741381
2022-07-06,-3.464126,-3.730894
2022-07-07,-4.196779,-3.658695
2022-07-08,-3.916103,-3.965195
2022-07-11,-4.014635,-3.876783
2022-07-12,-3.794461,-3.919180
2022-07-13,-3.447961,-3.835853
2022-07-14,-3.924517,-3.661700
2022-07-15,-4.052141,-3.819563
2022-07-18,-3.939777,-3.914967
2022-07-19,-4.091056,-3.849586
2022-07-20,-3.786470,-3.998265
2022-07-21,-3.989558,-3.859783
2022-07-22,-3.935546,-3.921967
2022-07-25,-3.979765,-3.901957
2022-07-26,-3.967738,-3.905018
2022-07-27,-3.692661,-3.917055
2022-07-28,-3.972126,-3.815125
2022-07-29,-3.635120,-3.928559
2022-08-01,-3.615658,-3.797578
2022-08-02,-3.876162,-3.734033
2022-08-03,-4.274696,-3.841047
2022-08-04,-3.740857,-4.066577
2022-08-05,-4.133089,-3.856218
2022-08-08,-3.990738,-4.039278
2022-08-09,-4.295885,-3.997480
2022-08-10,-4.328228,-4.084421
2022-08-11,-4.093345,-4.216319
2022-08-12,-4.244263,-4.071617
2022-08-15,-4.466809,-4.199782
2022-08-16,-4.113271,-4.327351
2022-08-17,-4.095213,-4.118214
2022-08-18,-4.337924,-4.072761
2022-08-19,-4.574543,-4.249365
2022-08-22,-4.297363,-4.321546
2022-08-23,-3.970277,-4.169763
2022-08-24,-4.349161,-3.978670
2022-08-25,-4.363371,-4.172519
2022-08-26,-3.548808,-4.221472
2022-08-29,-3.929379,-3.761195
2022-08-30,-3.890972,-3.856464
2022-08-31,-3.972064,-3.845011
2022-09-01,-3.823643,-3.833408
2022-09-02,-3.635696,-3.843778
2022-09-06,-3.964588,-3.746112
2022-09-07,-4.186072,-3.840712
2022-09-08,-3.826750,-3.985201
2022-09-09,-4.358393,-3.857525
2022-09-12,-4.322269,-4.104298
2022-09-13,-4.220552,-4.146747
2022-09-14,-4.023776,-4.021461
2022-09-15,-3.892079,-3.981822
2022-09-16,-3.914047,-3.864093
2022-09-19,-4.216972,-3.845597
2022-09-20,-4.186702,-3.980515
2022-09-21,-3.333692,-3.972940
2022-09-22,-3.737369,-3.664109
2022-09-23,-3.927533,-3.733361
2022-09-26,-3.805218,-3.792456
2022-09-27,-3.839186,-3.728258
2022-09-28,-3.993041,-3.749361
2022-09-29,-3.961284,-3.829571
2022-09-30,-4.003237,-3.807668
2022-10-03,-3.977448,-3.827574
2022-10-04,-4.117916,-3.875261
2022-10-05,-3.921663,-3.917424
2022-10-06,-3.933219,-3.871446
2022-10-07,-4.095981,-3.832242
2022-10-10,-3.923850,-3.861262
2022-10-11,-3.798404,-3.811419
2022-10-12,-3.862711,-3.751054
2022-10-13,-3.344773,-3.760587
2022-10-14,-3.518424,-3.652276
2022-10-17,-3.944082,-3.640211
2022-10-18,-3.843539,-3.749925
2022-10-19,-3.774670,-3.753892
2022-10-20,-3.830393,-3.754320
2022-10-21,-3.932336,-3.761943
2022-10-24,-3.821282,-3.806026
2022-10-25,-4.011068,-3.775794
2022-10-26,-3.674937,-3.831848
2022-10-27,-3.438030,-3.741036
2022-10-28,-3.472553,-3.672403
2022-10-31,-3.782857,-3.677862
2022-11-01,-3.759016,-3.725661
2022-11-02,-3.324386,-3.740771
2022-11-03,-3.500475,-3.628403
2022-11-04,-3.304893,-3.674022
2022-11-07,-3.939796,-3.609412
2022-11-08,-3.870112,-3.751884
2022-11-09,-3.961434,-3.803894
2022-11-10,-3.205958,-3.853068
2022-11-11,-3.703764,-3.692816
2022-11-14,-3.811717,-3.717887
2022-11-15,-3.570944,-3.794643
2022-11-16,-4.039157,-3.704083
2022-11-17,-3.943660,-3.888785
2022-11-18,-4.046696,-3.904772
2022-11-21,-3.919515,-3.958915
2022-11-22,-3.990632,-3.949877
2022-11-23,-4.056543,-3.944279
2022-11-25,-4.355394,-4.008227
2022-11-28,-3.958756,-4.144522
2022-11-29,-4.064298,-3.981539
2022-11-30,-3.732704,-3.985397
2022-12-01,-3.889236,-3.906386
2022-12-02,-4.172307,-3.852705
2022-12-05,-4.171495,-4.030749
2022-12-06,-4.082736,-4.030366
2022-12-07,-3.875302,-4.011953
2022-12-08,-3.851716,-3.919609
2022-12-09,-4.167696,-3.888036
2022-12-12,-4.263175,-3.976143
2022-12-13,-3.578194,-4.069230
2022-12-14,-3.482642,-3.803684
2022-12-15,-4.039179,-3.734558
2022-12-16,-3.916920,-3.876785
2022-12-19,-4.022465,-3.851809
2022-12-20,-3.772322,-3.909832
2022-12-21,-4.091257,-3.856517
2022-12-22,-4.123752,-3.996387
2022-12-23,-3.847408,-4.000837
2022-12-27,-4.196425,-3.892649
2022-12-28,-4.128685,-4.012402
2022-12-29,-4.381815,-4.013185
2022-12-30,-4.173357,-4.151548
2023-01-03,-3.729095,-4.107608
2023-01-04,-3.678039,-3.877440
2023-01-05,-4.214010,-3.815321
2023-01-06,-3.800307,-3.983502
2023-01-09,-4.122268,-3.877889
2023-01-10,-3.884835,-3.941690
2023-01-11,-4.077293,-3.965490
2023-01-12,-3.638226,-3.989735
2023-01-13,-4.144511,-3.847425
2023-01-17,-4.082237,-3.999723
2023-01-18,-3.780875,-4.046178
2023-01-19,-3.988962,-3.854470
2023-01-20,-4.151736,-3.945911
2023-01-23,-4.116930,-4.077385
2023-01-24,-4.023199,-4.062703
2023-01-25,-3.792770,-4.018853
2023-01-26,-3.881968,-3.912112
2023-01-27,-4.041961,-3.940198
2023-01-30,-4.065077,-3.992259
2023-01-31,-4.100032,-3.973193
2023-02-01,-3.582110,-4.049570
2023-02-02,-3.606137,-3.864390
2023-02-03,-3.343241,-3.839313
