date,actual,narx
2022-04-20,-4.248732,-4.354288
2022-04-21,-4.447357,-4.294405
2022-04-22,-4.228238,-4.259397
2022-04-25,-3.966359,-4.162821
2022-04-26,-4.109745,-4.175351
2022-04-27,-4.262160,-4.077608
2022-04-28,-4.353462,-4.146737
2022-04-29,-4.163767,-4.243929
2022-05-02,-3.912933,-4.087265
2022-05-03,-4.132607,-4.113506
2022-05-04,-3.863345,-4.113553
2022-05-05,-3.973335,-4.151476
2022-05-06,-3.962795,-4.037863
2022-05-09,-3.992134,-4.056350
2022-05-10,-3.877514,-4.003595
2022-05-11,-3.818328,-4.032498
2022-05-12,-3.806931,-4.003473
2022-05-13,-4.234825,-4.014260
2022-05-16,-4.035636,-4.104690
2022-05-17,-4.226865,-4.076724
2022-05-18,-4.127749,-4.170511
2022-05-19,-4.081048,-4.059159
2022-05-20,-4.186007,-4.045170
2022-05-23,-3.957965,-4.084545
2022-05-24,-3.682600,-4.079404
2022-05-25,-4.343715,-3.963448
2022-05-26,-4.484637,-4.094070
2022-05-27,-4.621290,-4.224321
2022-05-31,-4.254808,-4.321603
2022-06-01,-4.323074,-4.244069
2022-06-02,-4.372919,-4.208398
2022-06-03,-4.346004,-4.262571
2022-06-06,-4.538939,-4.194806
2022-06-07,-4.535665,-4.309085
2022-06-08,-4.465422,-4.375404
2022-06-09,-4.240236,-4.301637
2022-06-10,-4.068757,-4.181057
2022-06-13,-4.055489,-4.079804
2022-06-14,-4.056686,-3.994173
2022-06-15,-3.843302,-4.031273
2022-06-16,-4.005887,-4.035076
2022-06-17,-4.008365,-3.950393
2022-06-21,-4.403142,-4.006147
2022-06-22,-4.466393,-4.149118
2022-06-23,-4.195071,-4.186311
2022-06-24,-4.153459,-4.179748
2022-06-27,-4.235579,-4.203183
2022-06-28,-4.169472,-4.117457
2022-06-29,-4.246393,-4.063747
2022-06-30,-3.894895,-4.137484
2022-07-01,-4.037047,-4.039026
2022-07-05,-4.254633,-4.065755
2022-07-06,-4.285320,-4.122987
2022-07-07,-4.426641,-4.166538
2022-07-08,-4.352783,-4.274927
2022-07-11,-4.341521,-4.247875
2022-07-12,-4.199460,-4.212052
2022-07-13,-4.063240,-4.156644
2022-07-14,-3.886417,-4.125102
2022-07-15,-4.123756,-4.070273
2022-07-18,-3.983020,-4.160123
2022-07-19,-4.574581,-4.070770
2022-07-20,-4.339386,-4.334832
2022-07-21,-4.201454,-4.301749
2022-07-22,-4.241713,-4.282180
2022-07-25,-4.288970,-4.221916
2022-07-26,-4.334034,-4.233400
2022-07-27,-4.295223,-4.224153
2022-07-28,-4.345761,-4.348473
2022-07-29,-4.503969,-4.335763
2022-08-01,-4.063693,-4.412143
2022-08-02,-4.427928,-4.233806
2022-08-03,-4.373027,-4.285165
2022-08-04,-4.524128,-4.373002
2022-08-05,-4.034083,-4.385285
2022-08-08,-4.497598,-4.277680
2022-08-09,-4.627126,-4.350296
2022-08-10,-4.310381,-4.408610
2022-08-11,-4.418162,-4.459132
2022-08-12,-4.744001,-4.406702
2022-08-15,-4.710312,-4.575231
2022-08-16,-4.453806,-4.554727
2022-08-17,-4.649626,-4.514749
2022-08-18,-4.900540,-4.511029
2022-08-19,-4.791577,-4.628669
2022-08-22,-4.633127,-4.582122
2022-08-23,-4.564232,-4.482132
2022-08-24,-4.680203,-4.461425
2022-08-25,-4.526724,-4.508362
2022-08-26,-3.855291,-4.543067
2022-08-29,-4.575471,-4.142863
2022-08-30,-4.232865,-4.280704
2022-08-31,-4.222818,-4.211811
2022-09-01,-4.168926,-4.217275
