date,actual,fnn,lstm,nar
2022-04-20,-4.408297,-4.424542,-4.446313,-4.458848
2022-04-21,-4.179529,-4.410095,-4.454916,-4.427535
2022-04-22,-4.002815,-4.289105,-4.333446,-4.246201
2022-04-25,-3.797045,-4.126864,-4.164030,-4.156742
2022-04-26,-4.159478,-3.989732,-3.979909,-4.009859
2022-04-27,-3.940930,-4.088728,-4.098998,-4.118128
2022-04-28,-3.949639,-4.027586,-4.060853,-4.070107
2022-04-29,-3.758505,-4.031566,-4.040503,-4.006256
2022-05-02,-3.648545,-3.950631,-3.917251,-3.957303
2022-05-03,-4.019652,-3.903793,-3.806191,-3.861313
2022-05-04,-3.751974,-3.994009,-3.955960,-3.990149
2022-05-05,-3.796237,-3.936675,-3.902772,-3.922049
2022-05-06,-3.588442,-3.944802,-3.889716,-3.895832
2022-05-09,-3.764380,-3.883862,-3.762978,-3.859022
2022-05-10,-3.806706,-3.909370,-3.802050,-3.857066
2022-05-11,-3.570279,-3.923961,-3.852478,-3.901288
2022-05-12,-3.316550,-3.881901,-3.758131,-3.813124
2022-05-13,-3.852314,-3.831637,-3.572030,-3.746566
2022-05-16,-4.034737,-3.909045,-3.753546,-3.866060
2022-05-17,-4.113175,-3.994064,-3.981893,-3.983402
2022-05-18,-4.001872,-4.086323,-4.125152,-4.032063
2022-05-19,-3.568566,-4.067873,-4.104356,-4.067266
2022-05-20,-3.641950,-3.890380,-3.844382,-3.841811
2022-05-23,-3.787125,-3.856227,-3.760249,-3.836511
2022-05-24,-3.764813,-3.886473,-3.818425,-3.885836
2022-05-25,-3.975789,-3.893548,-3.847658,-3.850847
2022-05-26,-4.064537,-3.987114,-3.975106,-3.953694
2022-05-27,-4.250407,-4.054264,-4.075848,-4.047235
2022-05-31,-4.052902,-4.194162,-4.219699,-4.143618
2022-06-01,-4.064220,-4.120680,-4.162549,-4.094740
2022-06-02,-4.240557,-4.112035,-4.136166,-4.082229
2022-06-03,-4.067937,-4.196124,-4.220075,-4.198675
2022-06-06,-4.212374,-4.126996,-4.168309,-4.104836
2022-06-07,-4.407981,-4.200321,-4.220984,-4.172103
2022-06-08,-4.263377,-4.332870,-4.350039,-4.345777
2022-06-09,-4.187762,-4.296892,-4.330327,-4.255627
2022-06-10,-4.122888,-4.244355,-4.271411,-4.213818
2022-06-13,-3.892122,-4.171490,-4.203341,-4.193949
2022-06-14,-3.937909,-4.031476,-4.053874,-4.025657
2022-06-15,-3.588477,-4.010118,-4.014248,-4.014019
2022-06-16,-4.044676,-3.870200,-3.814182,-3.883116
2022-06-17,-3.944514,-4.014661,-3.986073,-3.993055
2022-06-21,-4.396741,-3.990491,-4.010473,-4.031193
2022-06-22,-4.022843,-4.274911,-4.279499,-4.207420
2022-06-23,-4.206441,-4.118495,-4.162356,-4.139972
2022-06-24,-4.258986,-4.191646,-4.211252,-4.158879
2022-06-27,-4.305651,-4.214661,-4.254467,-4.262523
2022-06-28,-4.279154,-4.277663,-4.307366,-4.263525
2022-06-29,-4.057176,-4.279417,-4.308153,-4.265871
2022-06-30,-3.768837,-4.154346,-4.182910,-4.172790
2022-07-01,-4.044899,-3.987371,-3.967295,-3.949849
2022-07-05,-4.008366,-4.033248,-4.029734,-4.066739
2022-07-06,-3.925088,-4.031298,-4.052454,-4.073154
2022-07-07,-4.717612,-4.013872,-4.018375,-3.972753
2022-07-08,-4.333950,-4.434256,-4.448586,-4.475235
2022-07-11,-4.421259,-4.369960,-4.412192,-4.375937
2022-07-12,-4.021827,-4.446440,-4.433731,-4.338298
2022-07-13,-3.676994,-4.174310,-4.202185,-4.242491
2022-07-14,-4.205546,-3.967969,-3.924794,-3.923642
2022-07-15,-4.402469,-4.099555,-4.100028,-4.152833
2022-07-18,-4.225309,-4.262507,-4.314371,-4.368464
2022-07-19,-4.452818,-4.262775,-4.297537,-4.209449
2022-07-20,-4.243542,-4.391503,-4.396631,-4.411638
2022-07-21,-4.331349,-4.289042,-4.321600,-4.324630
2022-07-22,-4.310948,-4.324668,-4.338590,-4.277324
2022-07-25,-4.532739,-4.303183,-4.330710,-4.345512
2022-07-26,-4.722634,-4.466984,-4.439511,-4.435585
2022-07-27,-4.108243,-4.637528,-4.592234,-4.585258
2022-07-28,-4.394662,-4.313960,-4.348205,-4.281020
2022-07-29,-4.032282,-4.382194,-4.349102,-4.359087
2022-08-01,-4.359690,-4.137204,-4.177512,-4.232687
2022-08-02,-4.320902,-4.299706,-4.280187,-4.266183
2022-08-03,-4.522145,-4.295832,-4.316015,-4.352181
2022-08-04,-4.352081,-4.466098,-4.438966,-4.427462
2022-08-05,-4.570189,-4.391207,-4.400061,-4.375887
2022-08-08,-4.279003,-4.528550,-4.486223,-4.483497
2022-08-09,-4.621632,-4.357995,-4.377562,-4.353406
2022-08-10,-4.601372,-4.552312,-4.497697,-4.505952
2022-08-11,-4.691963,-4.576785,-4.551511,-4.566774
2022-08-12,-4.812926,-4.678696,-4.622293,-4.614871
2022-08-15,-4.747210,-4.767048,-4.702316,-4.708717
2022-08-16,-4.701001,-4.765114,-4.710904,-4.725586
2022-08-17,-4.402071,-4.739814,-4.684196,-4.678144
2022-08-18,-4.579702,-4.525182,-4.515977,-4.530658
2022-08-19,-4.783212,-4.572155,-4.521117,-4.571567
2022-08-22,-4.802785,-4.697492,-4.641534,-4.712337
2022-08-23,-4.429998,-4.777073,-4.718647,-4.744141
2022-08-24,-4.769684,-4.570002,-4.561404,-4.549880
2022-08-25,-4.758530,-4.708900,-4.635124,-4.724725
2022-08-26,-3.949499,-4.728271,-4.684480,-4.719725
2022-08-29,-4.197160,-4.290518,-4.345551,-4.217372
2022-08-30,-4.174236,-4.220745,-4.226877,-4.285944
2022-08-31,-4.293734,-4.158238,-4.200091,-4.345405
2022-09-01,-4.141875,-4.254036,-4.277350,-4.246475
2022-09-02,-4.176822,-4.186553,-4.235611,-4.221684
2022-09-06,-4.134837,-4.188926,-4.221258,-4.227827
2022-09-07,-4.375179,-4.153955,-4.194820,-4.168591
2022-09-08,-4.127972,-4.294680,-4.303847,-4.298026
2022-09-09,-4.631272,-4.192041,-4.248383,-4.194530
2022-09-12,-4.442703,-4.484663,-4.444976,-4.465614
2022-09-13,-4.474823,-4.449496,-4.472590,-4.454872
2022-09-14,-4.172618,-4.498863,-4.485719,-4.428625
2022-09-15,-4.247667,-4.284868,-4.331575,-4.304098
2022-09-16,-4.144522,-4.261793,-4.283732,-4.290846
2022-09-19,-4.327144,-4.177801,-4.223347,-4.217383
2022-09-20,-4.237705,-4.275142,-4.290278,-4.302262
2022-09-21,-3.461983,-4.246379,-4.288743,-4.276161
2022-09-22,-4.072427,-3.933532,-3.925297,-3.848529
2022-09-23,-4.212847,-4.026367,-3.973507,-4.046752
2022-09-26,-3.966776,-4.115106,-4.135448,-4.250543
2022-09-27,-3.957361,-4.068262,-4.095240,-4.007885
2022-09-28,-3.989655,-4.031908,-4.046940,-4.037897
2022-09-29,-4.016129,-4.023803,-4.041711,-4.050428
2022-09-30,-3.896300,-4.040503,-4.064078,-4.021701
2022-10-03,-4.364585,-3.994221,-4.001028,-3.980407
2022-10-04,-4.294807,-4.225545,-4.262705,-4.205382
2022-10-05,-4.079518,-4.263721,-4.308361,-4.255698
2022-10-06,-4.218425,-4.176898,-4.207763,-4.116018
2022-10-07,-4.393746,-4.199332,-4.234857,-4.212047
2022-10-10,-4.000926,-4.314851,-4.349762,-4.318076
2022-10-11,-4.198480,-4.141549,-4.170796,-4.101510
2022-10-12,-4.289507,-4.182359,-4.215533,-4.175353
2022-10-13,-3.676253,-4.235311,-4.277637,-4.287313
2022-10-14,-3.927494,-3.984736,-3.961451,-3.935941
2022-10-17,-4.318500,-3.982263,-3.972647,-3.994910
2022-10-18,-3.650712,-4.174675,-4.217441,-4.250722
2022-10-19,-4.241674,-3.954784,-3.927428,-3.899376
2022-10-20,-4.115814,-4.139361,-4.163600,-4.119175
2022-10-21,-4.135252,-4.108839,-4.156669,-4.222414
2022-10-24,-4.017945,-4.152829,-4.188377,-4.086491
2022-10-25,-4.412906,-4.081747,-4.111601,-4.110820
2022-10-26,-4.056829,-4.290483,-4.324818,-4.277481
2022-10-27,-3.952778,-4.157829,-4.214553,-4.164914
2022-10-28,-3.842590,-4.073618,-4.097912,-4.054622
2022-10-31,-4.162920,-3.979286,-3.982267,-4.022795
2022-11-01,-4.208343,-4.083584,-4.100616,-4.074401
2022-11-02,-3.547530,-4.156621,-4.205258,-4.148680
2022-11-03,-3.816276,-3.951811,-3.929582,-3.923564
2022-11-04,-3.409421,-3.928261,-3.872700,-3.945667
2022-11-07,-4.088830,-3.836830,-3.691638,-3.878208
2022-11-08,-4.017981,-3.989541,-3.934261,-3.951702
2022-11-09,-4.218440,-4.019482,-4.053614,-4.050976
2022-11-10,-3.943380,-4.156187,-4.188443,-4.077374
2022-11-11,-4.118305,-4.061984,-4.103308,-4.102192
2022-11-14,-4.322634,-4.103256,-4.128522,-4.078214
2022-11-15,-3.899690,-4.220497,-4.257915,-4.235485
2022-11-16,-4.278353,-4.078918,-4.120996,-4.053796
2022-11-17,-4.263254,-4.188631,-4.204371,-4.171909
2022-11-18,-4.176494,-4.218892,-4.269902,-4.248191
2022-11-21,-4.535163,-4.212796,-4.252512,-4.166223
2022-11-22,-4.623396,-4.402453,-4.402971,-4.366285
2022-11-23,-4.435892,-4.546596,-4.537285,-4.490803
2022-11-25,-4.919368,-4.506835,-4.500811,-4.428548
2022-11-28,-4.578270,-4.749868,-4.679626,-4.663444
2022-11-29,-4.045314,-4.662527,-4.632077,-4.631824
2022-11-30,-3.882545,-4.346478,-4.326008,-4.264980
2022-12-01,-4.292940,-4.077932,-4.051749,-4.136267
2022-12-02,-4.416914,-4.156339,-4.159122,-4.255105
2022-12-05,-4.103941,-4.298584,-4.329550,-4.318225
2022-12-06,-4.332896,-4.225733,-4.241421,-4.186066
2022-12-07,-4.126814,-4.276568,-4.279808,-4.265834
2022-12-08,-4.225574,-4.186079,-4.209716,-4.211556
2022-12-09,-4.251798,-4.212712,-4.222766,-4.186271
2022-12-12,-4.317647,-4.223520,-4.245229,-4.247321
2022-12-13,-3.791991,-4.280306,-4.296351,-4.263763
2022-12-14,-3.516569,-4.070202,-4.051702,-4.036394
2022-12-15,-4.232216,-3.913974,-3.773041,-3.892930
2022-12-16,-3.953650,-4.050529,-3.996549,-4.086132
2022-12-19,-4.222369,-4.026844,-4.032422,-4.057302
2022-12-20,-4.037200,-4.156791,-4.160602,-4.102519
2022-12-21,-4.102197,-4.100193,-4.115734,-4.136449
2022-12-22,-4.154108,-4.117911,-4.121512,-4.081981
2022-12-23,-4.072396,-4.133993,-4.149244,-4.159476
2022-12-27,-4.407770,-4.116921,-4.128463,-4.100502
2022-12-28,-4.089726,-4.273659,-4.284783,-4.258223
2022-12-29,-4.390671,-4.184477,-4.209592,-4.179235
2022-12-30,-4.336508,-4.311452,-4.324074,-4.260686
2023-01-03,-3.806268,-4.317441,-4.353261,-4.329259
2023-01-04,-3.934900,-4.090661,-4.103944,-4.037990
2023-01-05,-4.182428,-4.015858,-4.010931,-4.044785
2023-01-06,-3.873386,-4.096383,-4.123142,-4.150116
2023-01-09,-4.451607,-4.025442,-4.048021,-4.000882
2023-01-10,-4.142225,-4.267292,-4.276650,-4.220940
2023-01-11,-4.426318,-4.197765,-4.254403,-4.218060
2023-01-12,-3.883984,-4.353329,-4.360202,-4.275938
2023-01-13,-4.698504,-4.109544,-4.142646,-4.137060
2023-01-17,-4.191503,-4.444543,-4.423301,-4.384150
2023-01-18,-4.348665,-4.294415,-4.348644,-4.331799
2023-01-19,-4.234413,-4.355918,-4.357717,-4.277309
2023-01-20,-4.496131,-4.261015,-4.298935,-4.330560
2023-01-23,-4.295242,-4.407288,-4.411388,-4.365698
2023-01-24,-4.369955,-4.343978,-4.374077,-4.336176
2023-01-25,-4.241924,-4.368740,-4.378551,-4.330017
2023-01-26,-4.314743,-4.285685,-4.317765,-4.299631
2023-01-27,-4.376705,-4.302334,-4.324982,-4.283385
2023-01-30,-4.349423,-4.341503,-4.365068,-4.340219
2023-01-31,-4.237340,-4.353217,-4.374900,-4.328199
2023-02-01,-3.946226,-4.288938,-4.317047,-4.270376
2023-02-02,-4.207069,-4.127299,-4.199690,-4.120684
2023-02-03,-3.616971,-4.149051,-4.158366,-4.171438
2023-02-06,-4.268379,-3.976317,-3.998722,-3.987061
2023-02-07,-3.954759,-4.108801,-4.067566,-4.096888
2023-02-08,-4.266057,-4.046705,-4.032876,-4.123670
2023-02-09,-4.314705,-4.183085,-4.186675,-4.120936
2023-02-10,-4.422898,-4.242290,-4.223921,-4.281586
2023-02-13,-4.679501,-4.364483,-4.350829,-4.288571
2023-02-14,-4.149080,-4.553085,-4.477820,-4.483317
2023-02-15,-4.317420,-4.358084,-4.419416,-4.302646
2023-02-16,-4.416322,-4.326008,-4.364419,-4.302152
2023-02-17,-4.423652,-4.342022,-4.320743,-4.407369
2023-02-21,-4.661120,-4.405142,-4.396430,-4.370965
2023-02-22,-4.288790,-4.561209,-4.496723,-4.520184
2023-02-23,-4.479335,-4.424990,-4.457390,-4.399687
2023-02-24,-4.675693,-4.457959,-4.455286,-4.412453
2023-02-27,-4.764465,-4.564026,-4.488332,-4.577059
