date,actual,fnn,lstm,nar
2022-04-20,-4.056968,-4.122171,-4.134560,-4.125993
2022-04-21,-3.928866,-4.054230,-4.088543,-4.100227
2022-04-22,-3.779785,-3.998030,-4.020910,-4.006236
2022-04-25,-3.843672,-3.898531,-3.891623,-3.948259
2022-04-26,-3.879148,-3.887551,-3.863895,-3.912440
2022-04-27,-3.561262,-3.896598,-3.879709,-3.928102
2022-04-28,-3.873867,-3.805476,-3.736526,-3.833407
2022-04-29,-3.418215,-3.870822,-3.814045,-3.887289
2022-05-02,-3.330659,-3.756509,-3.625614,-3.800220
2022-05-03,-3.820760,-3.726271,-3.514132,-3.764166
2022-05-04,-3.328133,-3.813813,-3.671545,-3.833464
2022-05-05,-3.424848,-3.727678,-3.538200,-3.756154
2022-05-06,-3.217667,-3.733637,-3.527587,-3.773916
2022-05-09,-3.617340,-3.696344,-3.392184,-3.729845
2022-05-10,-3.324689,-3.753505,-3.543084,-3.761419
2022-05-11,-3.402485,-3.713007,-3.471181,-3.743644
2022-05-12,-3.143267,-3.723014,-3.488828,-3.736416
2022-05-13,-3.633874,-3.688740,-3.355179,-3.715890
2022-05-16,-3.613832,-3.754424,-3.532596,-3.755857
2022-05-17,-3.503765,-3.762253,-3.606368,-3.795086
2022-05-18,-3.709685,-3.756117,-3.608038,-3.765172
2022-05-19,-3.430189,-3.796719,-3.679578,-3.848468
2022-05-20,-3.605084,-3.664989,-3.622311,-3.629375
2022-05-23,-3.338033,-3.716817,-3.676968,-3.711046
2022-05-24,-3.462097,-3.626195,-3.546208,-3.589324
2022-05-25,-3.667487,-3.654004,-3.573733,-3.621024
2022-05-26,-3.938254,-3.731120,-3.685787,-3.691856
2022-05-27,-4.054259,-3.889822,-3.891358,-3.818806
2022-05-31,-3.641726,-4.006127,-4.035227,-3.983243
2022-06-01,-3.580036,-3.828864,-3.861377,-3.793464
2022-06-02,-3.863485,-3.750670,-3.744691,-3.758060
2022-06-03,-3.950471,-3.849483,-3.844753,-3.829856
2022-06-06,-3.719696,-3.924500,-3.950531,-3.874850
2022-06-07,-3.904114,-3.837370,-3.869151,-3.796869
2022-06-08,-3.887973,-3.909661,-3.926713,-3.881068
2022-06-09,-3.878899,-3.904844,-3.936832,-3.884113
