date,actual,fnn,lstm,nar
2022-04-20,-4.248732,-4.337088,-4.433322,-4.376813
2022-04-21,-4.447357,-4.349895,-4.367524,-4.305012
2022-04-22,-4.228238,-4.386235,-4.450196,-4.363642
2022-04-25,-3.966359,-4.335412,-4.351094,-4.291169
2022-04-26,-4.109745,-4.255566,-4.182127,-4.114505
2022-04-27,-4.262160,-4.183820,-4.166669,-4.160927
2022-04-28,-4.353462,-4.199568,-4.255166,-4.241331
2022-04-29,-4.163767,-4.280349,-4.360128,-4.299028
2022-05-02,-3.912933,-4.293446,-4.295539,-4.235683
2022-05-03,-4.132607,-4.213367,-4.123548,-4.062703
2022-05-04,-3.863345,-4.169398,-4.157989,-4.124712
2022-05-05,-3.973335,-4.141129,-4.026136,-4.025599
2022-05-06,-3.962795,-4.137783,-4.049251,-4.031946
2022-05-09,-3.992134,-4.124815,-4.034368,-4.053638
2022-05-10,-3.877514,-4.137049,-4.063475,-4.021207
2022-05-11,-3.818328,-4.127992,-4.004012,-3.982000
2022-05-12,-3.806931,-4.111765,-3.944317,-3.938245
2022-05-13,-4.234825,-4.096588,-3.905671,-3.918374
2022-05-16,-4.035636,-4.132185,-4.147411,-4.100185
2022-05-17,-4.226865,-4.165839,-4.136014,-4.081697
2022-05-18,-4.127749,-4.219533,-4.251225,-4.166816
2022-05-19,-4.081048,-4.210625,-4.215613,-4.168459
2022-05-20,-4.186007,-4.124954,-4.203134,-4.108675
2022-05-23,-3.957965,-4.154756,-4.232306,-4.180779
2022-05-24,-3.682600,-4.057765,-4.139488,-4.083599
2022-05-25,-4.343715,-3.927238,-3.946805,-3.964351
2022-05-26,-4.484637,-4.148363,-4.181792,-4.155324
2022-05-27,-4.621290,-4.320156,-4.415561,-4.340519
2022-05-31,-4.254808,-4.562274,-4.582305,-4.479541
2022-06-01,-4.323074,-4.404787,-4.453851,-4.367696
2022-06-02,-4.372919,-4.368085,-4.405937,-4.299933
2022-06-03,-4.346004,-4.348428,-4.410254,-4.358684
2022-06-06,-4.538939,-4.358791,-4.417242,-4.349315
2022-06-07,-4.535665,-4.479427,-4.510774,-4.466929
2022-06-08,-4.465422,-4.527417,-4.555027,-4.501845
2022-06-09,-4.240236,-4.520062,-4.539165,-4.462921
2022-06-10,-4.068757,-4.361567,-4.411921,-4.344804
2022-06-13,-4.055489,-4.187469,-4.257611,-4.203810
2022-06-14,-4.056686,-4.100682,-4.174428,-4.160776
2022-06-15,-3.843302,-4.073797,-4.150197,-4.143649
2022-06-16,-4.005887,-3.981713,-4.039070,-4.046780
2022-06-17,-4.008365,-4.011286,-4.058869,-4.052730
2022-06-21,-4.403142,-4.014400,-4.082373,-4.063618
2022-06-22,-4.466393,-4.245028,-4.312213,-4.221922
2022-06-23,-4.195071,-4.400966,-4.439599,-4.378217
2022-06-24,-4.153459,-4.311697,-4.353150,-4.242960
2022-06-27,-4.235579,-4.222064,-4.261112,-4.198854
2022-06-28,-4.169472,-4.218935,-4.261372,-4.215818
2022-06-29,-4.246393,-4.193131,-4.244185,-4.191036
2022-06-30,-3.894895,-4.235783,-4.276900,-4.248168
2022-07-01,-4.037047,-4.051821,-4.099906,-4.083364
2022-07-05,-4.254633,-4.055297,-4.078187,-4.067331
2022-07-06,-4.285320,-4.162766,-4.201083,-4.202654
2022-07-07,-4.426641,-4.251337,-4.300725,-4.238454
2022-07-08,-4.352783,-4.383856,-4.410999,-4.356768
2022-07-11,-4.341521,-4.380707,-4.413361,-4.344296
2022-07-12,-4.199460,-4.376621,-4.402334,-4.315188
2022-07-13,-4.063240,-4.271188,-4.314735,-4.254361
2022-07-14,-3.886417,-4.151240,-4.198156,-4.154219
2022-07-15,-4.123756,-4.010080,-4.041649,-4.050839
2022-07-18,-3.983020,-4.078755,-4.100084,-4.121039
2022-07-19,-4.574581,-4.029517,-4.072506,-4.086275
2022-07-20,-4.339386,-4.374315,-4.393544,-4.363730
2022-07-21,-4.201454,-4.363433,-4.415493,-4.367888
2022-07-22,-4.241713,-4.308969,-4.340621,-4.238666
2022-07-25,-4.288970,-4.257421,-4.295867,-4.266476
2022-07-26,-4.334034,-4.270592,-4.325367,-4.244565
2022-07-27,-4.295223,-4.318470,-4.366534,-4.302967
2022-07-28,-4.345761,-4.314248,-4.361636,-4.313511
2022-07-29,-4.503969,-4.343549,-4.385212,-4.317665
2022-08-01,-4.063693,-4.451694,-4.478279,-4.414436
2022-08-02,-4.427928,-4.233046,-4.284927,-4.213071
2022-08-03,-4.373027,-4.362370,-4.395224,-4.335947
2022-08-04,-4.524128,-4.351079,-4.401183,-4.381869
2022-08-05,-4.034083,-4.495391,-4.509820,-4.436605
2022-08-08,-4.497598,-4.227428,-4.277592,-4.242122
2022-08-09,-4.627126,-4.401388,-4.428938,-4.362626
2022-08-10,-4.310381,-4.523584,-4.549765,-4.515486
2022-08-11,-4.418162,-4.441014,-4.462784,-4.381217
2022-08-12,-4.744001,-4.445934,-4.462020,-4.419414
2022-08-15,-4.710312,-4.615211,-4.620234,-4.593227
2022-08-16,-4.453806,-4.699108,-4.680937,-4.626892
2022-08-17,-4.649626,-4.590990,-4.581840,-4.540395
2022-08-18,-4.900540,-4.640862,-4.622148,-4.599101
2022-08-19,-4.791577,-4.775110,-4.755178,-4.740123
