origin_idx,origin_date,gamma,c,phi1,phi2,n_successful_starts,converged
0,2022-04-20,50.000000,-4.725313,"[-1.935066174142695, 0.5927078759888555]","[-1.0176787454110494, 0.7780879771416653]",20,True
22,2022-05-20,50.000000,-4.956943,"[-1.4123987005762948, 0.6923477707902174]","[-0.9094211858733243, 0.8040153393561377]",20,True
44,2022-06-23,50.000000,-4.726128,"[-1.9544836558798795, 0.5890066460892712]","[-0.9710249795315372, 0.7880036457072748]",20,True
66,2022-07-26,50.000000,-4.732594,"[-2.0007722847033196, 0.580103492468898]","[-0.9903532527597269, 0.7828984306099137]",20,True
88,2022-08-25,50.000000,-4.741609,"[-2.0074143194712386, 0.5789240952620449]","[-0.9946901003779685, 0.7819617067489953]",20,True
110,2022-09-27,50.000000,-4.750483,"[-1.9894750327817403, 0.5826253693750084]","[-1.026569857345943, 0.7736937998024416]",20,True
132,2022-10-27,50.000000,-4.749935,"[-2.0198557465265456, 0.5766432892741299]","[-1.055695022838256, 0.7660149355131518]",20,True
154,2022-11-29,50.000000,-4.750023,"[-2.0347831199293394, 0.5728756011317164]","[-1.071161030334969, 0.7618834495793209]",20,True
176,2022-12-30,50.000000,-4.748266,"[-1.941851050748152, 0.5908537571093145]","[-1.0867978471464215, 0.7578284719162933]",20,True
198,2023-02-02,50.000000,-4.749574,"[-1.9191549904534626, 0.5956824125001015]","[-1.1281788871699, 0.7470907671942625]",20,True
220,2023-03-07,50.000000,-4.748765,"[-1.956020244046521, 0.5885294456803705]","[-1.155652585292706, 0.7403209043245818]",20,True
242,2023-04-06,50.000000,-4.747748,"[-1.9274752705678886, 0.5942590508094979]","[-1.171127380353976, 0.7362999759381469]",20,True
264,2023-05-09,50.000000,-4.744914,"[-1.9808738001732962, 0.5817034210407983]","[-1.1511070753921684, 0.7413500703694142]",20,True
286,2023-06-09,50.000000,-4.749787,"[-2.241531702604412, 0.5274142428724589]","[-1.145609287725421, 0.743047297774162]",20,True
308,2023-07-13,50.000000,-4.751994,"[-2.7316629172042193, 0.42713629606282133]","[-1.1329827246159359, 0.7462754244556068]",20,True
330,2023-08-14,50.000000,-4.748340,"[-3.0186193897708145, 0.3674475979681875]","[-1.1382846379467015, 0.7452081777040366]",20,True
352,2023-09-14,50.000000,-4.745895,"[-3.067820780608477, 0.3562477684505473]","[-1.1488777231157037, 0.7426046915442956]",20,True
374,2023-10-16,50.000000,-4.745918,"[-3.0468637665849716, 0.36015124286418304]","[-1.1306211749334143, 0.7469140148235391]",20,True
396,2023-11-15,50.000000,-4.744873,"[-2.908412261744212, 0.3877346743401259]","[-1.1319120459293073, 0.7464489831211085]",20,True
418,2023-12-18,50.000000,-4.743396,"[-2.9027719424755323, 0.3903067417709747]","[-1.1452384664599475, 0.7429020619524308]",20,True
440,2024-01-22,50.000000,-4.740264,"[-2.880962641043106, 0.3948486771591328]","[-1.1425589168631884, 0.7434656271659016]",20,True
462,2024-02-22,50.000000,-4.742507,"[-2.9571391338024346, 0.37818412950132063]","[-1.1367767608299215, 0.7450752221093305]",20,True
484,2024-03-25,50.000000,-4.743242,"[-2.8283256859036046, 0.40343955580598734]","[-1.149998760518761, 0.7419190017403108]",20,True
506,2024-04-25,50.000000,-4.746377,"[-3.153719978218762, 0.33642358712709447]","[-1.154303425938967, 0.7408116404263707]",20,True
528,2024-05-28,50.000000,-4.747963,"[-3.1407068068085535, 0.33934707439211914]","[-1.1509113038763923, 0.7418837548687971]",20,True
550,2024-06-28,50.000000,-4.747036,"[-3.02064284640018, 0.36305442104609736]","[-1.1424095215442425, 0.7438069275924453]",20,True
572,2024-07-31,50.000000,-4.746554,"[-3.020553579850173, 0.36333245793425933]","[-1.1684324351135538, 0.7375694501284463]",20,True
594,2024-08-30,50.000000,-4.746934,"[-2.9882754882619236, 0.3694691405918428]","[-1.154093957797152, 0.7408196731991504]",20,True
616,2024-10-02,50.000000,-5.066131,"[-1.7097921250489532, 0.6109279235269096]","[-1.1344123139724875, 0.7461496228369575]",20,True
638,2024-11-01,50.000000,-5.064211,"[-1.8729077687099651, 0.576553228416642]","[-1.1401177026712943, 0.7447736394623488]",20,True
660,2024-12-04,5.907379,-5.168269,"[1.1219310089788945, 1.1295545507353895]","[-1.123815790811188, 0.7488722725598134]",20,True
