origin_idx,origin_date,gamma,c,phi1,phi2,n_successful_starts,converged
0,2022-04-20,50.000000,-5.247925,"[-2.078690308745993, 0.5370476135013724]","[-0.8963420626170735, 0.8022573035251656]",11,True
22,2022-05-20,50.000000,-5.247558,"[-2.077452966874811, 0.5372709561518475]","[-0.8674854913638995, 0.808578409654566]",10,True
44,2022-06-23,50.000000,-5.247349,"[-2.077883843598971, 0.537192522892463]","[-0.8503274986945581, 0.8122535416344265]",5,True
66,2022-07-26,0.395992,-3.122087,"[-17.89713206026314, -1.725576388813482]","[-9.270572967973356, -4.7713461078878066]",7,True
88,2022-08-25,0.382050,-2.849772,"[-18.33638267637669, -1.752311018265186]","[-10.391504114092424, -5.937830006782924]",10,True
110,2022-09-27,50.000000,-5.247078,"[-2.0864338097362594, 0.5356437481870203]","[-0.8171448537613069, 0.818669420194961]",7,True
132,2022-10-27,50.000000,-5.246661,"[-2.0535398666586473, 0.5415653593896448]","[-0.7915793982637677, 0.8240777937416043]",6,True
154,2022-11-29,0.581736,-4.219972,"[-12.324436812985699, -1.0854213611872152]","[-5.087841636666886, -1.020378376006956]",8,True
176,2022-12-30,0.622211,-4.423077,"[-12.073550426082587, -1.0818103806726398]","[-4.33763748097886, -0.617548871952772]",10,True
198,2023-02-02,0.654026,-4.535670,"[-11.511952147811133, -1.006896282836671]","[-3.8892378379340777, -0.38623771955118946]",17,True
220,2023-03-07,0.551477,-4.896670,"[-17.18497612267085, -1.8502533756382298]","[-3.7052710179295927, -0.4482450799890351]",11,True
242,2023-04-06,0.533857,-5.072088,"[-20.06635705220333, -2.2802270799475792]","[-3.676923638528205, -0.4596671622757525]",14,True
264,2023-05-09,0.518723,-4.934840,"[-18.65075245728346, -2.0343419549061683]","[-3.8628443856036103, -0.5666552981109144]",6,True
286,2023-06-09,0.429395,-5.658592,"[-36.094570120698044, -4.511126151251512]","[-3.7099766684407194, -0.7471599347137461]",11,True
308,2023-07-13,0.727094,-5.063296,"[-13.679104512312698, -1.448892751395129]","[-2.6397347500497776, 0.15795519235226144]",19,True
330,2023-08-14,50.000000,-5.247402,"[-2.397876254695402, 0.4523100061830004]","[-0.8553440828452521, 0.8048200341523131]",19,True
352,2023-09-14,50.000000,-5.247732,"[-2.3228418983864265, 0.4647698609446865]","[-0.8779414374948443, 0.7991024544786104]",19,True
374,2023-10-16,0.428353,-5.139921,"[-24.753257079402033, -2.899998864177466]","[-3.8287627921008713, -0.7498053141626808]",10,True
396,2023-11-15,0.421848,-5.937692,"[-34.75829565780187, -4.415892683655392]","[-2.990687995208255, -0.3020956017394854]",7,True
418,2023-12-18,0.482383,-5.901366,"[-26.67135029820594, -3.34886733300079]","[-2.4748124767847233, 0.07370508575828184]",8,True
440,2024-01-22,0.356123,-5.940941,"[-41.37719150303373, -5.105743334462219]","[-3.2533016475781054, -0.7528568761121803]",7,True
462,2024-02-22,0.457663,-5.779953,"[-25.375271658317338, -3.09172134877804]","[-2.6501977519558895, -0.030260759976893273]",9,True
484,2024-03-25,0.543664,-5.923457,"[-22.622691652871666, -2.8345828015235703]","[-2.082947721402192, 0.3104512590791434]",7,True
506,2024-04-25,50.000000,-5.246990,"[-3.5300621089626354, 0.2536998252628837]","[-0.956288452417183, 0.7786886619723448]",5,True
528,2024-05-28,0.495940,-5.921845,"[-25.67002575499057, -3.2702606066044417]","[-2.3383463926855694, 0.17336651402839834]",6,True
550,2024-06-28,0.474921,-5.943048,"[-24.294946263952582, -3.02753005894895]","[-2.1982961907800003, 0.20771061578999142]",11,True
572,2024-07-31,1.756246,-5.943048,"[-4.658359692978935, -0.16239918845223994]","[-0.9222356585486211, 0.7876513579992063]",18,True
594,2024-08-30,0.455123,-5.919486,"[-23.548254443022916, -2.8847026954595307]","[-2.174391206753467, 0.19461336134202123]",10,True
616,2024-10-02,0.368155,-5.943048,"[-27.283078003499703, -3.2499177410979803]","[-2.347050646162993, -0.06933746953965306]",18,True
638,2024-11-01,0.398144,-5.943048,"[-25.692647030417696, -3.1108793509122084]","[-2.278661851751528, 0.05861467546174025]",18,True
660,2024-12-04,37.882105,-4.162660,"[-1.4554158616393102, 0.6693621009115969]","[-1.1144141339192162, 0.7334512806684176]",16,True
