origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.424901,-4.406053,-4.398144,-4.394013,-4.391589,-4.408297,-4.179529,-4.002815,-3.797045,-4.159478
2022-04-20,-4.398088,-4.392251,-4.389143,-4.387352,-4.386355,-4.179529,-4.002815,-3.797045,-4.159478,-3.940930
2022-04-21,-4.287414,-4.311580,-4.323242,-4.330585,-4.335934,-4.002815,-3.797045,-4.159478,-3.940930,-3.949639
2022-04-22,-4.175065,-4.222243,-4.247103,-4.263312,-4.275076,-3.797045,-4.159478,-3.940930,-3.949639,-3.758505
2022-04-25,-4.040916,-4.112951,-4.152427,-4.178615,-4.197826,-4.159478,-3.940930,-3.949639,-3.758505,-3.648545
2022-04-26,-4.169822,-4.194503,-4.213393,-4.228080,-4.239880,-3.940930,-3.949639,-3.758505,-3.648545,-4.019652
2022-04-27,-4.084708,-4.132163,-4.160938,-4.181473,-4.197373,-3.949639,-3.758505,-3.648545,-4.019652,-3.751974
2022-04-28,-4.067373,-4.113005,-4.141853,-4.162907,-4.179373,-3.758505,-3.648545,-4.019652,-3.751974,-3.796237
2022-04-29,-3.964848,-4.032241,-4.072306,-4.100558,-4.122210,-3.648545,-4.019652,-3.751974,-3.796237,-3.588442
2022-05-02,-3.880518,-3.960056,-4.007777,-4.041498,-4.067356,-4.019652,-3.751974,-3.796237,-3.588442,-3.764380
2022-05-03,-4.026795,-4.057153,-4.082310,-4.102859,-4.119951,-3.751974,-3.796237,-3.588442,-3.764380,-3.806706
2022-05-04,-3.925328,-3.984781,-4.022246,-4.049824,-4.071705,-3.796237,-3.588442,-3.764380,-3.806706,-3.570279
2022-05-05,-3.922860,-3.976434,-4.011958,-4.038765,-4.060318,-3.588442,-3.764380,-3.806706,-3.570279,-3.316550
2022-05-06,-3.816022,-3.893279,-3.940670,-3.974983,-4.001904,-3.764380,-3.806706,-3.570279,-3.316550,-3.852314
2022-05-09,-3.868508,-3.922343,-3.959835,-3.988726,-4.012105,-3.806706,-3.570279,-3.316550,-3.852314,-4.034737
