origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.152707,-4.160110,-4.166449,-4.171887,-4.176671,-4.056968,-3.928866,-3.779785,-3.843672,-3.879148
2022-04-20,-4.119212,-4.137264,-4.148275,-4.156441,-4.163061,-3.928866,-3.779785,-3.843672,-3.879148,-3.561262
2022-04-21,-4.055951,-4.090250,-4.109495,-4.122839,-4.133163,-3.779785,-3.843672,-3.879148,-3.561262,-3.873867
2022-04-22,-3.972276,-4.025310,-4.054728,-4.074806,-4.089963,-3.843672,-3.879148,-3.561262,-3.873867,-3.418215
2022-04-25,-3.970372,-4.015524,-4.043088,-4.062787,-4.078067,-3.879148,-3.561262,-3.873867,-3.418215,-3.330659
2022-04-26,-3.976555,-4.015279,-4.040289,-4.058790,-4.073463,-3.561262,-3.873867,-3.418215,-3.330659,-3.820760
2022-04-27,-3.837873,-3.913693,-3.956366,-3.985706,-4.007939,-3.873867,-3.418215,-3.330659,-3.820760,-3.328133
2022-04-28,-3.929069,-3.967339,-3.994583,-4.015545,-4.032484,-3.418215,-3.330659,-3.820760,-3.328133,-3.424848
2022-04-29,-3.749110,-3.838857,-3.889552,-3.924535,-3.951084,-3.330659,-3.820760,-3.328133,-3.424848,-3.217667
2022-05-02,-3.660101,-3.761994,-3.821332,-3.862660,-3.894060,-3.820760,-3.328133,-3.424848,-3.217667,-3.617340
2022-05-03,-3.830625,-3.870306,-3.902284,-3.928009,-3.949286,-3.328133,-3.424848,-3.217667,-3.617340,-3.324689
2022-05-04,-3.655650,-3.749106,-3.804079,-3.843103,-3.873339,-3.424848,-3.217667,-3.617340,-3.324689,-3.402485
2022-05-05,-3.650512,-3.733722,-3.786180,-3.824568,-3.854802,-3.217667,-3.617340,-3.324689,-3.402485,-3.143267
2022-05-06,-3.548818,-3.654234,-3.717815,-3.763337,-3.798696,-3.617340,-3.324689,-3.402485,-3.143267,-3.633874
2022-05-09,-3.683505,-3.738703,-3.780236,-3.813176,-3.840290,-3.324689,-3.402485,-3.143267,-3.633874,-3.613832
2022-05-10,-3.585422,-3.670856,-3.724681,-3.764468,-3.796191,-3.402485,-3.143267,-3.633874,-3.613832,-3.503765
2022-05-11,-3.592708,-3.668915,-3.719350,-3.757534,-3.788279,-3.143267,-3.633874,-3.613832,-3.503765,-3.709685
2022-05-12,-3.476921,-3.582344,-3.646688,-3.693307,-3.729972,-3.633874,-3.613832,-3.503765,-3.709685,-3.430189
2022-05-13,-3.649392,-3.694533,-3.732016,-3.763138,-3.789488,-3.613832,-3.503765,-3.709685,-3.430189,-3.605084
2022-05-16,-3.679342,-3.721176,-3.754367,-3.781974,-3.805642,-3.503765,-3.709685,-3.430189,-3.605084,-3.338033
2022-05-17,-3.646172,-3.700845,-3.738671,-3.768541,-3.793417,-3.709685,-3.430189,-3.605084,-3.338033,-3.462097
2022-05-18,-3.727977,-3.758032,-3.784205,-3.806838,-3.826723,-3.430189,-3.605084,-3.338033,-3.462097,-3.667487
2022-05-19,-3.611603,-3.662338,-3.693377,-3.716363,-3.734802,-3.605084,-3.338033,-3.462097,-3.667487,-3.938254
2022-05-20,-3.659699,-3.691523,-3.714878,-3.733538,-3.749149,-3.338033,-3.462097,-3.667487,-3.938254,-4.054259
2022-05-23,-3.561336,-3.623439,-3.660243,-3.686761,-3.707610,-3.462097,-3.667487,-3.938254,-4.054259,-3.641726
2022-05-24,-3.583274,-3.632032,-3.664149,-3.688362,-3.707761,-3.667487,-3.938254,-4.054259,-3.641726,-3.580036
2022-05-25,-3.666116,-3.688088,-3.707551,-3.724095,-3.738492,-3.938254,-4.054259,-3.641726,-3.580036,-3.863485
2022-05-26,-3.798229,-3.784911,-3.786104,-3.791273,-3.797643,-4.054259,-3.641726,-3.580036,-3.863485,-3.950471
2022-05-27,-3.888532,-3.858884,-3.849612,-3.847300,-3.847980,-3.641726,-3.580036,-3.863485,-3.950471,-3.719696
2022-05-31,-3.758995,-3.779454,-3.791063,-3.800111,-3.807941,-3.580036,-3.863485,-3.950471,-3.719696,-3.904114
2022-06-01,-3.707024,-3.740191,-3.759334,-3.773232,-3.784386,-3.863485,-3.950471,-3.719696,-3.904114,-3.887973
2022-06-02,-3.803515,-3.803810,-3.808883,-3.814731,-3.820585,-3.950471,-3.719696,-3.904114,-3.887973,-3.878899
2022-06-03,-3.863288,-3.850658,-3.848217,-3.849087,-3.851287,-3.719696,-3.904114,-3.887973,-3.878899,-3.831214
2022-06-06,-3.792542,-3.807399,-3.816368,-3.823438,-3.829537,-3.904114,-3.887973,-3.878899,-3.831214,-3.685531
2022-06-07,-3.852555,-3.848084,-3.848860,-3.851176,-3.854111,-3.887973,-3.878899,-3.831214,-3.685531,-3.726336
2022-06-08,-3.862419,-3.858929,-3.859246,-3.860980,-3.863254,-3.878899,-3.831214,-3.685531,-3.726336,-3.285658
2022-06-09,-3.865599,-3.863931,-3.864736,-3.866451,-3.868680,-3.831214,-3.685531,-3.726336,-3.285658,-3.717536
2022-06-10,-3.850015,-3.854961,-3.858616,-3.862011,-3.865275,-3.685531,-3.726336,-3.285658,-3.717536,-3.692858
2022-06-13,-3.788390,-3.811859,-3.824531,-3.833373,-3.840279,-3.726336,-3.285658,-3.717536,-3.692858,-3.887897
2022-06-14,-3.786744,-3.806892,-3.819233,-3.828244,-3.835462,-3.285658,-3.717536,-3.692858,-3.887897,-3.684722
2022-06-15,-3.604089,-3.676792,-3.714067,-3.738276,-3.755897,-3.717536,-3.692858,-3.887897,-3.684722,-3.719218
2022-06-16,-3.722707,-3.746316,-3.764126,-3.777900,-3.789065,-3.692858,-3.887897,-3.684722,-3.719218,-3.925433
2022-06-17,-3.734235,-3.755641,-3.771099,-3.783276,-3.793333,-3.887897,-3.684722,-3.719218,-3.925433,-3.873815
2022-06-21,-3.817832,-3.814779,-3.818289,-3.823136,-3.828119,-3.684722,-3.719218,-3.925433,-3.873815,-3.692755
2022-06-22,-3.759157,-3.781608,-3.796473,-3.808231,-3.818186,-3.719218,-3.925433,-3.873815,-3.692755,-3.569782
2022-06-23,-3.763115,-3.782946,-3.797125,-3.808571,-3.818362,-3.925433,-3.873815,-3.692755,-3.569782,-3.451892
2022-06-24,-3.858101,-3.852102,-3.853707,-3.857438,-3.861847,-3.873815,-3.692755,-3.569782,-3.451892,-3.799498
2022-06-27,-3.859377,-3.859029,-3.861808,-3.865630,-3.869855,-3.692755,-3.569782,-3.451892,-3.799498,-3.677524
2022-06-28,-3.781881,-3.805374,-3.819297,-3.829742,-3.838367,-3.569782,-3.451892,-3.799498,-3.677524,-3.464126
2022-06-29,-3.707170,-3.747460,-3.770763,-3.787306,-3.800273,-3.451892,-3.799498,-3.677524,-3.464126,-4.196779
2022-06-30,-3.629264,-3.684302,-3.716321,-3.738818,-3.756238,-3.799498,-3.677524,-3.464126,-4.196779,-3.916103
2022-07-01,-3.763122,-3.773978,-3.786155,-3.797220,-3.807062,-3.677524,-3.464126,-4.196779,-3.916103,-4.014635
2022-07-05,-3.734345,-3.757163,-3.773418,-3.786455,-3.797451,-3.464126,-4.196779,-3.916103,-4.014635,-3.794461
2022-07-06,-3.632048,-3.681895,-3.711315,-3.732398,-3.748934,-4.196779,-3.916103,-4.014635,-3.794461,-3.447961
