origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.373660,-4.363138,-4.362414,-4.364473,-4.367471,-4.248732,-4.447357,-4.228238,-3.966359,-4.109745
2022-04-20,-4.305471,-4.320271,-4.329893,-4.337545,-4.344084,-4.447357,-4.228238,-3.966359,-4.109745,-4.262160
2022-04-21,-4.385766,-4.377757,-4.376819,-4.378071,-4.380212,-4.228238,-3.966359,-4.109745,-4.262160,-4.353462
2022-04-22,-4.305042,-4.323679,-4.334468,-4.342477,-4.349064,-3.966359,-4.109745,-4.262160,-4.353462,-4.163767
2022-04-25,-4.167343,-4.220217,-4.248731,-4.267936,-4.282354,-4.109745,-4.262160,-4.353462,-4.163767,-3.912933
2022-04-26,-4.193630,-4.229301,-4.251993,-4.268557,-4.281576,-4.262160,-4.353462,-4.163767,-3.912933,-4.132607
2022-04-27,-4.260935,-4.275111,-4.287526,-4.297992,-4.307001,-4.353462,-4.163767,-3.912933,-4.132607,-3.863345
2022-04-28,-4.317821,-4.318739,-4.323603,-4.329165,-4.334652,-4.163767,-3.912933,-4.132607,-3.863345,-3.973335
2022-04-29,-4.247627,-4.271635,-4.286523,-4.297750,-4.306936,-3.912933,-4.132607,-3.863345,-3.973335,-3.962795
2022-05-02,-4.117140,-4.173618,-4.205107,-4.226763,-4.243222,-4.132607,-3.863345,-3.973335,-3.962795,-3.992134
2022-05-03,-4.180758,-4.210325,-4.231045,-4.246927,-4.259832,-3.863345,-3.973335,-3.962795,-3.992134,-3.877514
2022-05-04,-4.063807,-4.123969,-4.159068,-4.183798,-4.202845,-3.973335,-3.962795,-3.992134,-3.877514,-3.818328
2022-05-05,-4.082207,-4.128548,-4.158756,-4.181173,-4.199013,-3.962795,-3.992134,-3.877514,-3.818328,-3.806931
2022-05-06,-4.073427,-4.118473,-4.148120,-4.170408,-4.188292,-3.992134,-3.877514,-3.818328,-3.806931,-4.234825
2022-05-09,-4.080948,-4.120697,-4.147907,-4.168819,-4.185817,-3.877514,-3.818328,-3.806931,-4.234825,-4.035636
2022-05-10,-4.026791,-4.079280,-4.112509,-4.137086,-4.156678,-3.818328,-3.806931,-4.234825,-4.035636,-4.226865
2022-05-11,-3.983054,-4.042186,-4.079384,-4.106743,-4.128450,-3.806931,-4.234825,-4.035636,-4.226865,-4.127749
2022-05-12,-3.960888,-4.019971,-4.057992,-4.086261,-4.108810,-4.234825,-4.035636,-4.226865,-4.127749,-4.081048
2022-05-13,-4.146421,-4.150402,-4.162087,-4.174429,-4.186125,-4.035636,-4.226865,-4.127749,-4.081048,-4.186007
2022-05-16,-4.099263,-4.124714,-4.143764,-4.159588,-4.173209,-4.226865,-4.127749,-4.081048,-4.186007,-3.957965
2022-05-17,-4.183616,-4.186809,-4.194908,-4.203774,-4.212504,-4.127749,-4.081048,-4.186007,-3.957965,-3.682600
2022-05-18,-4.161021,-4.176061,-4.188311,-4.199121,-4.208902,-4.081048,-4.186007,-3.957965,-3.682600,-4.343715
2022-05-19,-4.127959,-4.144957,-4.156814,-4.166457,-4.174741,-4.186007,-3.957965,-3.682600,-4.343715,-4.484637
2022-05-20,-4.171720,-4.176364,-4.182495,-4.188618,-4.194464,-3.957965,-3.682600,-4.343715,-4.484637,-4.621290
2022-05-23,-4.077815,-4.110504,-4.129560,-4.143364,-4.154348,-3.682600,-4.343715,-4.484637,-4.621290,-4.254808
2022-05-24,-3.928295,-3.996453,-4.034170,-4.059867,-4.079269,-4.343715,-4.484637,-4.621290,-4.254808,-4.323074
2022-05-25,-4.187977,-4.174082,-4.174644,-4.178580,-4.183486,-4.484637,-4.621290,-4.254808,-4.323074,-4.372919
2022-05-26,-4.310853,-4.274558,-4.260544,-4.254406,-4.251846,-4.621290,-4.254808,-4.323074,-4.372919,-4.346004
2022-05-27,-4.417680,-4.365098,-4.340177,-4.326059,-4.317355,-4.254808,-4.323074,-4.372919,-4.346004,-4.538939
2022-05-31,-4.290008,-4.285322,-4.281060,-4.278419,-4.277033,-4.323074,-4.372919,-4.346004,-4.538939,-4.535665
2022-06-01,-4.300567,-4.292196,-4.287555,-4.284938,-4.283539,-4.372919,-4.346004,-4.538939,-4.535665,-4.465422
2022-06-02,-4.325553,-4.311923,-4.304928,-4.300835,-4.298357,-4.346004,-4.538939,-4.535665,-4.465422,-4.240236
2022-06-03,-4.321351,-4.311816,-4.306486,-4.303246,-4.301269,-4.538939,-4.535665,-4.465422,-4.240236,-4.068757
2022-06-06,-4.412132,-4.379769,-4.363363,-4.353286,-4.346502,-4.535665,-4.465422,-4.240236,-4.068757,-4.055489
2022-06-07,-4.436722,-4.404968,-4.387417,-4.376034,-4.368056,-4.465422,-4.240236,-4.068757,-4.055489,-4.056686
2022-06-08,-4.418200,-4.397083,-4.383963,-4.374917,-4.368329,-4.240236,-4.068757,-4.055489,-4.056686,-3.843302
2022-06-09,-4.315035,-4.324026,-4.325747,-4.325785,-4.325420,-4.068757,-4.055489,-4.056686,-3.843302,-4.005887
2022-06-10,-4.210482,-4.242801,-4.257741,-4.266544,-4.272487,-4.055489,-4.056686,-3.843302,-4.005887,-4.008365
2022-06-13,-4.171344,-4.205540,-4.223721,-4.235434,-4.243810,-4.056686,-3.843302,-4.005887,-4.008365,-4.403142
2022-06-14,-4.152678,-4.185105,-4.203755,-4.216400,-4.225773,-3.843302,-4.005887,-4.008365,-4.403142,-4.466393
2022-06-15,-4.042471,-4.099558,-4.130922,-4.151813,-4.167162,-4.005887,-4.008365,-4.403142,-4.466393,-4.195071
2022-06-16,-4.082691,-4.118601,-4.141705,-4.158417,-4.171316,-4.008365,-4.403142,-4.466393,-4.195071,-4.153459
2022-06-17,-4.084334,-4.116672,-4.137881,-4.153548,-4.165883,-4.403142,-4.466393,-4.195071,-4.153459,-4.235579
2022-06-21,-4.263655,-4.245255,-4.241631,-4.242098,-4.243998,-4.466393,-4.195071,-4.153459,-4.235579,-4.169472
2022-06-22,-4.351283,-4.328809,-4.321656,-4.319806,-4.320276,-4.195071,-4.153459,-4.235579,-4.169472,-4.246393
2022-06-23,-4.257534,-4.269758,-4.277315,-4.283561,-4.289194,-4.153459,-4.235579,-4.169472,-4.246393,-3.894895
2022-06-24,-4.222272,-4.242739,-4.255251,-4.264732,-4.272631,-4.235579,-4.169472,-4.246393,-3.894895,-4.037047
2022-06-27,-4.248810,-4.259672,-4.268352,-4.275758,-4.282286,-4.169472,-4.246393,-3.894895,-4.037047,-4.254633
2022-06-28,-4.223473,-4.241994,-4.254178,-4.263639,-4.271549,-4.246393,-3.894895,-4.037047,-4.254633,-4.285320
2022-06-29,-4.252452,-4.261792,-4.269874,-4.276936,-4.283256,-3.894895,-4.037047,-4.254633,-4.285320,-4.426641
2022-06-30,-4.098651,-4.151085,-4.179677,-4.199218,-4.214125,-4.037047,-4.254633,-4.285320,-4.426641,-4.352783
2022-07-01,-4.122977,-4.159211,-4.182461,-4.199646,-4.213342,-4.254633,-4.285320,-4.426641,-4.352783,-4.341521
2022-07-05,-4.219281,-4.226200,-4.235458,-4.244285,-4.252322,-4.285320,-4.426641,-4.352783,-4.341521,-4.199460
2022-07-06,-4.256331,-4.257397,-4.262248,-4.267844,-4.273437,-4.426641,-4.352783,-4.341521,-4.199460,-4.063240
2022-07-07,-4.335104,-4.318829,-4.314169,-4.313466,-4.314513,-4.352783,-4.341521,-4.199460,-4.063240,-3.886417
2022-07-08,-4.326896,-4.320043,-4.318275,-4.318668,-4.320121,-4.341521,-4.199460,-4.063240,-3.886417,-4.123756
2022-07-11,-4.326716,-4.323134,-4.322647,-4.323558,-4.325249,-4.199460,-4.063240,-3.886417,-4.123756,-3.983020
2022-07-12,-4.265071,-4.280369,-4.288944,-4.295340,-4.300663,-4.063240,-3.886417,-4.123756,-3.983020,-4.574581
2022-07-13,-4.188280,-4.221890,-4.240440,-4.253225,-4.263144,-3.886417,-4.123756,-3.983020,-4.574581,-4.339386
2022-07-14,-4.084160,-4.140154,-4.171116,-4.192196,-4.208106,-4.123756,-3.983020,-4.574581,-4.339386,-4.201454
2022-07-15,-4.158220,-4.184270,-4.202967,-4.217412,-4.229240,-3.983020,-4.574581,-4.339386,-4.201454,-4.241713
2022-07-18,-4.104332,-4.144761,-4.169756,-4.188062,-4.202508,-4.574581,-4.339386,-4.201454,-4.241713,-4.288970
2022-07-19,-4.359320,-4.325984,-4.315974,-4.313033,-4.313037,-4.339386,-4.201454,-4.241713,-4.288970,-4.334034
2022-07-20,-4.316888,-4.309351,-4.307610,-4.308352,-4.310191,-4.201454,-4.241713,-4.288970,-4.334034,-4.295223
2022-07-21,-4.256683,-4.269260,-4.276952,-4.283060,-4.288398,-4.241713,-4.288970,-4.334034,-4.295223,-4.345761
2022-07-22,-4.262430,-4.271979,-4.278988,-4.284879,-4.290147,-4.288970,-4.334034,-4.295223,-4.345761,-4.503969
2022-07-25,-4.277173,-4.277980,-4.280110,-4.282591,-4.285154,-4.334034,-4.295223,-4.345761,-4.503969,-4.063693
2022-07-26,-4.302495,-4.297652,-4.296806,-4.297348,-4.298529,-4.295223,-4.345761,-4.503969,-4.063693,-4.427928
2022-07-27,-4.294517,-4.294563,-4.295530,-4.296970,-4.298608,-4.345761,-4.503969,-4.063693,-4.427928,-4.373027
2022-07-28,-4.316656,-4.311339,-4.309781,-4.309598,-4.310120,-4.503969,-4.063693,-4.427928,-4.373027,-4.524128
2022-07-29,-4.392097,-4.367569,-4.356427,-4.350290,-4.346607,-4.063693,-4.427928,-4.373027,-4.524128,-4.034083
2022-08-01,-4.225982,-4.255112,-4.268187,-4.276181,-4.281896,-4.427928,-4.373027,-4.524128,-4.034083,-4.497598
2022-08-02,-4.342178,-4.330488,-4.326668,-4.325203,-4.324786,-4.373027,-4.524128,-4.034083,-4.497598,-4.627126
2022-08-03,-4.343788,-4.336185,-4.332916,-4.331402,-4.330797,-4.524128,-4.034083,-4.497598,-4.627126,-4.310381
2022-08-04,-4.413936,-4.388552,-4.376488,-4.369472,-4.364995,-4.034083,-4.497598,-4.627126,-4.310381,-4.418162
2022-08-05,-4.224783,-4.259301,-4.274506,-4.283535,-4.289773,-4.497598,-4.627126,-4.310381,-4.418162,-4.744001
2022-08-08,-4.376921,-4.358671,-4.351741,-4.348279,-4.346393,-4.627126,-4.310381,-4.418162,-4.744001,-4.710312
2022-08-09,-4.466543,-4.428931,-4.410832,-4.400050,-4.392946,-4.310381,-4.418162,-4.744001,-4.710312,-4.453806
2022-08-10,-4.361604,-4.362655,-4.361008,-4.359456,-4.358256,-4.418162,-4.744001,-4.710312,-4.453806,-4.649626
2022-08-11,-4.387039,-4.378457,-4.373596,-4.370385,-4.368164,-4.744001,-4.710312,-4.453806,-4.649626,-4.900540
2022-08-12,-4.532356,-4.483721,-4.459628,-4.444715,-4.434449,-4.710312,-4.453806,-4.649626,-4.900540,-4.791577
2022-08-15,-4.560445,-4.514529,-4.489205,-4.472612,-4.460724,-4.453806,-4.649626,-4.900540,-4.791577,-4.633127
2022-08-16,-4.468553,-4.456307,-4.445951,-4.437855,-4.431500,-4.649626,-4.900540,-4.791577,-4.633127,-4.564232
2022-08-17,-4.534374,-4.501814,-4.483124,-4.470331,-4.460830,-4.900540,-4.791577,-4.633127,-4.564232,-4.680203
2022-08-18,-4.659681,-4.596089,-4.561876,-4.539355,-4.523026,-4.791577,-4.633127,-4.564232,-4.680203,-4.526724
2022-08-19,-4.652954,-4.602567,-4.572330,-4.551311,-4.535559,-4.633127,-4.564232,-4.680203,-4.526724,-3.855291
2022-08-22,-4.594019,-4.566214,-4.546354,-4.531307,-4.519435,-4.564232,-4.680203,-4.526724,-3.855291,-4.575471
2022-08-23,-4.553372,-4.537165,-4.523860,-4.513047,-4.504143,-4.680203,-4.526724,-3.855291,-4.575471,-4.232865
2022-08-24,-4.599185,-4.573616,-4.557755,-4.546274,-4.537329,-4.526724,-3.855291,-4.575471,-4.232865,-4.222818
2022-08-25,-4.542490,-4.535508,-4.528257,-4.521881,-4.516433,-3.855291,-4.575471,-4.232865,-4.222818,-4.168926
2022-08-26,-4.240325,-4.317268,-4.351012,-4.369933,-4.381993,-4.575471,-4.232865,-4.222818,-4.168926,-4.138107
2022-08-29,-4.461228,-4.453911,-4.453265,-4.453442,-4.453653,-4.232865,-4.222818,-4.168926,-4.138107,-4.062976
2022-08-30,-4.355819,-4.383151,-4.396660,-4.404969,-4.410652,-4.222818,-4.168926,-4.138107,-4.062976,-4.371709
2022-08-31,-4.326022,-4.355825,-4.371899,-4.382298,-4.389672,-4.168926,-4.138107,-4.062976,-4.371709,-4.075060
2022-09-01,-4.288346,-4.323666,-4.343237,-4.356182,-4.365595,-4.138107,-4.062976,-4.371709,-4.075060,-4.504747
2022-09-02,-4.259132,-4.297110,-4.318826,-4.333566,-4.344483,-4.062976,-4.371709,-4.075060,-4.504747,-4.514873
2022-09-06,-4.212852,-4.258601,-4.284793,-4.302665,-4.315959,-4.371709,-4.075060,-4.504747,-4.514873,-4.279421
2022-09-07,-4.326837,-4.333566,-4.342164,-4.349825,-4.356374,-4.075060,-4.504747,-4.514873,-4.279421,-4.110312
2022-09-08,-4.225417,-4.264862,-4.287222,-4.302699,-4.314515,-4.504747,-4.514873,-4.279421,-4.110312,-4.088255
2022-09-09,-4.384847,-4.372984,-4.372153,-4.374064,-4.376758,-4.514873,-4.279421,-4.110312,-4.088255,-4.143678
2022-09-12,-4.428836,-4.412075,-4.406395,-4.404478,-4.404235,-4.279421,-4.110312,-4.088255,-4.143678,-4.381878
2022-09-13,-4.347894,-4.360520,-4.367327,-4.372382,-4.376576,-4.110312,-4.088255,-4.143678,-4.381878,-4.417866
2022-09-14,-4.258468,-4.294383,-4.313309,-4.325927,-4.335356,-4.088255,-4.143678,-4.381878,-4.417866,-3.643572
2022-09-15,-4.221268,-4.261049,-4.283604,-4.299069,-4.310777,-4.143678,-4.381878,-4.417866,-3.643572,-3.939810
2022-09-16,-4.227720,-4.259782,-4.279777,-4.294236,-4.305491,-4.381878,-4.417866,-3.643572,-3.939810,-4.178100
2022-09-19,-4.325999,-4.327107,-4.332567,-4.338355,-4.343742,-4.417866,-3.643572,-3.939810,-4.178100,-3.916887
2022-09-20,-4.366568,-4.360772,-4.361197,-4.363327,-4.366043,-3.643572,-3.939810,-4.178100,-3.916887,-4.036758
2022-09-21,-4.050213,-4.139218,-4.183557,-4.211911,-4.232337,-3.939810,-4.178100,-3.916887,-4.036758,-4.016226
2022-09-22,-4.091795,-4.149661,-4.184460,-4.208801,-4.227264,-4.178100,-3.916887,-4.036758,-4.016226,-4.054667
2022-09-23,-4.186733,-4.210958,-4.230260,-4.245663,-4.258304,-3.916887,-4.036758,-4.016226,-4.054667,-4.173138
2022-09-26,-4.067647,-4.105147,-4.125370,-4.138634,-4.148183,-4.036758,-4.016226,-4.054667,-4.173138,-4.184053
2022-09-27,-4.092570,-4.116522,-4.131534,-4.142136,-4.150121,-4.016226,-4.054667,-4.173138,-4.184053,-4.181608
2022-09-28,-4.085439,-4.109665,-4.124588,-4.135174,-4.143199,-4.054667,-4.173138,-4.184053,-4.181608,-4.147722
2022-09-29,-4.097136,-4.115773,-4.128101,-4.137174,-4.144216,-4.173138,-4.184053,-4.181608,-4.147722,-4.214205
2022-09-30,-4.146717,-4.149873,-4.154643,-4.159096,-4.162911,-4.184053,-4.181608,-4.147722,-4.214205,-4.380239
2022-10-03,-4.165074,-4.165338,-4.167678,-4.170221,-4.172605,-4.181608,-4.147722,-4.214205,-4.380239,-4.227888
2022-10-04,-4.172070,-4.172414,-4.174022,-4.175842,-4.177551,-4.147722,-4.214205,-4.380239,-4.227888,-4.027292
2022-10-05,-4.162501,-4.167047,-4.170245,-4.172784,-4.174862,-4.214205,-4.380239,-4.227888,-4.027292,-4.126172
2022-10-06,-4.188098,-4.185056,-4.184668,-4.184985,-4.185537,-4.380239,-4.227888,-4.027292,-4.126172,-3.575165
2022-10-07,-4.263286,-4.239709,-4.229149,-4.223155,-4.219277,-4.227888,-4.027292,-4.126172,-3.575165,-3.310003
2022-10-10,-4.225296,-4.219009,-4.215018,-4.212346,-4.210390,-4.027292,-4.126172,-3.575165,-3.310003,-3.970097
2022-10-11,-4.138392,-4.158298,-4.166835,-4.171624,-4.174729,-4.126172,-3.575165,-3.310003,-3.970097,-3.870767
2022-10-12,-4.153323,-4.163335,-4.168815,-4.172336,-4.174797,-3.575165,-3.310003,-3.970097,-3.870767,-4.337105
2022-10-13,-3.927939,-4.003197,-4.039447,-4.061604,-4.076897,-3.310003,-3.970097,-3.870767,-4.337105,-4.111924
2022-10-14,-3.751605,-3.862434,-3.919571,-3.955915,-3.981579,-3.970097,-3.870767,-4.337105,-4.111924,-3.831574
2022-10-17,-3.951392,-3.982160,-4.006135,-4.024356,-4.038613,-3.870767,-4.337105,-4.111924,-3.831574,-4.315725
2022-10-18,-3.949334,-3.983040,-4.005824,-4.022828,-4.036126,-4.337105,-4.111924,-3.831574,-4.315725,-4.397478
2022-10-19,-4.140920,-4.116904,-4.111957,-4.112045,-4.113768,-4.111924,-3.831574,-4.315725,-4.397478,-4.347598
2022-10-20,-4.105099,-4.103651,-4.105380,-4.108091,-4.111095,-3.831574,-4.315725,-4.397478,-4.347598,-4.394923
2022-10-21,-3.992285,-4.027027,-4.045222,-4.057543,-4.066777,-4.315725,-4.397478,-4.347598,-4.394923,-4.540288
2022-10-24,-4.158714,-4.137874,-4.131886,-4.130100,-4.129991,-4.397478,-4.347598,-4.394923,-4.540288,-4.300798
2022-10-25,-4.235086,-4.200282,-4.184980,-4.176737,-4.171809,-4.347598,-4.394923,-4.540288,-4.300798,-4.420766
2022-10-26,-4.278143,-4.259200,-4.251286,-4.247913,-4.246894,-4.394923,-4.540288,-4.300798,-4.420766,-3.784245
2022-10-27,-4.311519,-4.289165,-4.278823,-4.273538,-4.270843,-4.540288,-4.300798,-4.420766,-3.784245,-4.024457
2022-10-28,-4.391656,-4.353027,-4.334089,-4.323038,-4.316098,-4.300798,-4.420766,-3.784245,-4.024457,-4.273557
2022-10-31,-4.312321,-4.304618,-4.298990,-4.295368,-4.293126,-4.420766,-3.784245,-4.024457,-4.273557,-4.649318
2022-11-01,-4.353202,-4.334165,-4.324071,-4.317869,-4.313890,-3.784245,-4.024457,-4.273557,-4.649318,-4.397931
