origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.469252,-4.459854,-4.449683,-4.479042,-4.484626,-4.408297,-4.179529,-4.002815,-3.797045,-4.159478
2022-04-20,-4.428727,-4.424122,-4.457629,-4.459511,-4.468334,-4.179529,-4.002815,-3.797045,-4.159478,-3.940930
2022-04-21,-4.296865,-4.353131,-4.371970,-4.365657,-4.384710,-4.002815,-3.797045,-4.159478,-3.940930,-3.949639
2022-04-22,-4.202970,-4.248664,-4.262361,-4.263553,-4.296414,-3.797045,-4.159478,-3.940930,-3.949639,-3.758505
2022-04-25,-4.041373,-4.092141,-4.120956,-4.129160,-4.174357,-4.159478,-3.940930,-3.949639,-3.758505,-3.648545
2022-04-26,-4.152453,-4.170482,-4.170649,-4.223020,-4.249837,-3.940930,-3.949639,-3.758505,-3.648545,-4.019652
2022-04-27,-4.062464,-4.081950,-4.148714,-4.162683,-4.198204,-3.949639,-3.758505,-3.648545,-4.019652,-3.751974
2022-04-28,-4.024334,-4.101402,-4.123049,-4.151716,-4.184385,-3.758505,-3.648545,-4.019652,-3.751974,-3.796237
2022-04-29,-3.965653,-4.011577,-4.058334,-4.074856,-4.121762,-3.648545,-4.019652,-3.751974,-3.796237,-3.588442
2022-05-02,-3.849641,-3.925359,-3.963460,-3.991104,-4.043158,-4.019652,-3.751974,-3.796237,-3.588442,-3.764380
2022-05-03,-4.012177,-4.034752,-4.050826,-4.113208,-4.147854,-3.751974,-3.796237,-3.588442,-3.764380,-3.806706
2022-05-04,-3.901875,-3.941713,-4.021802,-4.040642,-4.085806,-3.796237,-3.588442,-3.764380,-3.806706,-3.570279
2022-05-05,-3.887768,-3.977504,-4.003533,-4.042280,-4.083817,-3.588442,-3.764380,-3.806706,-3.570279,-3.316550
2022-05-06,-3.824649,-3.878014,-3.937130,-3.960485,-4.017253,-3.764380,-3.806706,-3.570279,-3.316550,-3.852314
2022-05-09,-3.847237,-3.911857,-3.939314,-3.992420,-4.038913,-3.806706,-3.570279,-3.316550,-3.852314,-4.034737
2022-05-10,-3.891159,-3.922317,-3.978182,-4.022213,-4.066916,-3.570279,-3.316550,-3.852314,-4.034737,-4.113175
2022-05-11,-3.758455,-3.843625,-3.909492,-3.934704,-3.988674,-3.316550,-3.852314,-4.034737,-4.113175,-4.001872
2022-05-12,-3.617960,-3.724185,-3.779468,-3.806596,-3.876614,-3.852314,-4.034737,-4.113175,-4.001872,-3.568566
2022-05-13,-3.843861,-3.877741,-3.888921,-3.973175,-4.018715,-4.034737,-4.113175,-4.001872,-3.568566,-3.641950
2022-05-16,-3.975215,-3.968963,-4.040228,-4.097362,-4.129304,-4.113175,-4.001872,-3.568566,-3.641950,-3.787125
2022-05-17,-4.039414,-4.098080,-4.145825,-4.186148,-4.207466,-4.001872,-3.568566,-3.641950,-3.787125,-3.764813
2022-05-18,-4.078908,-4.130082,-4.172960,-4.191997,-4.221982,-3.568566,-3.641950,-3.787125,-3.764813,-3.975789
2022-05-19,-3.865479,-3.951988,-4.004407,-4.002791,-4.055939,-3.641950,-3.787125,-3.764813,-3.975789,-4.064537
2022-05-20,-3.837531,-3.909721,-3.923154,-3.962814,-4.016134,-3.787125,-3.764813,-3.975789,-4.064537,-4.250407
2022-05-23,-3.883911,-3.901802,-3.944856,-3.995135,-4.042081,-3.764813,-3.975789,-4.064537,-4.250407,-4.052902
2022-05-24,-3.840819,-3.894407,-3.952704,-3.992464,-4.035667,-3.975789,-4.064537,-4.250407,-4.052902,-4.064220
2022-05-25,-3.963518,-4.009877,-4.040550,-4.091897,-4.124091,-4.064537,-4.250407,-4.052902,-4.064220,-4.240557
2022-05-26,-4.061603,-4.083341,-4.127887,-4.166176,-4.193804,-4.250407,-4.052902,-4.064220,-4.240557,-4.067937
2022-05-27,-4.180017,-4.207863,-4.233441,-4.272461,-4.288522,-4.052902,-4.064220,-4.240557,-4.067937,-4.212374
2022-05-31,-4.142775,-4.179596,-4.227174,-4.235565,-4.261921,-4.064220,-4.240557,-4.067937,-4.212374,-4.407981
2022-06-01,-4.139372,-4.193898,-4.207578,-4.229194,-4.255842,-4.240557,-4.067937,-4.212374,-4.407981,-4.263377
2022-06-02,-4.245709,-4.250440,-4.265243,-4.297996,-4.318130,-4.067937,-4.212374,-4.407981,-4.263377,-4.187762
2022-06-03,-4.159412,-4.189939,-4.234661,-4.244068,-4.270346,-4.212374,-4.407981,-4.263377,-4.187762,-4.122888
2022-06-06,-4.217058,-4.257096,-4.262937,-4.292410,-4.311356,-4.407981,-4.263377,-4.187762,-4.122888,-3.892122
2022-06-07,-4.354857,-4.343811,-4.360430,-4.390896,-4.401287,-4.263377,-4.187762,-4.122888,-3.892122,-3.937909
2022-06-08,-4.296970,-4.321680,-4.358305,-4.363176,-4.377577,-4.187762,-4.122888,-3.892122,-3.937909,-3.588477
2022-06-09,-4.265761,-4.312045,-4.324268,-4.332080,-4.351346,-4.122888,-3.892122,-3.937909,-3.588477,-4.044676
2022-06-10,-4.238888,-4.263748,-4.281179,-4.291824,-4.317363,-3.892122,-3.937909,-3.588477,-4.044676,-3.944514
2022-06-13,-4.086188,-4.134290,-4.168282,-4.172898,-4.210018,-3.937909,-3.588477,-4.044676,-3.944514,-4.396741
2022-06-14,-4.058364,-4.105471,-4.120070,-4.148243,-4.184172,-3.588477,-4.044676,-3.944514,-4.396741,-4.022843
2022-06-15,-3.864868,-3.921027,-3.980836,-3.988413,-4.042932,-4.044676,-3.944514,-4.396741,-4.022843,-4.206441
2022-06-16,-4.013097,-4.057003,-4.052473,-4.117842,-4.148754,-3.944514,-4.396741,-4.022843,-4.206441,-4.258986
2022-06-17,-4.021885,-4.023422,-4.093408,-4.120182,-4.155857,-4.396741,-4.022843,-4.206441,-4.258986,-4.305651
2022-06-21,-4.215365,-4.252196,-4.253732,-4.312025,-4.319405,-4.022843,-4.206441,-4.258986,-4.305651,-4.279154
2022-06-22,-4.151952,-4.167843,-4.239756,-4.234508,-4.262206,-4.206441,-4.258986,-4.305651,-4.279154,-4.057176
2022-06-23,-4.195921,-4.263084,-4.253987,-4.285067,-4.301714,-4.258986,-4.305651,-4.279154,-4.057176,-3.768837
2022-06-24,-4.295582,-4.280987,-4.307612,-4.328173,-4.347387,-4.305651,-4.279154,-4.057176,-3.768837,-4.044899
2022-06-27,-4.286175,-4.311923,-4.331773,-4.351612,-4.363734,-4.279154,-4.057176,-3.768837,-4.044899,-4.008366
2022-06-28,-4.308304,-4.328767,-4.349102,-4.360788,-4.375237,-4.057176,-3.768837,-4.044899,-4.008366,-3.925088
2022-06-29,-4.199356,-4.241587,-4.271014,-4.269872,-4.295986,-3.768837,-4.044899,-4.008366,-3.925088,-4.717612
2022-06-30,-4.019732,-4.086696,-4.115969,-4.115356,-4.158074,-4.044899,-4.008366,-3.925088,-4.717612,-4.333950
2022-07-01,-4.099665,-4.126743,-4.124352,-4.168633,-4.200080,-4.008366,-3.925088,-4.717612,-4.333950,-4.421259
2022-07-05,-4.079695,-4.085265,-4.135995,-4.161774,-4.193472,-3.925088,-4.717612,-4.333950,-4.421259,-4.021827
2022-07-06,-4.005593,-4.069804,-4.106504,-4.128605,-4.160510,-4.717612,-4.333950,-4.421259,-4.021827,-3.676994
2022-07-07,-4.436720,-4.411340,-4.383141,-4.459247,-4.453663,-4.333950,-4.421259,-4.021827,-3.676994,-4.205546
2022-07-08,-4.358381,-4.339142,-4.422508,-4.410544,-4.420291,-4.421259,-4.021827,-3.676994,-4.205546,-4.402469
2022-07-11,-4.371544,-4.449429,-4.433022,-4.446673,-4.448295,-4.021827,-3.676994,-4.205546,-4.402469,-4.225309
2022-07-12,-4.269213,-4.283298,-4.321655,-4.301566,-4.332433,-3.676994,-4.205546,-4.402469,-4.225309,-4.452818
2022-07-13,-3.978117,-4.068109,-4.089857,-4.083959,-4.130904,-4.205546,-4.402469,-4.225309,-4.452818,-4.243542
2022-07-14,-4.185307,-4.187226,-4.165262,-4.226325,-4.251523,-4.402469,-4.225309,-4.452818,-4.243542,-4.331349
2022-07-15,-4.299133,-4.258235,-4.303957,-4.342636,-4.353530,-4.225309,-4.452818,-4.243542,-4.331349,-4.310948
2022-07-18,-4.220191,-4.272351,-4.316245,-4.322556,-4.335004,-4.452818,-4.243542,-4.331349,-4.310948,-4.532739
