origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.190802,-4.225274,-4.215931,-4.244622,-4.264679,-4.056968,-3.928866,-3.779785,-3.843672,-3.879148
2022-04-20,-4.155924,-4.159312,-4.194751,-4.208641,-4.233660,-3.928866,-3.779785,-3.843672,-3.879148,-3.561262
2022-04-21,-4.041656,-4.098694,-4.124032,-4.138587,-4.168016,-3.779785,-3.843672,-3.879148,-3.561262,-3.873867
2022-04-22,-3.962998,-4.013246,-4.041006,-4.058367,-4.097735,-3.843672,-3.879148,-3.561262,-3.873867,-3.418215
2022-04-25,-3.951414,-3.990525,-4.013902,-4.047771,-4.084973,-3.879148,-3.561262,-3.873867,-3.418215,-3.330659
2022-04-26,-3.953078,-3.983329,-4.020842,-4.054714,-4.089319,-3.561262,-3.873867,-3.418215,-3.330659,-3.820760
2022-04-27,-3.780299,-3.855083,-3.908711,-3.925260,-3.974383,-3.873867,-3.418215,-3.330659,-3.820760,-3.328133
2022-04-28,-3.903569,-3.948296,-3.960126,-4.013562,-4.049990,-3.418215,-3.330659,-3.820760,-3.328133,-3.424848
2022-04-29,-3.696795,-3.754796,-3.832704,-3.846765,-3.904400,-3.330659,-3.820760,-3.328133,-3.424848,-3.217667
2022-05-02,-3.565071,-3.677808,-3.710331,-3.751092,-3.814164,-3.820760,-3.328133,-3.424848,-3.217667,-3.617340
2022-05-03,-3.810301,-3.818501,-3.846370,-3.921225,-3.963643,-3.328133,-3.424848,-3.217667,-3.617340,-3.324689
2022-05-04,-3.568651,-3.642387,-3.741554,-3.761751,-3.822353,-3.424848,-3.217667,-3.617340,-3.324689,-3.402485
2022-05-05,-3.567872,-3.680718,-3.708166,-3.762140,-3.820110,-3.217667,-3.617340,-3.324689,-3.402485,-3.143267
2022-05-06,-3.499249,-3.560011,-3.631643,-3.673473,-3.745098,-3.617340,-3.324689,-3.402485,-3.143267,-3.633874
2022-05-09,-3.621203,-3.681601,-3.717478,-3.794544,-3.844924,-3.324689,-3.402485,-3.143267,-3.633874,-3.613832
2022-05-10,-3.527954,-3.592036,-3.684053,-3.720769,-3.783563,-3.402485,-3.143267,-3.633874,-3.613832,-3.503765
2022-05-11,-3.527021,-3.630973,-3.674015,-3.731027,-3.790068,-3.143267,-3.633874,-3.613832,-3.503765,-3.709685
2022-05-12,-3.432120,-3.511667,-3.588028,-3.629384,-3.703759,-3.633874,-3.613832,-3.503765,-3.709685,-3.430189
2022-05-13,-3.616212,-3.673380,-3.704564,-3.788237,-3.838447,-3.613832,-3.503765,-3.709685,-3.430189,-3.605084
2022-05-16,-3.672147,-3.703557,-3.787350,-3.837451,-3.885794,-3.503765,-3.709685,-3.430189,-3.605084,-3.338033
2022-05-17,-3.616305,-3.716116,-3.774706,-3.815290,-3.866451,-3.709685,-3.430189,-3.605084,-3.338033,-3.462097
2022-05-18,-3.764503,-3.814211,-3.850086,-3.905551,-3.950182,-3.430189,-3.605084,-3.338033,-3.462097,-3.667487
2022-05-19,-3.639845,-3.703493,-3.775761,-3.804956,-3.861452,-3.605084,-3.338033,-3.462097,-3.667487,-3.938254
