origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.358166,-4.380812,-4.396519,-4.420220,-4.425953,-4.248732,-4.447357,-4.228238,-3.966359,-4.109745
2022-04-20,-4.325266,-4.349435,-4.377234,-4.379189,-4.395468,-4.447357,-4.228238,-3.966359,-4.109745,-4.262160
2022-04-21,-4.411405,-4.429765,-4.427146,-4.447641,-4.455244,-4.228238,-3.966359,-4.109745,-4.262160,-4.353462
2022-04-22,-4.336794,-4.348338,-4.375694,-4.376972,-4.395245,-3.966359,-4.109745,-4.262160,-4.353462,-4.163767
2022-04-25,-4.160314,-4.216312,-4.231466,-4.236948,-4.268470,-4.109745,-4.262160,-4.353462,-4.163767,-3.912933
2022-04-26,-4.190644,-4.209708,-4.217084,-4.246860,-4.273770,-4.262160,-4.353462,-4.163767,-3.912933,-4.132607
2022-04-27,-4.246007,-4.247854,-4.274951,-4.304331,-4.322310,-4.353462,-4.163767,-3.912933,-4.132607,-3.863345
2022-04-28,-4.302395,-4.321184,-4.346539,-4.368229,-4.379647,-4.163767,-3.912933,-4.132607,-3.863345,-3.973335
2022-04-29,-4.250820,-4.286893,-4.313776,-4.320407,-4.341088,-3.912933,-4.132607,-3.863345,-3.973335,-3.962795
2022-05-02,-4.115391,-4.168398,-4.187686,-4.196699,-4.231399,-4.132607,-3.863345,-3.973335,-3.962795,-3.992134
2022-05-03,-4.177137,-4.195094,-4.203462,-4.238757,-4.264556,-3.863345,-3.973335,-3.962795,-3.992134,-3.877514
2022-05-04,-4.035821,-4.068451,-4.115500,-4.130464,-4.167921,-3.973335,-3.962795,-3.992134,-3.877514,-3.818328
2022-05-05,-4.036735,-4.088615,-4.105920,-4.141219,-4.173577,-3.962795,-3.992134,-3.877514,-3.818328,-3.806931
2022-05-06,-4.051085,-4.074106,-4.112176,-4.141980,-4.175357,-3.992134,-3.877514,-3.818328,-3.806931,-4.234825
2022-05-09,-4.044184,-4.086812,-4.118824,-4.150165,-4.181006,-3.877514,-3.818328,-3.806931,-4.234825,-4.035636
2022-05-10,-4.002214,-4.047113,-4.084698,-4.109782,-4.146571,-3.818328,-3.806931,-4.234825,-4.035636,-4.226865
2022-05-11,-3.953778,-4.005580,-4.037553,-4.067991,-4.108305,-3.806931,-4.234825,-4.035636,-4.226865,-4.127749
2022-05-12,-3.931044,-3.974371,-4.010310,-4.045553,-4.087012,-4.234825,-4.035636,-4.226865,-4.127749,-4.081048
2022-05-13,-4.128562,-4.141013,-4.164877,-4.216827,-4.236746,-4.035636,-4.226865,-4.127749,-4.081048,-4.186007
2022-05-16,-4.093846,-4.124895,-4.180326,-4.197036,-4.224162,-4.226865,-4.127749,-4.081048,-4.186007,-3.957965
