origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.424542,-4.420388,-4.439728,-4.434399,-4.435418,-4.408297,-4.179529,-4.002815,-3.797045,-4.159478
2022-04-20,-4.410095,-4.428818,-4.421957,-4.422833,-4.424738,-4.179529,-4.002815,-3.797045,-4.159478,-3.940930
2022-04-21,-4.289104,-4.277380,-4.262029,-4.266569,-4.263817,-4.002815,-3.797045,-4.159478,-3.940930,-3.949639
2022-04-22,-4.126865,-4.121827,-4.121466,-4.134820,-4.140803,-3.797045,-4.159478,-3.940930,-3.949639,-3.758505
2022-04-25,-3.989732,-4.014014,-4.031540,-4.059628,-4.077145,-4.159478,-3.940930,-3.949639,-3.758505,-3.648545
2022-04-26,-4.088728,-4.089606,-4.116958,-4.122084,-4.129762,-3.940930,-3.949639,-3.758505,-3.648545,-4.019652
2022-04-27,-4.027586,-4.063475,-4.070978,-4.088983,-4.102504,-3.949639,-3.758505,-3.648545,-4.019652,-3.751974
2022-04-28,-4.031566,-4.045601,-4.064555,-4.083480,-4.096866,-3.758505,-3.648545,-4.019652,-3.751974,-3.796237
2022-04-29,-3.950630,-3.990828,-4.014198,-4.045106,-4.065644,-3.648545,-4.019652,-3.751974,-3.796237,-3.588442
2022-05-02,-3.903793,-3.952484,-3.986693,-4.024423,-4.048952,-4.019652,-3.751974,-3.796237,-3.588442,-3.764380
2022-05-03,-3.994009,-4.015879,-4.052788,-4.069597,-4.085328,-3.751974,-3.796237,-3.588442,-3.764380,-3.806706
2022-05-04,-3.936675,-3.990168,-4.011737,-4.042715,-4.064152,-3.796237,-3.588442,-3.764380,-3.806706,-3.570279
2022-05-05,-3.944802,-3.979356,-4.011895,-4.041951,-4.062793,-3.588442,-3.764380,-3.806706,-3.570279,-3.316550
2022-05-06,-3.883862,-3.943380,-3.977654,-4.018008,-4.044116,-3.764380,-3.806706,-3.570279,-3.316550,-3.852314
2022-05-09,-3.909370,-3.955012,-3.996081,-4.028979,-4.052504,-3.806706,-3.570279,-3.316550,-3.852314,-4.034737
2022-05-10,-3.923961,-3.973875,-4.008006,-4.037704,-4.059826,-3.570279,-3.316550,-3.852314,-4.034737,-4.113175
2022-05-11,-3.881901,-3.941945,-3.975885,-4.016972,-4.043300,-3.316550,-3.852314,-4.034737,-4.113175,-4.001872
2022-05-12,-3.831637,-3.903286,-3.945866,-3.996899,-4.027552,-3.852314,-4.034737,-4.113175,-4.001872,-3.568566
2022-05-13,-3.909045,-3.949349,-4.000432,-4.029931,-4.053028,-4.034737,-4.113175,-4.001872,-3.568566,-3.641950
2022-05-16,-3.994064,-4.034437,-4.062187,-4.076738,-4.092138,-4.113175,-4.001872,-3.568566,-3.641950,-3.787125
2022-05-17,-4.086323,-4.105554,-4.118762,-4.125619,-4.133739,-4.001872,-3.568566,-3.641950,-3.787125,-3.764813
2022-05-18,-4.067873,-4.086337,-4.094090,-4.108118,-4.118330,-3.568566,-3.641950,-3.787125,-3.764813,-3.975789
2022-05-19,-3.890380,-3.944360,-3.971621,-4.013129,-4.041874,-3.641950,-3.787125,-3.764813,-3.975789,-4.064537
2022-05-20,-3.856227,-3.912699,-3.958378,-4.000112,-4.030796,-3.787125,-3.764813,-3.975789,-4.064537,-4.250407
2022-05-23,-3.886473,-3.940459,-3.983570,-4.018097,-4.045737,-3.764813,-3.975789,-4.064537,-4.250407,-4.052902
2022-05-24,-3.893548,-3.949930,-3.987180,-4.021681,-4.048920,-3.975789,-4.064537,-4.250407,-4.052902,-4.064220
