origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.122171,-4.090186,-4.096459,-4.086847,-4.078037,-4.056968,-3.928866,-3.779785,-3.843672,-3.879148
2022-04-20,-4.054230,-4.061325,-4.049785,-4.044772,-4.040646,-3.928866,-3.779785,-3.843672,-3.879148,-3.561262
2022-04-21,-3.998030,-3.992134,-3.986218,-3.990809,-3.991185,-3.779785,-3.843672,-3.879148,-3.561262,-3.873867
2022-04-22,-3.898531,-3.909455,-3.916510,-3.932940,-3.942428,-3.843672,-3.879148,-3.561262,-3.873867,-3.418215
2022-04-25,-3.887551,-3.899981,-3.917049,-3.930562,-3.940448,-3.879148,-3.561262,-3.873867,-3.418215,-3.330659
2022-04-26,-3.896597,-3.914419,-3.928052,-3.938563,-3.947349,-3.561262,-3.873867,-3.418215,-3.330659,-3.820760
2022-04-27,-3.805477,-3.845850,-3.862622,-3.892581,-3.910609,-3.873867,-3.418215,-3.330659,-3.820760,-3.328133
2022-04-28,-3.870822,-3.879483,-3.909077,-3.922367,-3.933444,-3.418215,-3.330659,-3.820760,-3.328133,-3.424848
2022-04-29,-3.756509,-3.817965,-3.839493,-3.876064,-3.898174,-3.330659,-3.820760,-3.328133,-3.424848,-3.217667
2022-05-02,-3.726271,-3.785013,-3.821759,-3.863358,-3.888006,-3.820760,-3.328133,-3.424848,-3.217667,-3.617340
2022-05-03,-3.813813,-3.838884,-3.880644,-3.899562,-3.915411,-3.328133,-3.424848,-3.217667,-3.617340,-3.324689
2022-05-04,-3.727679,-3.800781,-3.826877,-3.867108,-3.891469,-3.424848,-3.217667,-3.617340,-3.324689,-3.402485
2022-05-05,-3.733638,-3.788435,-3.828055,-3.866585,-3.890355,-3.217667,-3.617340,-3.324689,-3.402485,-3.143267
2022-05-06,-3.696345,-3.772772,-3.811005,-3.855994,-3.882803,-3.617340,-3.324689,-3.402485,-3.143267,-3.633874
2022-05-09,-3.753505,-3.800379,-3.844970,-3.875778,-3.897224,-3.324689,-3.402485,-3.143267,-3.633874,-3.613832
2022-05-10,-3.713007,-3.787827,-3.821416,-3.862559,-3.887889,-3.402485,-3.143267,-3.633874,-3.613832,-3.503765
2022-05-11,-3.723014,-3.784352,-3.824749,-3.864121,-3.888624,-3.143267,-3.633874,-3.613832,-3.503765,-3.709685
2022-05-12,-3.688740,-3.767828,-3.806241,-3.853258,-3.880772,-3.633874,-3.613832,-3.503765,-3.709685,-3.430189
2022-05-13,-3.754425,-3.799065,-3.845685,-3.875966,-3.897278,-3.613832,-3.503765,-3.709685,-3.430189,-3.605084
2022-05-16,-3.762253,-3.821190,-3.852842,-3.881979,-3.902637,-3.503765,-3.709685,-3.430189,-3.605084,-3.338033
2022-05-17,-3.756117,-3.810372,-3.841659,-3.875931,-3.897732,-3.709685,-3.430189,-3.605084,-3.338033,-3.462097
2022-05-18,-3.796719,-3.833019,-3.867526,-3.892072,-3.909881,-3.430189,-3.605084,-3.338033,-3.462097,-3.667487
2022-05-19,-3.664989,-3.742541,-3.782017,-3.822623,-3.854294,-3.605084,-3.338033,-3.462097,-3.667487,-3.938254
2022-05-20,-3.716818,-3.765199,-3.807415,-3.842183,-3.869945,-3.338033,-3.462097,-3.667487,-3.938254,-4.054259
2022-05-23,-3.626195,-3.716141,-3.762592,-3.807383,-3.841810,-3.462097,-3.667487,-3.938254,-4.054259,-3.641726
2022-05-24,-3.654004,-3.725079,-3.774178,-3.815997,-3.848432,-3.667487,-3.938254,-4.054259,-3.641726,-3.580036
2022-05-25,-3.731121,-3.778162,-3.819590,-3.851299,-3.877654,-3.938254,-4.054259,-3.641726,-3.580036,-3.863485
2022-05-26,-3.889822,-3.906210,-3.934474,-3.948704,-3.963583,-4.054259,-3.641726,-3.580036,-3.863485,-3.950471
2022-05-27,-4.006126,-4.024101,-4.040591,-4.048599,-4.059214,-3.641726,-3.580036,-3.863485,-3.950471,-3.719696
2022-05-31,-3.828864,-3.867070,-3.876576,-3.903000,-3.923264,-3.580036,-3.863485,-3.950471,-3.719696,-3.904114
