origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.337088,-4.374934,-4.393828,-4.380584,-4.393125,-4.248732,-4.447357,-4.228238,-3.966359,-4.109745
2022-04-20,-4.349895,-4.355899,-4.338550,-4.360714,-4.362980,-4.447357,-4.228238,-3.966359,-4.109745,-4.262160
2022-04-21,-4.386235,-4.380092,-4.409986,-4.400666,-4.406644,-4.228238,-3.966359,-4.109745,-4.262160,-4.353462
2022-04-22,-4.335412,-4.342202,-4.325223,-4.348637,-4.351498,-3.966359,-4.109745,-4.262160,-4.353462,-4.163767
2022-04-25,-4.255566,-4.209462,-4.220661,-4.264267,-4.267963,-4.109745,-4.262160,-4.353462,-4.163767,-3.912933
2022-04-26,-4.183819,-4.185967,-4.223771,-4.245049,-4.259756,-4.262160,-4.353462,-4.163767,-3.912933,-4.132607
2022-04-27,-4.199568,-4.245377,-4.268555,-4.273668,-4.291085,-4.353462,-4.163767,-3.912933,-4.132607,-3.863345
2022-04-28,-4.280349,-4.322213,-4.332184,-4.330679,-4.343638,-4.163767,-3.912933,-4.132607,-3.863345,-3.973335
2022-04-29,-4.293446,-4.289396,-4.284620,-4.310755,-4.315251,-3.912933,-4.132607,-3.863345,-3.973335,-3.962795
2022-05-02,-4.213367,-4.182250,-4.198326,-4.244270,-4.252280,-4.132607,-3.863345,-3.973335,-3.962795,-3.992134
2022-05-03,-4.169398,-4.180621,-4.223315,-4.240980,-4.257689,-3.863345,-3.973335,-3.962795,-3.992134,-3.877514
2022-05-04,-4.141129,-4.158998,-4.174068,-4.221135,-4.237054,-3.973335,-3.962795,-3.992134,-3.877514,-3.818328
2022-05-05,-4.137783,-4.144855,-4.185900,-4.219621,-4.237060,-3.962795,-3.992134,-3.877514,-3.818328,-3.806931
2022-05-06,-4.124815,-4.153411,-4.183372,-4.218904,-4.237838,-3.992134,-3.877514,-3.818328,-3.806931,-4.234825
2022-05-09,-4.137049,-4.158350,-4.190598,-4.223453,-4.241439,-3.877514,-3.818328,-3.806931,-4.234825,-4.035636
2022-05-10,-4.127992,-4.143773,-4.171279,-4.215028,-4.232438,-3.818328,-3.806931,-4.234825,-4.035636,-4.226865
2022-05-11,-4.111765,-4.123846,-4.158617,-4.205848,-4.224228,-3.806931,-4.234825,-4.035636,-4.226865,-4.127749
2022-05-12,-4.096588,-4.116187,-4.153925,-4.201088,-4.220952,-4.234825,-4.035636,-4.226865,-4.127749,-4.081048
2022-05-13,-4.132185,-4.179606,-4.232174,-4.235863,-4.258678,-4.035636,-4.226865,-4.127749,-4.081048,-4.186007
2022-05-16,-4.165839,-4.207973,-4.211741,-4.244675,-4.260824,-4.226865,-4.127749,-4.081048,-4.186007,-3.957965
2022-05-17,-4.219533,-4.227633,-4.262801,-4.271549,-4.285109,-4.127749,-4.081048,-4.186007,-3.957965,-3.682600
2022-05-18,-4.210625,-4.235960,-4.243397,-4.267521,-4.280418,-4.081048,-4.186007,-3.957965,-3.682600,-4.343715
2022-05-19,-4.124954,-4.121972,-4.123130,-4.129686,-4.132946,-4.186007,-3.957965,-3.682600,-4.343715,-4.484637
2022-05-20,-4.154756,-4.154573,-4.163749,-4.163697,-4.165832,-3.957965,-3.682600,-4.343715,-4.484637,-4.621290
2022-05-23,-4.057765,-4.071041,-4.066400,-4.080169,-4.087845,-3.682600,-4.343715,-4.484637,-4.621290,-4.254808
2022-05-24,-3.927238,-3.948396,-3.961854,-3.994534,-4.012953,-4.343715,-4.484637,-4.621290,-4.254808,-4.323074
2022-05-25,-4.148363,-4.127968,-4.173786,-4.161921,-4.162999,-4.484637,-4.621290,-4.254808,-4.323074,-4.372919
2022-05-26,-4.320156,-4.378816,-4.394959,-4.390207,-4.403113,-4.621290,-4.254808,-4.323074,-4.372919,-4.346004
2022-05-27,-4.562274,-4.591390,-4.617474,-4.629459,-4.647966,-4.254808,-4.323074,-4.372919,-4.346004,-4.538939
2022-05-31,-4.404787,-4.418740,-4.399905,-4.420950,-4.431308,-4.323074,-4.372919,-4.346004,-4.538939,-4.535665
2022-06-01,-4.368085,-4.345451,-4.357074,-4.366370,-4.371116,-4.372919,-4.346004,-4.538939,-4.535665,-4.465422
2022-06-02,-4.348428,-4.360286,-4.370126,-4.374924,-4.382969,-4.346004,-4.538939,-4.535665,-4.465422,-4.240236
2022-06-03,-4.358791,-4.368510,-4.373035,-4.381052,-4.389175,-4.538939,-4.535665,-4.465422,-4.240236,-4.068757
2022-06-06,-4.479428,-4.493161,-4.521472,-4.531263,-4.547617,-4.535665,-4.465422,-4.240236,-4.068757,-4.055489
2022-06-07,-4.527417,-4.557718,-4.572954,-4.588601,-4.607269,-4.465422,-4.240236,-4.068757,-4.055489,-4.056686
2022-06-08,-4.520061,-4.533287,-4.543242,-4.563050,-4.579955,-4.240236,-4.068757,-4.055489,-4.056686,-3.843302
2022-06-09,-4.361567,-4.357888,-4.347256,-4.362604,-4.368361,-4.068757,-4.055489,-4.056686,-3.843302,-4.005887
2022-06-10,-4.187469,-4.170316,-4.161447,-4.171517,-4.172121,-4.055489,-4.056686,-3.843302,-4.005887,-4.008365
