origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.450473,-4.434756,-4.426810,-4.429123,-4.443353,-4.408297,-4.179529,-4.002815,-3.797045,-4.159478
2022-04-20,-4.413239,-4.412904,-4.417625,-4.432135,-4.433629,-4.179529,-4.002815,-3.797045,-4.159478,-3.940930
2022-04-21,-4.292612,-4.339061,-4.366494,-4.369075,-4.368029,-4.002815,-3.797045,-4.159478,-3.940930,-3.949639
2022-04-22,-4.190037,-4.269354,-4.288071,-4.288447,-4.294274,-3.797045,-4.159478,-3.940930,-3.949639,-3.758505
2022-04-25,-4.066677,-4.155733,-4.178043,-4.185809,-4.198097,-4.159478,-3.940930,-3.949639,-3.758505,-3.648545
2022-04-26,-4.203338,-4.208911,-4.211416,-4.223177,-4.254590,-3.940930,-3.949639,-3.758505,-3.648545,-4.019652
2022-04-27,-4.073490,-4.122817,-4.149137,-4.181832,-4.196381,-3.949639,-3.758505,-3.648545,-4.019652,-3.751974
2022-04-28,-4.058279,-4.106378,-4.145739,-4.160692,-4.180505,-3.758505,-3.648545,-4.019652,-3.751974,-3.796237
2022-04-29,-3.951111,-4.043668,-4.074969,-4.096001,-4.111390,-3.648545,-4.019652,-3.751974,-3.796237,-3.588442
2022-05-02,-3.886782,-3.971637,-4.009127,-4.025665,-4.048256,-4.019652,-3.751974,-3.796237,-3.588442,-3.764380
2022-05-03,-4.040255,-4.054052,-4.063216,-4.085157,-4.124246,-3.751974,-3.796237,-3.588442,-3.764380,-3.806706
2022-05-04,-3.904805,-3.964984,-4.002627,-4.042907,-4.060550,-3.796237,-3.588442,-3.764380,-3.806706,-3.570279
2022-05-05,-3.908687,-3.965472,-4.011563,-4.029540,-4.053014,-3.588442,-3.764380,-3.806706,-3.570279,-3.316550
2022-05-06,-3.799437,-3.902031,-3.937190,-3.961674,-3.978828,-3.764380,-3.806706,-3.570279,-3.316550,-3.852314
