origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.179882,-4.202566,-4.212863,-4.209327,-4.225051,-4.056968,-3.928866,-3.779785,-3.843672,-3.879148
2022-04-20,-4.137533,-4.169913,-4.173531,-4.190068,-4.200738,-3.928866,-3.779785,-3.843672,-3.879148,-3.561262
2022-04-21,-4.059285,-4.100310,-4.128953,-4.140938,-4.151935,-3.779785,-3.843672,-3.879148,-3.561262,-3.873867
2022-04-22,-3.953048,-4.032274,-4.060809,-4.073842,-4.089460,-3.843672,-3.879148,-3.561262,-3.873867,-3.418215
2022-04-25,-3.974995,-4.023433,-4.042995,-4.059458,-4.083565,-3.879148,-3.561262,-3.873867,-3.418215,-3.330659
2022-04-26,-3.972368,-4.008976,-4.030920,-4.055576,-4.078680,-3.561262,-3.873867,-3.418215,-3.330659,-3.820760
2022-04-27,-3.790950,-3.886532,-3.935033,-3.960741,-3.975505,-3.873867,-3.418215,-3.330659,-3.820760,-3.328133
2022-04-28,-3.929139,-3.962094,-3.982557,-3.996449,-4.029431,-3.418215,-3.330659,-3.820760,-3.328133,-3.424848
2022-04-29,-3.690006,-3.800815,-3.843360,-3.878961,-3.892875,-3.330659,-3.820760,-3.328133,-3.424848,-3.217667
2022-05-02,-3.608636,-3.714242,-3.769709,-3.785001,-3.812734,-3.820760,-3.328133,-3.424848,-3.217667,-3.617340
2022-05-03,-3.827174,-3.845118,-3.848521,-3.875265,-3.924043,-3.328133,-3.424848,-3.217667,-3.617340,-3.324689
2022-05-04,-3.579695,-3.670903,-3.725405,-3.776495,-3.796014,-3.424848,-3.217667,-3.617340,-3.324689,-3.402485
2022-05-05,-3.587903,-3.669353,-3.728760,-3.748718,-3.782292,-3.217667,-3.617340,-3.324689,-3.402485,-3.143267
2022-05-06,-3.471490,-3.595746,-3.635843,-3.670679,-3.699945,-3.617340,-3.324689,-3.402485,-3.143267,-3.633874
2022-05-09,-3.674230,-3.689118,-3.716316,-3.745419,-3.792031,-3.324689,-3.402485,-3.143267,-3.633874,-3.613832
2022-05-10,-3.502440,-3.590838,-3.639012,-3.686884,-3.710277,-3.402485,-3.143267,-3.633874,-3.613832,-3.503765
2022-05-11,-3.536662,-3.601872,-3.654784,-3.678141,-3.708335,-3.143267,-3.633874,-3.613832,-3.503765,-3.709685
2022-05-12,-3.391347,-3.512939,-3.557526,-3.588853,-3.613482,-3.633874,-3.613832,-3.503765,-3.709685,-3.430189
2022-05-13,-3.642564,-3.644786,-3.662961,-3.686872,-3.731068,-3.613832,-3.503765,-3.709685,-3.430189,-3.605084
2022-05-16,-3.629311,-3.652427,-3.677835,-3.722062,-3.746174,-3.503765,-3.709685,-3.430189,-3.605084,-3.338033
2022-05-17,-3.584338,-3.631035,-3.681473,-3.705443,-3.721124,-3.709685,-3.430189,-3.605084,-3.338033,-3.462097
2022-05-18,-3.697812,-3.726232,-3.743346,-3.758609,-3.782275,-3.430189,-3.605084,-3.338033,-3.462097,-3.667487
2022-05-19,-3.584470,-3.648914,-3.679044,-3.703857,-3.713986,-3.605084,-3.338033,-3.462097,-3.667487,-3.938254
2022-05-20,-3.660187,-3.686859,-3.710674,-3.720836,-3.743881,-3.338033,-3.462097,-3.667487,-3.938254,-4.054259
2022-05-23,-3.513945,-3.593480,-3.620659,-3.644156,-3.657987,-3.462097,-3.667487,-3.938254,-4.054259,-3.641726
2022-05-24,-3.566729,-3.603492,-3.630193,-3.644488,-3.670018,-3.667487,-3.938254,-4.054259,-3.641726,-3.580036
2022-05-25,-3.655994,-3.664274,-3.672596,-3.697275,-3.725786,-3.938254,-4.054259,-3.641726,-3.580036,-3.863485
2022-05-26,-3.814810,-3.773594,-3.782867,-3.810471,-3.835425,-4.054259,-3.641726,-3.580036,-3.863485,-3.950471
2022-05-27,-3.902323,-3.869899,-3.884544,-3.908839,-3.918578,-3.641726,-3.580036,-3.863485,-3.950471,-3.719696
2022-05-31,-3.731010,-3.791572,-3.830263,-3.840908,-3.834703,-3.580036,-3.863485,-3.950471,-3.719696,-3.904114
2022-06-01,-3.710562,-3.775532,-3.794316,-3.788546,-3.797762,-3.863485,-3.950471,-3.719696,-3.904114,-3.887973
2022-06-02,-3.858257,-3.850768,-3.836883,-3.845911,-3.871392,-3.950471,-3.719696,-3.904114,-3.887973,-3.878899
2022-06-03,-3.900317,-3.870465,-3.874640,-3.899989,-3.915655,-3.719696,-3.904114,-3.887973,-3.878899,-3.831214
2022-06-06,-3.773609,-3.809085,-3.844020,-3.860034,-3.864491,-3.904114,-3.887973,-3.878899,-3.831214,-3.685531
2022-06-07,-3.878806,-3.890991,-3.899992,-3.904110,-3.921202,-3.887973,-3.878899,-3.831214,-3.685531,-3.726336
2022-06-08,-3.895664,-3.902950,-3.906493,-3.923506,-3.937134,-3.878899,-3.831214,-3.685531,-3.726336,-3.285658
2022-06-09,-3.893658,-3.899937,-3.917746,-3.931322,-3.942156,-3.831214,-3.685531,-3.726336,-3.285658,-3.717536
2022-06-10,-3.866736,-3.895491,-3.912466,-3.923489,-3.933315,-3.685531,-3.726336,-3.285658,-3.717536,-3.692858
2022-06-13,-3.798677,-3.847243,-3.867988,-3.878247,-3.888283,-3.726336,-3.285658,-3.717536,-3.692858,-3.887897
