origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.361290,-4.343210,-4.366190,-4.386292,-4.400662,-4.248732,-4.447357,-4.228238,-3.966359,-4.109745
2022-04-20,-4.285115,-4.328019,-4.354128,-4.368812,-4.366068,-4.447357,-4.228238,-3.966359,-4.109745,-4.262160
2022-04-21,-4.411735,-4.409340,-4.415493,-4.412408,-4.420726,-4.228238,-3.966359,-4.109745,-4.262160,-4.353462
2022-04-22,-4.315055,-4.353603,-4.360244,-4.369039,-4.367001,-3.966359,-4.109745,-4.262160,-4.353462,-4.163767
2022-04-25,-4.174106,-4.242204,-4.269434,-4.268229,-4.269208,-4.109745,-4.262160,-4.353462,-4.163767,-3.912933
2022-04-26,-4.208845,-4.247323,-4.249461,-4.250539,-4.267091,-4.262160,-4.353462,-4.163767,-3.912933,-4.132607
2022-04-27,-4.275346,-4.268424,-4.266887,-4.283424,-4.300578,-4.353462,-4.163767,-3.912933,-4.132607,-3.863345
2022-04-28,-4.308684,-4.293372,-4.305750,-4.322694,-4.335504,-4.163767,-3.912933,-4.132607,-3.863345,-3.973335
2022-04-29,-4.217552,-4.254965,-4.279288,-4.292182,-4.294510,-3.912933,-4.132607,-3.863345,-3.973335,-3.962795
2022-05-02,-4.097743,-4.175390,-4.204090,-4.206852,-4.210577,-4.132607,-3.863345,-3.973335,-3.962795,-3.992134
2022-05-03,-4.193613,-4.216360,-4.217426,-4.221181,-4.241634,-3.863345,-3.973335,-3.962795,-3.992134,-3.877514
2022-05-04,-4.045690,-4.104576,-4.125514,-4.146489,-4.155295,-3.973335,-3.962795,-3.992134,-3.877514,-3.818328
2022-05-05,-4.066434,-4.099703,-4.124108,-4.132760,-4.151430,-3.962795,-3.992134,-3.877514,-3.818328,-3.806931
2022-05-06,-4.046208,-4.089018,-4.103320,-4.122396,-4.139631,-3.992134,-3.877514,-3.818328,-3.806931,-4.234825
2022-05-09,-4.061201,-4.085067,-4.107147,-4.124644,-4.144245,-3.877514,-3.818328,-3.806931,-4.234825,-4.035636
2022-05-10,-3.989492,-4.043591,-4.070605,-4.090447,-4.107180,-3.818328,-3.806931,-4.234825,-4.035636,-4.226865
2022-05-11,-3.954669,-4.011634,-4.040432,-4.057461,-4.076047,-3.806931,-4.234825,-4.035636,-4.226865,-4.127749
2022-05-12,-3.934640,-3.989195,-4.013896,-4.032671,-4.053866,-4.234825,-4.035636,-4.226865,-4.127749,-4.081048
2022-05-13,-4.145709,-4.118134,-4.121356,-4.142150,-4.171827,-4.035636,-4.226865,-4.127749,-4.081048,-4.186007
2022-05-16,-4.061034,-4.083600,-4.110248,-4.140231,-4.146455,-4.226865,-4.127749,-4.081048,-4.186007,-3.957965
2022-05-17,-4.169302,-4.166537,-4.187463,-4.193194,-4.204624,-4.127749,-4.081048,-4.186007,-3.957965,-3.682600
2022-05-18,-4.145397,-4.173854,-4.181961,-4.193632,-4.196382,-4.081048,-4.186007,-3.957965,-3.682600,-4.343715
2022-05-19,-4.139724,-4.158826,-4.173662,-4.176373,-4.182196,-4.186007,-3.957965,-3.682600,-4.343715,-4.484637
2022-05-20,-4.183225,-4.190094,-4.190461,-4.196262,-4.207088,-3.957965,-3.682600,-4.343715,-4.484637,-4.621290
2022-05-23,-4.072523,-4.112332,-4.130022,-4.141307,-4.142573,-3.682600,-4.343715,-4.484637,-4.621290,-4.254808
2022-05-24,-3.909005,-3.995295,-4.027414,-4.029689,-4.033336,-4.343715,-4.484637,-4.621290,-4.254808,-4.323074
2022-05-25,-4.221378,-4.176916,-4.155929,-4.158450,-4.191210,-4.484637,-4.621290,-4.254808,-4.323074,-4.372919
2022-05-26,-4.314116,-4.246849,-4.235301,-4.267310,-4.278853,-4.621290,-4.254808,-4.323074,-4.372919,-4.346004
2022-05-27,-4.406930,-4.341178,-4.356554,-4.367184,-4.365697,-4.254808,-4.323074,-4.372919,-4.346004,-4.538939
2022-05-31,-4.262458,-4.304942,-4.323945,-4.323052,-4.305889,-4.323074,-4.372919,-4.346004,-4.538939,-4.535665
2022-06-01,-4.336412,-4.344666,-4.340487,-4.323148,-4.322178,-4.372919,-4.346004,-4.538939,-4.535665,-4.465422
2022-06-02,-4.364171,-4.353760,-4.334523,-4.333534,-4.336184,-4.346004,-4.538939,-4.535665,-4.465422,-4.240236
2022-06-03,-4.343783,-4.327570,-4.327416,-4.330008,-4.330534,-4.538939,-4.535665,-4.465422,-4.240236,-4.068757
2022-06-06,-4.429565,-4.395105,-4.387240,-4.387219,-4.393239,-4.535665,-4.465422,-4.240236,-4.068757,-4.055489
2022-06-07,-4.450408,-4.423837,-4.418106,-4.423816,-4.422625,-4.465422,-4.240236,-4.068757,-4.055489,-4.056686
2022-06-08,-4.431481,-4.423022,-4.427879,-4.426611,-4.422801,-4.240236,-4.068757,-4.055489,-4.056686,-3.843302
2022-06-09,-4.322704,-4.360958,-4.369839,-4.366525,-4.359359,-4.068757,-4.055489,-4.056686,-3.843302,-4.005887
2022-06-10,-4.228149,-4.281774,-4.292218,-4.285870,-4.287693,-4.055489,-4.056686,-3.843302,-4.005887,-4.008365
2022-06-13,-4.191573,-4.232580,-4.235669,-4.238087,-4.250366,-4.056686,-3.843302,-4.005887,-4.008365,-4.403142
2022-06-14,-4.162014,-4.188979,-4.198764,-4.211478,-4.227958,-3.843302,-4.005887,-4.008365,-4.403142,-4.466393
2022-06-15,-4.022218,-4.088303,-4.118375,-4.135956,-4.149422,-4.005887,-4.008365,-4.403142,-4.466393,-4.195071
2022-06-16,-4.079742,-4.112681,-4.131141,-4.144659,-4.170239,-4.008365,-4.403142,-4.466393,-4.195071,-4.153459
2022-06-17,-4.075228,-4.106254,-4.123630,-4.149396,-4.171671,-4.403142,-4.466393,-4.195071,-4.153459,-4.235579
2022-06-21,-4.278235,-4.237793,-4.245684,-4.266813,-4.297106,-4.466393,-4.195071,-4.153459,-4.235579,-4.169472
2022-06-22,-4.336575,-4.311072,-4.321762,-4.351229,-4.361198,-4.195071,-4.153459,-4.235579,-4.169472,-4.246393
2022-06-23,-4.236910,-4.272671,-4.309952,-4.320448,-4.314569,-4.153459,-4.235579,-4.169472,-4.246393,-3.894895
2022-06-24,-4.229037,-4.281127,-4.296225,-4.290678,-4.292186,-4.235579,-4.169472,-4.246393,-3.894895,-4.037047
2022-06-27,-4.284600,-4.298556,-4.292654,-4.294149,-4.304255,-4.169472,-4.246393,-3.894895,-4.037047,-4.254633
2022-06-28,-4.238343,-4.252845,-4.260663,-4.271209,-4.277931,-4.246393,-3.894895,-4.037047,-4.254633,-4.285320
2022-06-29,-4.257259,-4.263753,-4.273930,-4.280680,-4.290350,-3.894895,-4.037047,-4.254633,-4.285320,-4.426641
2022-06-30,-4.073469,-4.147636,-4.174203,-4.185166,-4.185045,-4.037047,-4.254633,-4.285320,-4.426641,-4.352783
2022-07-01,-4.128568,-4.161668,-4.174699,-4.174775,-4.190547,-4.254633,-4.285320,-4.426641,-4.352783,-4.341521
2022-07-05,-4.227751,-4.218422,-4.211532,-4.226817,-4.243992,-4.285320,-4.426641,-4.352783,-4.341521,-4.199460
2022-07-06,-4.248611,-4.231519,-4.243634,-4.260586,-4.267257,-4.426641,-4.352783,-4.341521,-4.199460,-4.063240
2022-07-07,-4.325267,-4.305859,-4.312955,-4.318920,-4.324325,-4.352783,-4.341521,-4.199460,-4.063240,-3.886417
2022-07-08,-4.320231,-4.322334,-4.326703,-4.331939,-4.329957,-4.341521,-4.199460,-4.063240,-3.886417,-4.123756
2022-07-11,-4.333516,-4.334106,-4.338158,-4.336079,-4.335938,-4.199460,-4.063240,-3.886417,-4.123756,-3.983020
2022-07-12,-4.263445,-4.291163,-4.296452,-4.296825,-4.295720,-4.063240,-3.886417,-4.123756,-3.983020,-4.574581
2022-07-13,-4.185701,-4.226586,-4.238183,-4.238024,-4.243107,-3.886417,-4.123756,-3.983020,-4.574581,-4.339386
2022-07-14,-4.068769,-4.133568,-4.150218,-4.156724,-4.166710,-4.123756,-3.983020,-4.574581,-4.339386,-4.201454
2022-07-15,-4.162647,-4.169517,-4.172929,-4.182674,-4.207351,-3.983020,-4.574581,-4.339386,-4.201454,-4.241713
2022-07-18,-4.074739,-4.109993,-4.129733,-4.155173,-4.167066,-4.574581,-4.339386,-4.201454,-4.241713,-4.288970
2022-07-19,-4.373298,-4.304328,-4.301862,-4.311486,-4.335886,-4.339386,-4.201454,-4.241713,-4.288970,-4.334034
2022-07-20,-4.286522,-4.290109,-4.301647,-4.326218,-4.322320,-4.201454,-4.241713,-4.288970,-4.334034,-4.295223
2022-07-21,-4.245330,-4.271975,-4.301306,-4.297781,-4.294493,-4.241713,-4.288970,-4.334034,-4.295223,-4.345761
2022-07-22,-4.270149,-4.300161,-4.296867,-4.293618,-4.298461,-4.288970,-4.334034,-4.295223,-4.345761,-4.503969
2022-07-25,-4.310007,-4.303350,-4.299036,-4.303776,-4.310829,-4.334034,-4.295223,-4.345761,-4.503969,-4.063693
2022-07-26,-4.315828,-4.307159,-4.310505,-4.317404,-4.322846,-4.295223,-4.345761,-4.503969,-4.063693,-4.427928
2022-07-27,-4.296320,-4.303327,-4.311378,-4.316914,-4.321201,-4.345761,-4.503969,-4.063693,-4.427928,-4.373027
2022-07-28,-4.329413,-4.328717,-4.331515,-4.335594,-4.342070,-4.503969,-4.063693,-4.427928,-4.373027,-4.524128
2022-07-29,-4.420602,-4.392399,-4.386720,-4.392395,-4.398902,-4.063693,-4.427928,-4.373027,-4.524128,-4.034083
2022-08-01,-4.204570,-4.262250,-4.287826,-4.295928,-4.286310,-4.427928,-4.373027,-4.524128,-4.034083,-4.497598
2022-08-02,-4.379696,-4.365639,-4.361312,-4.350674,-4.363842,-4.373027,-4.524128,-4.034083,-4.497598,-4.627126
2022-08-03,-4.362398,-4.359396,-4.349209,-4.362504,-4.364362,-4.524128,-4.034083,-4.497598,-4.627126,-4.310381
2022-08-04,-4.444265,-4.405440,-4.409912,-4.411152,-4.414654,-4.034083,-4.497598,-4.627126,-4.310381,-4.418162
2022-08-05,-4.189965,-4.267025,-4.290902,-4.296050,-4.284298,-4.497598,-4.627126,-4.310381,-4.418162,-4.744001
2022-08-08,-4.428455,-4.397784,-4.385921,-4.372878,-4.391036,-4.627126,-4.310381,-4.418162,-4.744001,-4.710312
2022-08-09,-4.501806,-4.454714,-4.430665,-4.448085,-4.456497,-4.310381,-4.418162,-4.744001,-4.710312,-4.453806
