origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.446313,-4.474576,-4.495994,-4.506952,-4.520995,-4.408297,-4.179529,-4.002815,-3.797045,-4.159478
2022-04-20,-4.454916,-4.475718,-4.487656,-4.503861,-4.517318,-4.179529,-4.002815,-3.797045,-4.159478,-3.940930
2022-04-21,-4.333446,-4.338664,-4.361519,-4.389675,-4.411163,-4.002815,-3.797045,-4.159478,-3.940930,-3.949639
2022-04-22,-4.164030,-4.175836,-4.210157,-4.247534,-4.278367,-3.797045,-4.159478,-3.940930,-3.949639,-3.758505
2022-04-25,-3.979909,-3.999654,-4.041389,-4.087961,-4.127221,-4.159478,-3.940930,-3.949639,-3.758505,-3.648545
2022-04-26,-4.098997,-4.147680,-4.191829,-4.223431,-4.257565,-3.940930,-3.949639,-3.758505,-3.648545,-4.019652
2022-04-27,-4.060853,-4.100456,-4.133874,-4.174960,-4.210552,-3.949639,-3.758505,-3.648545,-4.019652,-3.751974
2022-04-28,-4.040503,-4.069441,-4.111917,-4.152253,-4.189027,-3.758505,-3.648545,-4.019652,-3.751974,-3.796237
2022-04-29,-3.917251,-3.948992,-3.991696,-4.040067,-4.081899,-3.648545,-4.019652,-3.751974,-3.796237,-3.588442
2022-05-02,-3.806191,-3.837269,-3.887305,-3.939741,-3.985922,-4.019652,-3.751974,-3.796237,-3.588442,-3.764380
2022-05-03,-3.955960,-4.014432,-4.064904,-4.102661,-4.143356,-3.751974,-3.796237,-3.588442,-3.764380,-3.806706
2022-05-04,-3.902772,-3.946860,-3.985741,-4.034735,-4.077074,-3.796237,-3.588442,-3.764380,-3.806706,-3.570279
2022-05-05,-3.889716,-3.923873,-3.973732,-4.020296,-4.063452,-3.588442,-3.764380,-3.806706,-3.570279,-3.316550
2022-05-06,-3.762978,-3.801294,-3.849100,-3.904134,-3.951832,-3.764380,-3.806706,-3.570279,-3.316550,-3.852314
2022-05-09,-3.802050,-3.849915,-3.904940,-3.952584,-3.999275,-3.806706,-3.570279,-3.316550,-3.852314,-4.034737
2022-05-10,-3.852478,-3.907664,-3.955284,-4.001793,-4.046434,-3.570279,-3.316550,-3.852314,-4.034737,-4.113175
2022-05-11,-3.758131,-3.794843,-3.842332,-3.898098,-3.945934,-3.316550,-3.852314,-4.034737,-4.113175,-4.001872
2022-05-12,-3.572031,-3.600976,-3.658267,-3.724018,-3.778554,-3.852314,-4.034737,-4.113175,-4.001872,-3.568566
2022-05-13,-3.753546,-3.821862,-3.885290,-3.928860,-3.977805,-4.034737,-4.113175,-4.001872,-3.568566,-3.641950
2022-05-16,-3.981894,-4.052681,-4.094640,-4.132331,-4.171681,-4.113175,-4.001872,-3.568566,-3.641950,-3.787125
2022-05-17,-4.125153,-4.171243,-4.207332,-4.240946,-4.273596,-4.001872,-3.568566,-3.641950,-3.787125,-3.764813
2022-05-18,-4.104356,-4.136394,-4.171713,-4.209877,-4.243541,-3.568566,-3.641950,-3.787125,-3.764813,-3.975789
2022-05-19,-3.844382,-3.871934,-3.917027,-3.972354,-4.017254,-3.641950,-3.787125,-3.764813,-3.975789,-4.064537
2022-05-20,-3.760249,-3.802990,-3.862620,-3.917194,-3.966616,-3.787125,-3.764813,-3.975789,-4.064537,-4.250407
2022-05-23,-3.818425,-3.878074,-3.932095,-3.980221,-4.025962,-3.764813,-3.975789,-4.064537,-4.250407,-4.052902
2022-05-24,-3.847658,-3.901615,-3.950825,-3.999161,-4.043322,-3.975789,-4.064537,-4.250407,-4.052902,-4.064220
2022-05-25,-3.975106,-4.024543,-4.069989,-4.107783,-4.144436,-4.064537,-4.250407,-4.052902,-4.064220,-4.240557
2022-05-26,-4.075848,-4.121028,-4.156705,-4.188757,-4.219237,-4.250407,-4.052902,-4.064220,-4.240557,-4.067937
2022-05-27,-4.219699,-4.254763,-4.282403,-4.303481,-4.324826,-4.052902,-4.064220,-4.240557,-4.067937,-4.212374
2022-05-31,-4.162549,-4.190546,-4.215958,-4.246202,-4.271554,-4.064220,-4.240557,-4.067937,-4.212374,-4.407981
2022-06-01,-4.136166,-4.161350,-4.194101,-4.224642,-4.251775,-4.240557,-4.067937,-4.212374,-4.407981,-4.263377
2022-06-02,-4.220075,-4.252518,-4.280396,-4.301864,-4.323256,-4.067937,-4.212374,-4.407981,-4.263377,-4.187762
2022-06-03,-4.168309,-4.196539,-4.221961,-4.251491,-4.276457,-4.212374,-4.407981,-4.263377,-4.187762,-4.122888
2022-06-06,-4.220984,-4.246395,-4.274788,-4.297367,-4.318893,-4.407981,-4.263377,-4.187762,-4.122888,-3.892122
2022-06-07,-4.350039,-4.377206,-4.394987,-4.405886,-4.418501,-4.263377,-4.187762,-4.122888,-3.892122,-3.937909
2022-06-08,-4.330327,-4.348498,-4.361767,-4.379276,-4.393558,-4.187762,-4.122888,-3.892122,-3.937909,-3.588477
2022-06-09,-4.271412,-4.284843,-4.306160,-4.328345,-4.346809,-4.122888,-3.892122,-3.937909,-3.588477,-4.044676
2022-06-10,-4.203341,-4.224774,-4.250852,-4.277386,-4.300213,-3.892122,-3.937909,-3.588477,-4.044676,-3.944514
2022-06-13,-4.053874,-4.079082,-4.113338,-4.152285,-4.184668,-3.937909,-3.588477,-4.044676,-3.944514,-4.396741
2022-06-14,-4.014247,-4.047914,-4.089653,-4.127929,-4.162563,-3.588477,-4.044676,-3.944514,-4.396741,-4.022843
2022-06-15,-3.814182,-3.853611,-3.900559,-3.955884,-4.002280,-4.044676,-3.944514,-4.396741,-4.022843,-4.206441
2022-06-16,-3.986074,-4.034397,-4.084233,-4.119170,-4.155174,-3.944514,-4.396741,-4.022843,-4.206441,-4.258986
2022-06-17,-4.010473,-4.060540,-4.096415,-4.134529,-4.168995,-4.396741,-4.022843,-4.206441,-4.258986,-4.305651
2022-06-21,-4.279499,-4.314290,-4.342770,-4.356148,-4.373417,-4.022843,-4.206441,-4.258986,-4.305651,-4.279154
2022-06-22,-4.162356,-4.186527,-4.202646,-4.228598,-4.249055,-4.206441,-4.258986,-4.305651,-4.279154,-4.057176
2022-06-23,-4.211252,-4.227372,-4.252075,-4.270204,-4.287613,-4.258986,-4.305651,-4.279154,-4.057176,-3.768837
2022-06-24,-4.254467,-4.278796,-4.295573,-4.310400,-4.324670,-4.305651,-4.279154,-4.057176,-3.768837,-4.044899
2022-06-27,-4.307366,-4.323790,-4.337144,-4.348607,-4.359498,-4.279154,-4.057176,-3.768837,-4.044899,-4.008366
2022-06-28,-4.308153,-4.321702,-4.333984,-4.346429,-4.357366,-4.057176,-3.768837,-4.044899,-4.008366,-3.925088
2022-06-29,-4.182910,-4.195979,-4.215629,-4.239861,-4.259282,-3.768837,-4.044899,-4.008366,-3.925088,-4.717612
2022-06-30,-3.967295,-3.984945,-4.019771,-4.059755,-4.092587,-4.044899,-4.008366,-3.925088,-4.717612,-4.333950
2022-07-01,-4.029734,-4.064830,-4.102766,-4.131738,-4.160278,-4.008366,-3.925088,-4.717612,-4.333950,-4.421259
2022-07-05,-4.052453,-4.090497,-4.120013,-4.149631,-4.176692,-3.925088,-4.717612,-4.333950,-4.421259,-4.021827
2022-07-06,-4.018375,-4.047742,-4.080614,-4.114016,-4.143434,-4.717612,-4.333950,-4.421259,-4.021827,-3.676994
2022-07-07,-4.448586,-4.474511,-4.489879,-4.479515,-4.479922,-4.333950,-4.421259,-4.021827,-3.676994,-4.205546
2022-07-08,-4.412192,-4.428869,-4.422163,-4.429119,-4.432707,-4.421259,-4.021827,-3.676994,-4.205546,-4.402469
2022-07-11,-4.433731,-4.426961,-4.433659,-4.436727,-4.439399,-4.021827,-3.676994,-4.205546,-4.402469,-4.225309
2022-07-12,-4.202185,-4.210814,-4.226016,-4.250860,-4.269160,-3.676994,-4.205546,-4.402469,-4.225309,-4.452818
2022-07-13,-3.924794,-3.935592,-3.973651,-4.017778,-4.053298,-4.205546,-4.402469,-4.225309,-4.452818,-4.243542
2022-07-14,-4.100028,-4.138692,-4.175137,-4.196455,-4.220437,-4.402469,-4.225309,-4.452818,-4.243542,-4.331349
2022-07-15,-4.314371,-4.346713,-4.359676,-4.367094,-4.376979,-4.225309,-4.452818,-4.243542,-4.331349,-4.310948
2022-07-18,-4.297537,-4.311130,-4.321187,-4.335939,-4.347630,-4.452818,-4.243542,-4.331349,-4.310948,-4.532739
2022-07-19,-4.396631,-4.405541,-4.415926,-4.418817,-4.423634,-4.243542,-4.331349,-4.310948,-4.532739,-4.722634
2022-07-20,-4.321600,-4.333229,-4.340691,-4.354020,-4.364115,-4.331349,-4.310948,-4.532739,-4.722634,-4.108243
2022-07-21,-4.338590,-4.345997,-4.359046,-4.368598,-4.377591,-4.310948,-4.532739,-4.722634,-4.108243,-4.394662
2022-07-22,-4.330710,-4.343978,-4.354333,-4.364866,-4.374246,-4.532739,-4.722634,-4.108243,-4.394662,-4.032282
2022-07-25,-4.439511,-4.447676,-4.447254,-4.440554,-4.437706,-4.722634,-4.108243,-4.394662,-4.032282,-4.359690
2022-07-26,-4.592234,-4.595944,-4.582180,-4.563349,-4.550566,-4.108243,-4.394662,-4.032282,-4.359690,-4.320902
2022-07-27,-4.348205,-4.324744,-4.321025,-4.333166,-4.336512,-4.394662,-4.032282,-4.359690,-4.320902,-4.522145
2022-07-28,-4.349102,-4.346420,-4.357302,-4.358232,-4.361398,-4.032282,-4.359690,-4.320902,-4.522145,-4.352081
2022-07-29,-4.177512,-4.182696,-4.192582,-4.211508,-4.224778,-4.359690,-4.320902,-4.522145,-4.352081,-4.570189
2022-08-01,-4.280187,-4.294113,-4.307973,-4.312022,-4.319105,-4.320902,-4.522145,-4.352081,-4.570189,-4.279003
2022-08-02,-4.316014,-4.330514,-4.333425,-4.338421,-4.343126,-4.522145,-4.352081,-4.570189,-4.279003,-4.621632
2022-08-03,-4.438966,-4.445453,-4.444956,-4.438717,-4.435933,-4.352081,-4.570189,-4.279003,-4.621632,-4.601372
2022-08-04,-4.400061,-4.398027,-4.394281,-4.396059,-4.395805,-4.570189,-4.279003,-4.621632,-4.601372,-4.691963
2022-08-05,-4.486223,-4.485402,-4.482790,-4.473303,-4.467636,-4.279003,-4.621632,-4.601372,-4.691963,-4.812926
2022-08-08,-4.377562,-4.371173,-4.367758,-4.372913,-4.374138,-4.621632,-4.601372,-4.691963,-4.812926,-4.747210
2022-08-09,-4.497697,-4.498485,-4.497552,-4.485455,-4.479054,-4.601372,-4.691963,-4.812926,-4.747210,-4.701001
2022-08-10,-4.551511,-4.552191,-4.537302,-4.525131,-4.515038,-4.691963,-4.812926,-4.747210,-4.701001,-4.402071
2022-08-11,-4.622293,-4.609573,-4.593880,-4.575756,-4.561251,-4.812926,-4.747210,-4.701001,-4.402071,-4.579702
2022-08-12,-4.702316,-4.689332,-4.666736,-4.640886,-4.620903,-4.747210,-4.701001,-4.402071,-4.579702,-4.783212
2022-08-15,-4.710904,-4.688981,-4.661998,-4.639338,-4.618855,-4.701001,-4.402071,-4.579702,-4.783212,-4.802785
2022-08-16,-4.684196,-4.657069,-4.634655,-4.614757,-4.596249,-4.402071,-4.579702,-4.783212,-4.802785,-4.429998
2022-08-17,-4.515977,-4.488636,-4.476764,-4.473839,-4.466606,-4.579702,-4.783212,-4.802785,-4.429998,-4.769684
2022-08-18,-4.521117,-4.510305,-4.505791,-4.495021,-4.487276,-4.783212,-4.802785,-4.429998,-4.769684,-4.758530
2022-08-19,-4.641535,-4.640718,-4.623737,-4.600781,-4.584768,-4.802785,-4.429998,-4.769684,-4.758530,-3.949499
2022-08-22,-4.718647,-4.704066,-4.677121,-4.651495,-4.630360,-4.429998,-4.769684,-4.758530,-3.949499,-4.197160
2022-08-23,-4.561404,-4.529439,-4.512262,-4.507253,-4.497076,-4.769684,-4.758530,-3.949499,-4.197160,-4.174236
2022-08-24,-4.635125,-4.629377,-4.625500,-4.607887,-4.598209,-4.758530,-3.949499,-4.197160,-4.174236,-4.293734
2022-08-25,-4.684480,-4.683829,-4.662252,-4.644572,-4.630661,-3.949499,-4.197160,-4.174236,-4.293734,-4.141875
2022-08-26,-4.345551,-4.297575,-4.303973,-4.333061,-4.343969,-4.197160,-4.174236,-4.293734,-4.141875,-4.176822
2022-08-29,-4.226877,-4.226120,-4.259555,-4.278681,-4.297533,-4.174236,-4.293734,-4.141875,-4.176822,-4.134837
2022-08-30,-4.200091,-4.231669,-4.252146,-4.273911,-4.293653,-4.293734,-4.141875,-4.176822,-4.134837,-4.375179
2022-08-31,-4.277350,-4.301427,-4.320644,-4.335166,-4.350160,-4.141875,-4.176822,-4.134837,-4.375179,-4.127972
2022-09-01,-4.235611,-4.249756,-4.267909,-4.290455,-4.308082,-4.176822,-4.134837,-4.375179,-4.127972,-4.631272
2022-09-02,-4.221258,-4.236996,-4.261124,-4.281999,-4.300714,-4.134837,-4.375179,-4.127972,-4.631272,-4.442703
2022-09-06,-4.194820,-4.215584,-4.238697,-4.262175,-4.282415,-4.375179,-4.127972,-4.631272,-4.442703,-4.474823
2022-09-07,-4.303847,-4.333777,-4.352290,-4.362424,-4.375657,-4.127972,-4.631272,-4.442703,-4.474823,-4.172618
2022-09-08,-4.248383,-4.260568,-4.275463,-4.298555,-4.315293,-4.631272,-4.442703,-4.474823,-4.172618,-4.247667
2022-09-09,-4.444976,-4.473673,-4.485825,-4.480228,-4.483961,-4.442703,-4.474823,-4.172618,-4.247667,-4.144522
2022-09-12,-4.472591,-4.484674,-4.479149,-4.483017,-4.484524,-4.474823,-4.172618,-4.247667,-4.144522,-4.327144
2022-09-13,-4.485720,-4.480270,-4.484069,-4.485442,-4.486597,-4.172618,-4.247667,-4.144522,-4.327144,-4.237705
2022-09-14,-4.331575,-4.324055,-4.334857,-4.354088,-4.365666,-4.247667,-4.144522,-4.327144,-4.237705,-3.461983
2022-09-15,-4.283732,-4.291101,-4.312733,-4.329031,-4.343872,-4.144522,-4.327144,-4.237705,-3.461983,-4.072427
2022-09-16,-4.223347,-4.239711,-4.259730,-4.282320,-4.300748,-4.327144,-4.237705,-3.461983,-4.072427,-4.212847
2022-09-19,-4.290278,-4.314335,-4.334048,-4.346670,-4.360868,-4.237705,-3.461983,-4.072427,-4.212847,-3.966776
2022-09-20,-4.288743,-4.306580,-4.320659,-4.337821,-4.351973,-3.461983,-4.072427,-4.212847,-3.966776,-3.957361
2022-09-21,-3.925298,-3.902806,-3.934833,-3.994633,-4.030509,-4.072427,-4.212847,-3.966776,-3.957361,-3.989655
