origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.134559,-4.130311,-4.150179,-4.156347,-4.164941,-4.056968,-3.928866,-3.779785,-3.843672,-3.879148
2022-04-20,-4.088542,-4.105031,-4.109148,-4.120596,-4.130213,-3.928866,-3.779785,-3.843672,-3.879148,-3.561262
2022-04-21,-4.020909,-4.017572,-4.024724,-4.040342,-4.050306,-3.779785,-3.843672,-3.879148,-3.561262,-3.873867
2022-04-22,-3.891623,-3.888974,-3.898418,-3.918045,-3.930748,-3.843672,-3.879148,-3.561262,-3.873867,-3.418215
2022-04-25,-3.863895,-3.871645,-3.890169,-3.904926,-3.919052,-3.879148,-3.561262,-3.873867,-3.418215,-3.330659
2022-04-26,-3.879709,-3.898730,-3.913845,-3.927328,-3.941428,-3.561262,-3.873867,-3.418215,-3.330659,-3.820760
2022-04-27,-3.736526,-3.743322,-3.750144,-3.778780,-3.796352,-3.873867,-3.418215,-3.330659,-3.820760,-3.328133
2022-04-28,-3.814045,-3.824706,-3.855813,-3.866768,-3.882709,-3.418215,-3.330659,-3.820760,-3.328133,-3.424848
2022-04-29,-3.625614,-3.651413,-3.655907,-3.691434,-3.714015,-3.330659,-3.820760,-3.328133,-3.424848,-3.217667
2022-05-02,-3.514133,-3.517210,-3.550889,-3.590899,-3.619257,-3.820760,-3.328133,-3.424848,-3.217667,-3.617340
2022-05-03,-3.671545,-3.706479,-3.748866,-3.759469,-3.781018,-3.328133,-3.424848,-3.217667,-3.617340,-3.324689
2022-05-04,-3.538200,-3.580367,-3.587463,-3.627628,-3.654868,-3.424848,-3.217667,-3.617340,-3.324689,-3.402485
2022-05-05,-3.527588,-3.534505,-3.574139,-3.608265,-3.635903,-3.217667,-3.617340,-3.324689,-3.402485,-3.143267
2022-05-06,-3.392184,-3.436066,-3.470255,-3.517313,-3.553376,-3.617340,-3.324689,-3.402485,-3.143267,-3.633874
2022-05-09,-3.543084,-3.575317,-3.622699,-3.644500,-3.671650,-3.324689,-3.402485,-3.143267,-3.633874,-3.613832
2022-05-10,-3.471181,-3.520605,-3.541578,-3.581712,-3.612846,-3.402485,-3.143267,-3.633874,-3.613832,-3.503765
2022-05-11,-3.488828,-3.510219,-3.550215,-3.585632,-3.615591,-3.143267,-3.633874,-3.613832,-3.503765,-3.709685
2022-05-12,-3.355179,-3.400979,-3.437110,-3.489007,-3.527583,-3.633874,-3.613832,-3.503765,-3.709685,-3.430189
2022-05-13,-3.532596,-3.565600,-3.617537,-3.638135,-3.665862,-3.613832,-3.503765,-3.709685,-3.430189,-3.605084
2022-05-16,-3.606368,-3.658080,-3.679346,-3.702479,-3.726679,-3.503765,-3.709685,-3.430189,-3.605084,-3.338033
2022-05-17,-3.608037,-3.628586,-3.650673,-3.680563,-3.704100,-3.709685,-3.430189,-3.605084,-3.338033,-3.462097
2022-05-18,-3.679578,-3.702783,-3.733836,-3.751816,-3.772509,-3.430189,-3.605084,-3.338033,-3.462097,-3.667487
2022-05-19,-3.622312,-3.686271,-3.735272,-3.792949,-3.841838,-3.605084,-3.338033,-3.462097,-3.667487,-3.938254
2022-05-20,-3.676968,-3.726559,-3.784515,-3.834319,-3.879868,-3.338033,-3.462097,-3.667487,-3.938254,-4.054259
2022-05-23,-3.546208,-3.618074,-3.674533,-3.737893,-3.791508,-3.462097,-3.667487,-3.938254,-4.054259,-3.641726
2022-05-24,-3.573733,-3.633880,-3.699008,-3.757225,-3.809024,-3.667487,-3.938254,-4.054259,-3.641726,-3.580036
2022-05-25,-3.685787,-3.747068,-3.803630,-3.850390,-3.895203,-3.938254,-4.054259,-3.641726,-3.580036,-3.863485
2022-05-26,-3.891358,-3.941710,-3.986068,-4.018200,-4.052102,-4.054259,-3.641726,-3.580036,-3.863485,-3.950471
2022-05-27,-4.035227,-4.077900,-4.109396,-4.135547,-4.162474,-3.641726,-3.580036,-3.863485,-3.950471,-3.719696
2022-05-31,-3.861377,-3.896281,-3.924420,-3.969615,-4.005297,-3.580036,-3.863485,-3.950471,-3.719696,-3.904114
2022-06-01,-3.744691,-3.777601,-3.825458,-3.875080,-3.917055,-3.863485,-3.950471,-3.719696,-3.904114,-3.887973
2022-06-02,-3.844753,-3.889894,-3.938383,-3.974338,-4.010628,-3.950471,-3.719696,-3.904114,-3.887973,-3.878899
2022-06-03,-3.950531,-3.997369,-4.032723,-4.063933,-4.094958,-3.719696,-3.904114,-3.887973,-3.878899,-3.831214
2022-06-06,-3.869151,-3.907143,-3.939648,-3.981546,-4.016755,-3.904114,-3.887973,-3.878899,-3.831214,-3.685531
2022-06-07,-3.926713,-3.958852,-4.000563,-4.034073,-4.066323,-3.887973,-3.878899,-3.831214,-3.685531,-3.726336
2022-06-08,-3.936832,-3.979009,-4.012707,-4.046801,-4.078529,-3.878899,-3.831214,-3.685531,-3.726336,-3.285658
2022-06-09,-3.946503,-3.980697,-4.015041,-4.049519,-4.080802,-3.831214,-3.685531,-3.726336,-3.285658,-3.717536
2022-06-10,-3.916096,-3.951560,-3.986589,-4.023354,-4.056150,-3.685531,-3.726336,-3.285658,-3.717536,-3.692858
2022-06-13,-3.824060,-3.862340,-3.900710,-3.944581,-3.982135,-3.726336,-3.285658,-3.717536,-3.692858,-3.887897
2022-06-14,-3.808193,-3.848378,-3.893101,-3.935488,-3.973812,-3.285658,-3.717536,-3.692858,-3.887897,-3.684722
2022-06-15,-3.572677,-3.633453,-3.684161,-3.748808,-3.801081,-3.717536,-3.692858,-3.887897,-3.684722,-3.719218
2022-06-16,-3.712329,-3.757923,-3.820215,-3.864635,-3.908050,-3.692858,-3.887897,-3.684722,-3.719218,-3.925433
2022-06-17,-3.746911,-3.809843,-3.854517,-3.898920,-3.940351,-3.887897,-3.684722,-3.719218,-3.925433,-3.873815
2022-06-21,-3.889185,-3.931204,-3.974467,-4.008927,-4.042998,-3.684722,-3.719218,-3.925433,-3.873815,-3.692755
2022-06-22,-3.774325,-3.797688,-3.809404,-3.831721,-3.849985,-3.719218,-3.925433,-3.873815,-3.692755,-3.569782
2022-06-23,-3.766806,-3.778557,-3.800450,-3.821109,-3.839563,-3.925433,-3.873815,-3.692755,-3.569782,-3.451892
2022-06-24,-3.870534,-3.892268,-3.914461,-3.926276,-3.941121,-3.873815,-3.692755,-3.569782,-3.451892,-3.799498
2022-06-27,-3.894164,-3.916364,-3.928220,-3.942936,-3.956941,-3.692755,-3.569782,-3.451892,-3.799498,-3.677524
