origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.433322,-4.466760,-4.500704,-4.522653,-4.544897,-4.248732,-4.447357,-4.228238,-3.966359,-4.109745
2022-04-20,-4.367524,-4.407196,-4.430068,-4.465110,-4.493227,-4.447357,-4.228238,-3.966359,-4.109745,-4.262160
2022-04-21,-4.450196,-4.470766,-4.505158,-4.527724,-4.548873,-4.228238,-3.966359,-4.109745,-4.262160,-4.353462
2022-04-22,-4.351094,-4.392302,-4.415885,-4.452342,-4.481702,-3.966359,-4.109745,-4.262160,-4.353462,-4.163767
2022-04-25,-4.182127,-4.208143,-4.241635,-4.293924,-4.334256,-4.109745,-4.262160,-4.353462,-4.163767,-3.912933
2022-04-26,-4.166668,-4.200199,-4.251457,-4.295599,-4.336491,-4.262160,-4.353462,-4.163767,-3.912933,-4.132607
2022-04-27,-4.255166,-4.305221,-4.350370,-4.385853,-4.421413,-4.353462,-4.163767,-3.912933,-4.132607,-3.863345
2022-04-28,-4.360127,-4.402980,-4.438588,-4.467845,-4.496012,-4.163767,-3.912933,-4.132607,-3.863345,-3.973335
2022-04-29,-4.295539,-4.335236,-4.364213,-4.405111,-4.438468,-3.912933,-4.132607,-3.863345,-3.973335,-3.962795
2022-05-02,-4.123548,-4.152748,-4.188814,-4.243414,-4.286620,-4.132607,-3.863345,-3.973335,-3.962795,-3.992134
2022-05-03,-4.157989,-4.194069,-4.248820,-4.291570,-4.332876,-3.863345,-3.973335,-3.962795,-3.992134,-3.877514
2022-05-04,-4.026136,-4.079741,-4.115839,-4.171276,-4.218841,-3.973335,-3.962795,-3.992134,-3.877514,-3.818328
2022-05-05,-4.049252,-4.084675,-4.138827,-4.188696,-4.234990,-3.962795,-3.992134,-3.877514,-3.818328,-3.806931
2022-05-06,-4.034368,-4.087916,-4.135588,-4.185703,-4.232916,-3.992134,-3.877514,-3.818328,-3.806931,-4.234825
2022-05-09,-4.063475,-4.110813,-4.159909,-4.209023,-4.254964,-3.877514,-3.818328,-3.806931,-4.234825,-4.035636
2022-05-10,-4.004012,-4.051124,-4.095416,-4.149514,-4.197704,-3.818328,-3.806931,-4.234825,-4.035636,-4.226865
2022-05-11,-3.944317,-3.985318,-4.033951,-4.089513,-4.139361,-3.806931,-4.234825,-4.035636,-4.226865,-4.127749
2022-05-12,-3.905671,-3.951590,-4.002703,-4.057597,-4.108590,-4.234825,-4.035636,-4.226865,-4.127749,-4.081048
2022-05-13,-4.147411,-4.200033,-4.262830,-4.299529,-4.341300,-4.035636,-4.226865,-4.127749,-4.081048,-4.186007
2022-05-16,-4.136014,-4.199545,-4.234248,-4.281902,-4.324768,-4.226865,-4.127749,-4.081048,-4.186007,-3.957965
2022-05-17,-4.251225,-4.285454,-4.334118,-4.371933,-4.407837,-4.127749,-4.081048,-4.186007,-3.957965,-3.682600
2022-05-18,-4.215613,-4.265860,-4.302459,-4.345555,-4.383887,-4.081048,-4.186007,-3.957965,-3.682600,-4.343715
2022-05-19,-4.203134,-4.241266,-4.290808,-4.340580,-4.383725,-4.186007,-3.957965,-3.682600,-4.343715,-4.484637
2022-05-20,-4.232306,-4.281271,-4.331313,-4.375455,-4.416510,-3.957965,-3.682600,-4.343715,-4.484637,-4.621290
2022-05-23,-4.139488,-4.179146,-4.226077,-4.282656,-4.329533,-3.682600,-4.343715,-4.484637,-4.621290,-4.254808
2022-05-24,-3.946806,-3.966619,-4.022349,-4.090659,-4.145847,-4.343715,-4.484637,-4.621290,-4.254808,-4.323074
2022-05-25,-4.181792,-4.256560,-4.322088,-4.358531,-4.402913,-4.484637,-4.621290,-4.254808,-4.323074,-4.372919
2022-05-26,-4.415561,-4.482999,-4.512278,-4.536626,-4.561949,-4.621290,-4.254808,-4.323074,-4.372919,-4.346004
2022-05-27,-4.582304,-4.609652,-4.625612,-4.635747,-4.646473,-4.254808,-4.323074,-4.372919,-4.346004,-4.538939
2022-05-31,-4.453851,-4.470430,-4.493227,-4.528028,-4.551980,-4.323074,-4.372919,-4.346004,-4.538939,-4.535665
2022-06-01,-4.405937,-4.426884,-4.466176,-4.499187,-4.527211,-4.372919,-4.346004,-4.538939,-4.535665,-4.465422
