origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.458848,-4.457243,-4.421282,-4.448623,-4.435853,-4.408297,-4.179529,-4.002815,-3.797045,-4.159478
2022-04-20,-4.427535,-4.394593,-4.426593,-4.409820,-4.405884,-4.179529,-4.002815,-3.797045,-4.159478,-3.940930
2022-04-21,-4.246201,-4.292244,-4.299005,-4.278008,-4.293839,-4.002815,-3.797045,-4.159478,-3.940930,-3.949639
2022-04-22,-4.156742,-4.180577,-4.185571,-4.185213,-4.202520,-3.797045,-4.159478,-3.940930,-3.949639,-3.758505
2022-04-25,-4.009859,-4.045984,-4.091383,-4.081473,-4.105577,-4.159478,-3.940930,-3.949639,-3.758505,-3.648545
2022-04-26,-4.118128,-4.154712,-4.130155,-4.164938,-4.151787,-3.940930,-3.949639,-3.758505,-3.648545,-4.019652
2022-04-27,-4.070107,-4.061738,-4.117005,-4.091630,-4.112276,-3.949639,-3.758505,-3.648545,-4.019652,-3.751974
2022-04-28,-4.006256,-4.068120,-4.056885,-4.069270,-4.086060,-3.758505,-3.648545,-4.019652,-3.751974,-3.796237
2022-04-29,-3.957303,-3.972653,-4.011656,-4.014863,-4.047470,-3.648545,-4.019652,-3.751974,-3.796237,-3.588442
2022-05-02,-3.861313,-3.923838,-3.964289,-3.972222,-4.009682,-4.019652,-3.751974,-3.796237,-3.588442,-3.764380
2022-05-03,-3.990150,-4.019297,-4.013260,-4.060410,-4.057081,-3.751974,-3.796237,-3.588442,-3.764380,-3.806706
2022-05-04,-3.922049,-3.944296,-4.016589,-3.996794,-4.034826,-3.796237,-3.588442,-3.764380,-3.806706,-3.570279
2022-05-05,-3.895832,-3.975040,-3.969305,-3.998513,-4.022162,-3.588442,-3.764380,-3.806706,-3.570279,-3.316550
2022-05-06,-3.859022,-3.889093,-3.947021,-3.953355,-4.000741,-3.764380,-3.806706,-3.570279,-3.316550,-3.852314
2022-05-09,-3.857066,-3.920879,-3.936596,-3.976672,-3.997807,-3.806706,-3.570279,-3.316550,-3.852314,-4.034737
2022-05-10,-3.901288,-3.922287,-3.966809,-3.984893,-4.011556,-3.570279,-3.316550,-3.852314,-4.034737,-4.113175
2022-05-11,-3.813124,-3.885356,-3.939682,-3.940633,-3.989028,-3.316550,-3.852314,-4.034737,-4.113175,-4.001872
2022-05-12,-3.746566,-3.832348,-3.885845,-3.898981,-3.966184,-3.852314,-4.034737,-4.113175,-4.001872,-3.568566
2022-05-13,-3.866061,-3.914276,-3.920771,-3.994764,-3.996380,-4.034737,-4.113175,-4.001872,-3.568566,-3.641950
2022-05-16,-3.983402,-3.970427,-4.032205,-4.044217,-4.052418,-4.113175,-4.001872,-3.568566,-3.641950,-3.787125
2022-05-17,-4.032063,-4.082403,-4.081868,-4.097553,-4.096476,-4.001872,-3.568566,-3.641950,-3.787125,-3.764813
2022-05-18,-4.067266,-4.070004,-4.088507,-4.085809,-4.104708,-3.568566,-3.641950,-3.787125,-3.764813,-3.975789
2022-05-19,-3.841811,-3.914075,-3.969432,-3.953616,-3.999050,-3.641950,-3.787125,-3.764813,-3.975789,-4.064537
2022-05-20,-3.836511,-3.905597,-3.913260,-3.945139,-3.980305,-3.787125,-3.764813,-3.975789,-4.064537,-4.250407
2022-05-23,-3.885836,-3.898226,-3.934891,-3.966857,-3.984061,-3.764813,-3.975789,-4.064537,-4.250407,-4.052902
2022-05-24,-3.850847,-3.897424,-3.942974,-3.951212,-3.975055,-3.975789,-4.064537,-4.250407,-4.052902,-4.064220
2022-05-25,-3.953694,-3.990566,-3.986733,-4.017472,-4.024094,-4.064537,-4.250407,-4.052902,-4.064220,-4.240557
2022-05-26,-4.047235,-4.031252,-4.051703,-4.064550,-4.067815,-4.250407,-4.052902,-4.064220,-4.240557,-4.067937
2022-05-27,-4.143618,-4.145029,-4.140098,-4.155367,-4.150106,-4.052902,-4.064220,-4.240557,-4.067937,-4.212374
2022-05-31,-4.094740,-4.098873,-4.123940,-4.112747,-4.123495,-4.064220,-4.240557,-4.067937,-4.212374,-4.407981
2022-06-01,-4.082229,-4.109959,-4.101866,-4.110643,-4.127155,-4.240557,-4.067937,-4.212374,-4.407981,-4.263377
2022-06-02,-4.198674,-4.178916,-4.173037,-4.199665,-4.193408,-4.067937,-4.212374,-4.407981,-4.263377,-4.187762
2022-06-03,-4.104836,-4.110743,-4.152344,-4.136690,-4.142918,-4.212374,-4.407981,-4.263377,-4.187762,-4.122888
2022-06-06,-4.172103,-4.207479,-4.181386,-4.194424,-4.199189,-4.407981,-4.263377,-4.187762,-4.122888,-3.892122
