origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.125993,-4.131555,-4.104853,-4.123887,-4.093654,-4.056968,-3.928866,-3.779785,-3.843672,-3.879148
2022-04-20,-4.100227,-4.077401,-4.099020,-4.066239,-4.087786,-3.928866,-3.779785,-3.843672,-3.879148,-3.561262
2022-04-21,-4.006236,-4.033305,-4.013836,-4.026145,-4.029335,-3.779785,-3.843672,-3.879148,-3.561262,-3.873867
2022-04-22,-3.948260,-3.944537,-3.967401,-3.965065,-3.988586,-3.843672,-3.879148,-3.561262,-3.873867,-3.418215
2022-04-25,-3.912441,-3.939165,-3.941940,-3.961692,-3.976588,-3.879148,-3.561262,-3.873867,-3.418215,-3.330659
2022-04-26,-3.928102,-3.933163,-3.954133,-3.968080,-3.991210,-3.561262,-3.873867,-3.418215,-3.330659,-3.820760
2022-04-27,-3.833408,-3.876001,-3.905878,-3.917308,-3.963473,-3.873867,-3.418215,-3.330659,-3.820760,-3.328133
2022-04-28,-3.887289,-3.916062,-3.926344,-3.973921,-3.967674,-3.418215,-3.330659,-3.820760,-3.328133,-3.424848
2022-04-29,-3.800220,-3.852012,-3.905753,-3.892619,-3.978392,-3.330659,-3.820760,-3.328133,-3.424848,-3.217667
2022-05-02,-3.764166,-3.820307,-3.833556,-3.895049,-3.927639,-3.820760,-3.328133,-3.424848,-3.217667,-3.617340
2022-05-03,-3.833464,-3.843704,-3.906668,-3.940154,-3.962553,-3.328133,-3.424848,-3.217667,-3.617340,-3.324689
2022-05-04,-3.756154,-3.842773,-3.883908,-3.891012,-3.993785,-3.424848,-3.217667,-3.617340,-3.324689,-3.402485
2022-05-05,-3.773916,-3.819715,-3.838016,-3.924868,-3.934224,-3.217667,-3.617340,-3.324689,-3.402485,-3.143267
2022-05-06,-3.729845,-3.779212,-3.851714,-3.857666,-3.960074,-3.617340,-3.324689,-3.402485,-3.143267,-3.633874
2022-05-09,-3.761420,-3.832256,-3.840388,-3.937290,-3.950801,-3.324689,-3.402485,-3.143267,-3.633874,-3.613832
2022-05-10,-3.743644,-3.788010,-3.875857,-3.882953,-3.984317,-3.402485,-3.143267,-3.633874,-3.613832,-3.503765
2022-05-11,-3.736416,-3.818891,-3.833373,-3.919095,-3.942696,-3.143267,-3.633874,-3.613832,-3.503765,-3.709685
2022-05-12,-3.715891,-3.768720,-3.843279,-3.859388,-3.962782,-3.633874,-3.613832,-3.503765,-3.709685,-3.430189
2022-05-13,-3.755857,-3.829045,-3.845626,-3.945448,-3.951815,-3.613832,-3.503765,-3.709685,-3.430189,-3.605084
2022-05-16,-3.795086,-3.823981,-3.919578,-3.924013,-4.000182,-3.503765,-3.709685,-3.430189,-3.605084,-3.338033
2022-05-17,-3.765172,-3.864194,-3.875289,-3.939280,-3.966534,-3.709685,-3.430189,-3.605084,-3.338033,-3.462097
2022-05-18,-3.848468,-3.863337,-3.926634,-3.952963,-3.972894,-3.430189,-3.605084,-3.338033,-3.462097,-3.667487
2022-05-19,-3.629375,-3.721018,-3.741664,-3.750708,-3.796942,-3.605084,-3.338033,-3.462097,-3.667487,-3.938254
2022-05-20,-3.711046,-3.733320,-3.743796,-3.789856,-3.797009,-3.338033,-3.462097,-3.667487,-3.938254,-4.054259
2022-05-23,-3.589324,-3.661838,-3.706678,-3.724731,-3.779944,-3.462097,-3.667487,-3.938254,-4.054259,-3.641726
2022-05-24,-3.621024,-3.672424,-3.696626,-3.751519,-3.772670,-3.667487,-3.938254,-4.054259,-3.641726,-3.580036
2022-05-25,-3.691856,-3.709567,-3.764873,-3.785151,-3.806164,-3.938254,-4.054259,-3.641726,-3.580036,-3.863485
2022-05-26,-3.818807,-3.851737,-3.869956,-3.892349,-3.881586,-4.054259,-3.641726,-3.580036,-3.863485,-3.950471
2022-05-27,-3.983243,-3.975418,-3.997884,-3.992831,-3.980193,-3.641726,-3.580036,-3.863485,-3.950471,-3.719696
2022-05-31,-3.793464,-3.861104,-3.860960,-3.841554,-3.863907,-3.580036,-3.863485,-3.950471,-3.719696,-3.904114
2022-06-01,-3.758060,-3.776467,-3.770465,-3.789521,-3.804598,-3.863485,-3.950471,-3.719696,-3.904114,-3.887973
2022-06-02,-3.829856,-3.811775,-3.827378,-3.843521,-3.841721,-3.950471,-3.719696,-3.904114,-3.887973,-3.878899
2022-06-03,-3.874850,-3.876956,-3.888881,-3.889094,-3.889662,-3.719696,-3.904114,-3.887973,-3.878899,-3.831214
2022-06-06,-3.796869,-3.824911,-3.831778,-3.831071,-3.845172,-3.904114,-3.887973,-3.878899,-3.831214,-3.685531
2022-06-07,-3.881068,-3.880290,-3.875422,-3.892319,-3.879187,-3.887973,-3.878899,-3.831214,-3.685531,-3.726336
2022-06-08,-3.884114,-3.878333,-3.895104,-3.882082,-3.887779,-3.878899,-3.831214,-3.685531,-3.726336,-3.285658
2022-06-09,-3.875504,-3.892671,-3.879948,-3.885479,-3.883069,-3.831214,-3.685531,-3.726336,-3.285658,-3.717536
2022-06-10,-3.867970,-3.859824,-3.867045,-3.863951,-3.868621,-3.685531,-3.726336,-3.285658,-3.717536,-3.692858
2022-06-13,-3.769627,-3.796658,-3.802384,-3.804950,-3.821063,-3.726336,-3.285658,-3.717536,-3.692858,-3.887897
2022-06-14,-3.775789,-3.785645,-3.790682,-3.806398,-3.815395,-3.285658,-3.717536,-3.692858,-3.887897,-3.684722
2022-06-15,-3.597483,-3.674715,-3.709032,-3.724635,-3.776206,-3.717536,-3.692858,-3.887897,-3.684722,-3.719218
2022-06-16,-3.719357,-3.751424,-3.758769,-3.813077,-3.803973,-3.692858,-3.887897,-3.684722,-3.719218,-3.925433
2022-06-17,-3.739275,-3.751667,-3.805519,-3.796944,-3.831655,-3.887897,-3.684722,-3.719218,-3.925433,-3.873815
2022-06-21,-3.816190,-3.863418,-3.848008,-3.885875,-3.869873,-3.684722,-3.719218,-3.925433,-3.873815,-3.692755
2022-06-22,-3.818678,-3.834388,-3.882035,-3.872724,-3.900692,-3.719218,-3.925433,-3.873815,-3.692755,-3.569782
2022-06-23,-3.794754,-3.850600,-3.846136,-3.871104,-3.882900,-3.925433,-3.873815,-3.692755,-3.569782,-3.451892
2022-06-24,-3.912519,-3.892666,-3.913347,-3.927486,-3.930139,-3.873815,-3.692755,-3.569782,-3.451892,-3.799498
2022-06-27,-3.874463,-3.899436,-3.915262,-3.916867,-3.927905,-3.692755,-3.569782,-3.451892,-3.799498,-3.677524
2022-06-28,-3.818079,-3.852446,-3.864714,-3.871891,-3.892369,-3.569782,-3.451892,-3.799498,-3.677524,-3.464126
