origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.376813,-4.376249,-4.345492,-4.346976,-4.347720,-4.248732,-4.447357,-4.228238,-3.966359,-4.109745
2022-04-20,-4.305012,-4.281012,-4.291888,-4.289244,-4.306055,-4.447357,-4.228238,-3.966359,-4.109745,-4.262160
2022-04-21,-4.363642,-4.364571,-4.357594,-4.376750,-4.377154,-4.228238,-3.966359,-4.109745,-4.262160,-4.353462
2022-04-22,-4.291168,-4.290236,-4.320180,-4.316304,-4.325181,-3.966359,-4.109745,-4.262160,-4.353462,-4.163767
2022-04-25,-4.114505,-4.163390,-4.191432,-4.189623,-4.213195,-4.109745,-4.262160,-4.353462,-4.163767,-3.912933
2022-04-26,-4.160927,-4.189190,-4.187678,-4.211134,-4.205113,-4.262160,-4.353462,-4.163767,-3.912933,-4.132607
2022-04-27,-4.241331,-4.235361,-4.251756,-4.248793,-4.239673,-4.353462,-4.163767,-3.912933,-4.132607,-3.863345
2022-04-28,-4.299028,-4.311509,-4.300425,-4.293655,-4.293917,-4.163767,-3.912933,-4.132607,-3.863345,-3.973335
2022-04-29,-4.235683,-4.230816,-4.234867,-4.232290,-4.250817,-3.912933,-4.132607,-3.863345,-3.973335,-3.962795
2022-05-02,-4.062703,-4.089523,-4.115590,-4.127439,-4.152040,-4.132607,-3.863345,-3.973335,-3.962795,-3.992134
2022-05-03,-4.124712,-4.146848,-4.154109,-4.180448,-4.171657,-3.863345,-3.973335,-3.962795,-3.992134,-3.877514
2022-05-04,-4.025599,-4.055738,-4.107820,-4.093040,-4.113516,-3.973335,-3.962795,-3.992134,-3.877514,-3.818328
2022-05-05,-4.031947,-4.085489,-4.075815,-4.094680,-4.102299,-3.962795,-3.992134,-3.877514,-3.818328,-3.806931
2022-05-06,-4.053638,-4.049119,-4.072600,-4.079803,-4.090782,-3.992134,-3.877514,-3.818328,-3.806931,-4.234825
2022-05-09,-4.021207,-4.048234,-4.060933,-4.070423,-4.082647,-3.877514,-3.818328,-3.806931,-4.234825,-4.035636
2022-05-10,-3.982000,-4.006155,-4.028032,-4.039228,-4.060852,-3.818328,-3.806931,-4.234825,-4.035636,-4.226865
2022-05-11,-3.938245,-3.971518,-3.997284,-4.016139,-4.037942,-3.806931,-4.234825,-4.035636,-4.226865,-4.127749
2022-05-12,-3.918374,-3.954410,-3.983754,-4.003875,-4.022806,-4.234825,-4.035636,-4.226865,-4.127749,-4.081048
2022-05-13,-4.100185,-4.113631,-4.116232,-4.140173,-4.120965,-4.035636,-4.226865,-4.127749,-4.081048,-4.186007
2022-05-16,-4.081697,-4.090428,-4.119616,-4.099721,-4.121226,-4.226865,-4.127749,-4.081048,-4.186007,-3.957965
2022-05-17,-4.166816,-4.188789,-4.160024,-4.183749,-4.186126,-4.127749,-4.081048,-4.186007,-3.957965,-3.682600
2022-05-18,-4.168459,-4.142754,-4.168973,-4.170946,-4.180962,-4.081048,-4.186007,-3.957965,-3.682600,-4.343715
2022-05-19,-4.108675,-4.145617,-4.144745,-4.156627,-4.163842,-4.186007,-3.957965,-3.682600,-4.343715,-4.484637
2022-05-20,-4.180779,-4.176845,-4.183618,-4.191053,-4.189412,-3.957965,-3.682600,-4.343715,-4.484637,-4.621290
2022-05-23,-4.083599,-4.103081,-4.130342,-4.126268,-4.147514,-3.682600,-4.343715,-4.484637,-4.621290,-4.254808
2022-05-24,-3.964351,-4.010134,-4.047862,-4.061770,-4.087362,-4.343715,-4.484637,-4.621290,-4.254808,-4.323074
2022-05-25,-4.155324,-4.189828,-4.191732,-4.220256,-4.179265,-4.484637,-4.621290,-4.254808,-4.323074,-4.372919
2022-05-26,-4.340519,-4.330167,-4.337817,-4.301630,-4.306927,-4.621290,-4.254808,-4.323074,-4.372919,-4.346004
2022-05-27,-4.479541,-4.477211,-4.429232,-4.432981,-4.435969,-4.254808,-4.323074,-4.372919,-4.346004,-4.538939
2022-05-31,-4.367696,-4.322866,-4.343520,-4.339372,-4.360744,-4.323074,-4.372919,-4.346004,-4.538939,-4.535665
2022-06-01,-4.299933,-4.322956,-4.320263,-4.340504,-4.333198,-4.372919,-4.346004,-4.538939,-4.535665,-4.465422
2022-06-02,-4.358685,-4.356080,-4.371670,-4.366446,-4.358223,-4.346004,-4.538939,-4.535665,-4.465422,-4.240236
2022-06-03,-4.349315,-4.365008,-4.360716,-4.352155,-4.352536,-4.538939,-4.535665,-4.465422,-4.240236,-4.068757
2022-06-06,-4.466930,-4.464991,-4.446295,-4.449826,-4.440420,-4.535665,-4.465422,-4.240236,-4.068757,-4.055489
2022-06-07,-4.501845,-4.482698,-4.481836,-4.474450,-4.476473,-4.465422,-4.240236,-4.068757,-4.055489,-4.056686
2022-06-08,-4.462920,-4.462528,-4.456952,-4.458227,-4.463605,-4.240236,-4.068757,-4.055489,-4.056686,-3.843302
2022-06-09,-4.344804,-4.340275,-4.356492,-4.355635,-4.364076,-4.068757,-4.055489,-4.056686,-3.843302,-4.005887
2022-06-10,-4.203810,-4.226748,-4.248723,-4.249606,-4.253952,-4.055489,-4.056686,-3.843302,-4.005887,-4.008365
2022-06-13,-4.160776,-4.186712,-4.200196,-4.200987,-4.200161,-4.056686,-3.843302,-4.005887,-4.008365,-4.403142
2022-06-14,-4.143649,-4.159324,-4.169333,-4.166405,-4.171914,-3.843302,-4.005887,-4.008365,-4.403142,-4.466393
2022-06-15,-4.046780,-4.067350,-4.094018,-4.095105,-4.118729,-4.005887,-4.008365,-4.403142,-4.466393,-4.195071
2022-06-16,-4.052730,-4.080102,-4.084052,-4.107210,-4.107871,-4.008365,-4.403142,-4.466393,-4.195071,-4.153459
2022-06-17,-4.063618,-4.070045,-4.095953,-4.096641,-4.113622,-4.403142,-4.466393,-4.195071,-4.153459,-4.235579
2022-06-21,-4.221923,-4.240536,-4.221977,-4.240775,-4.219887,-4.466393,-4.195071,-4.153459,-4.235579,-4.169472
2022-06-22,-4.378217,-4.347936,-4.340314,-4.320723,-4.319986,-4.195071,-4.153459,-4.235579,-4.169472,-4.246393
2022-06-23,-4.242960,-4.247202,-4.240977,-4.237442,-4.265612,-4.153459,-4.235579,-4.169472,-4.246393,-3.894895
2022-06-24,-4.198854,-4.196244,-4.198360,-4.225563,-4.235950,-4.235579,-4.169472,-4.246393,-3.894895,-4.037047
2022-06-27,-4.215818,-4.216153,-4.240952,-4.251973,-4.242434,-4.169472,-4.246393,-3.894895,-4.037047,-4.254633
2022-06-28,-4.191036,-4.217629,-4.232888,-4.222374,-4.226495,-4.246393,-3.894895,-4.037047,-4.254633,-4.285320
2022-06-29,-4.248168,-4.262277,-4.247694,-4.252577,-4.251153,-3.894895,-4.037047,-4.254633,-4.285320,-4.426641
2022-06-30,-4.083364,-4.089323,-4.129963,-4.125240,-4.150734,-4.037047,-4.254633,-4.285320,-4.426641,-4.352783
2022-07-01,-4.067331,-4.109489,-4.108773,-4.133211,-4.131907,-4.254633,-4.285320,-4.426641,-4.352783,-4.341521
2022-07-05,-4.202654,-4.193679,-4.207068,-4.207131,-4.189054,-4.285320,-4.426641,-4.352783,-4.341521,-4.199460
2022-07-06,-4.238454,-4.249172,-4.242446,-4.225508,-4.227929,-4.426641,-4.352783,-4.341521,-4.199460,-4.063240
2022-07-07,-4.356767,-4.346549,-4.318881,-4.322363,-4.321115,-4.352783,-4.341521,-4.199460,-4.063240,-3.886417
2022-07-08,-4.344296,-4.316790,-4.320523,-4.319206,-4.327902,-4.341521,-4.199460,-4.063240,-3.886417,-4.123756
2022-07-11,-4.315188,-4.319040,-4.317875,-4.326528,-4.333693,-4.199460,-4.063240,-3.886417,-4.123756,-3.983020
2022-07-12,-4.254361,-4.257119,-4.274437,-4.279523,-4.288614,-4.063240,-3.886417,-4.123756,-3.983020,-4.574581
2022-07-13,-4.154219,-4.179798,-4.201964,-4.206960,-4.217898,-3.886417,-4.123756,-3.983020,-4.574581,-4.339386
2022-07-14,-4.050839,-4.086810,-4.118919,-4.125028,-4.138234,-4.123756,-3.983020,-4.574581,-4.339386,-4.201454
2022-07-15,-4.121039,-4.151256,-4.151730,-4.166482,-4.151574,-3.983020,-4.574581,-4.339386,-4.201454,-4.241713
2022-07-18,-4.086275,-4.094096,-4.121624,-4.105702,-4.119551,-4.574581,-4.339386,-4.201454,-4.241713,-4.288970
2022-07-19,-4.363729,-4.380650,-4.345057,-4.357644,-4.324402,-4.339386,-4.201454,-4.241713,-4.288970,-4.334034
2022-07-20,-4.367888,-4.333291,-4.348226,-4.314237,-4.328055,-4.201454,-4.241713,-4.288970,-4.334034,-4.295223
2022-07-21,-4.238666,-4.264870,-4.240204,-4.251640,-4.277164,-4.241713,-4.288970,-4.334034,-4.295223,-4.345761
2022-07-22,-4.266476,-4.241735,-4.253016,-4.278571,-4.274982,-4.288970,-4.334034,-4.295223,-4.345761,-4.503969
2022-07-25,-4.244565,-4.253911,-4.269734,-4.262031,-4.253064,-4.334034,-4.295223,-4.345761,-4.503969,-4.063693
2022-07-26,-4.302967,-4.317783,-4.303880,-4.296428,-4.290898,-4.295223,-4.345761,-4.503969,-4.063693,-4.427928
2022-07-27,-4.313511,-4.299716,-4.292768,-4.287115,-4.288609,-4.345761,-4.503969,-4.063693,-4.427928,-4.373027
2022-07-28,-4.317665,-4.310095,-4.302699,-4.304713,-4.300363,-4.503969,-4.063693,-4.427928,-4.373027,-4.524128
