origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.522126,-4.522126,-4.522126,-4.522126,-4.522126,-4.408297,-4.179529,-4.002815,-3.797045,-4.159478
2022-04-20,-4.408297,-4.408297,-4.408297,-4.408297,-4.408297,-4.179529,-4.002815,-3.797045,-4.159478,-3.940930
2022-04-21,-4.179529,-4.179529,-4.179529,-4.179529,-4.179529,-4.002815,-3.797045,-4.159478,-3.940930,-3.949639
2022-04-22,-4.002815,-4.002815,-4.002815,-4.002815,-4.002815,-3.797045,-4.159478,-3.940930,-3.949639,-3.758505
2022-04-25,-3.797045,-3.797045,-3.797045,-3.797045,-3.797045,-4.159478,-3.940930,-3.949639,-3.758505,-3.648545
2022-04-26,-4.159478,-4.159478,-4.159478,-4.159478,-4.159478,-3.940930,-3.949639,-3.758505,-3.648545,-4.019652
2022-04-27,-3.940930,-3.940930,-3.940930,-3.940930,-3.940930,-3.949639,-3.758505,-3.648545,-4.019652,-3.751974
2022-04-28,-3.949639,-3.949639,-3.949639,-3.949639,-3.949639,-3.758505,-3.648545,-4.019652,-3.751974,-3.796237
2022-04-29,-3.758505,-3.758505,-3.758505,-3.758505,-3.758505,-3.648545,-4.019652,-3.751974,-3.796237,-3.588442
2022-05-02,-3.648545,-3.648545,-3.648545,-3.648545,-3.648545,-4.019652,-3.751974,-3.796237,-3.588442,-3.764380
2022-05-03,-4.019652,-4.019652,-4.019652,-4.019652,-4.019652,-3.751974,-3.796237,-3.588442,-3.764380,-3.806706
2022-05-04,-3.751974,-3.751974,-3.751974,-3.751974,-3.751974,-3.796237,-3.588442,-3.764380,-3.806706,-3.570279
2022-05-05,-3.796237,-3.796237,-3.796237,-3.796237,-3.796237,-3.588442,-3.764380,-3.806706,-3.570279,-3.316550
2022-05-06,-3.588442,-3.588442,-3.588442,-3.588442,-3.588442,-3.764380,-3.806706,-3.570279,-3.316550,-3.852314
2022-05-09,-3.764380,-3.764380,-3.764380,-3.764380,-3.764380,-3.806706,-3.570279,-3.316550,-3.852314,-4.034737
2022-05-10,-3.806706,-3.806706,-3.806706,-3.806706,-3.806706,-3.570279,-3.316550,-3.852314,-4.034737,-4.113175
2022-05-11,-3.570279,-3.570279,-3.570279,-3.570279,-3.570279,-3.316550,-3.852314,-4.034737,-4.113175,-4.001872
2022-05-12,-3.316550,-3.316550,-3.316550,-3.316550,-3.316550,-3.852314,-4.034737,-4.113175,-4.001872,-3.568566
2022-05-13,-3.852314,-3.852314,-3.852314,-3.852314,-3.852314,-4.034737,-4.113175,-4.001872,-3.568566,-3.641950
2022-05-16,-4.034737,-4.034737,-4.034737,-4.034737,-4.034737,-4.113175,-4.001872,-3.568566,-3.641950,-3.787125
2022-05-17,-4.113175,-4.113175,-4.113175,-4.113175,-4.113175,-4.001872,-3.568566,-3.641950,-3.787125,-3.764813
2022-05-18,-4.001872,-4.001872,-4.001872,-4.001872,-4.001872,-3.568566,-3.641950,-3.787125,-3.764813,-3.975789
2022-05-19,-3.568566,-3.568566,-3.568566,-3.568566,-3.568566,-3.641950,-3.787125,-3.764813,-3.975789,-4.064537
2022-05-20,-3.641950,-3.641950,-3.641950,-3.641950,-3.641950,-3.787125,-3.764813,-3.975789,-4.064537,-4.250407
2022-05-23,-3.787125,-3.787125,-3.787125,-3.787125,-3.787125,-3.764813,-3.975789,-4.064537,-4.250407,-4.052902
2022-05-24,-3.764813,-3.764813,-3.764813,-3.764813,-3.764813,-3.975789,-4.064537,-4.250407,-4.052902,-4.064220
2022-05-25,-3.975789,-3.975789,-3.975789,-3.975789,-3.975789,-4.064537,-4.250407,-4.052902,-4.064220,-4.240557
2022-05-26,-4.064537,-4.064537,-4.064537,-4.064537,-4.064537,-4.250407,-4.052902,-4.064220,-4.240557,-4.067937
2022-05-27,-4.250407,-4.250407,-4.250407,-4.250407,-4.250407,-4.052902,-4.064220,-4.240557,-4.067937,-4.212374
2022-05-31,-4.052902,-4.052902,-4.052902,-4.052902,-4.052902,-4.064220,-4.240557,-4.067937,-4.212374,-4.407981
2022-06-01,-4.064220,-4.064220,-4.064220,-4.064220,-4.064220,-4.240557,-4.067937,-4.212374,-4.407981,-4.263377
2022-06-02,-4.240557,-4.240557,-4.240557,-4.240557,-4.240557,-4.067937,-4.212374,-4.407981,-4.263377,-4.187762
2022-06-03,-4.067937,-4.067937,-4.067937,-4.067937,-4.067937,-4.212374,-4.407981,-4.263377,-4.187762,-4.122888
2022-06-06,-4.212374,-4.212374,-4.212374,-4.212374,-4.212374,-4.407981,-4.263377,-4.187762,-4.122888,-3.892122
2022-06-07,-4.407981,-4.407981,-4.407981,-4.407981,-4.407981,-4.263377,-4.187762,-4.122888,-3.892122,-3.937909
2022-06-08,-4.263377,-4.263377,-4.263377,-4.263377,-4.263377,-4.187762,-4.122888,-3.892122,-3.937909,-3.588477
2022-06-09,-4.187762,-4.187762,-4.187762,-4.187762,-4.187762,-4.122888,-3.892122,-3.937909,-3.588477,-4.044676
2022-06-10,-4.122888,-4.122888,-4.122888,-4.122888,-4.122888,-3.892122,-3.937909,-3.588477,-4.044676,-3.944514
2022-06-13,-3.892122,-3.892122,-3.892122,-3.892122,-3.892122,-3.937909,-3.588477,-4.044676,-3.944514,-4.396741
2022-06-14,-3.937909,-3.937909,-3.937909,-3.937909,-3.937909,-3.588477,-4.044676,-3.944514,-4.396741,-4.022843
2022-06-15,-3.588477,-3.588477,-3.588477,-3.588477,-3.588477,-4.044676,-3.944514,-4.396741,-4.022843,-4.206441
2022-06-16,-4.044676,-4.044676,-4.044676,-4.044676,-4.044676,-3.944514,-4.396741,-4.022843,-4.206441,-4.258986
2022-06-17,-3.944514,-3.944514,-3.944514,-3.944514,-3.944514,-4.396741,-4.022843,-4.206441,-4.258986,-4.305651
2022-06-21,-4.396741,-4.396741,-4.396741,-4.396741,-4.396741,-4.022843,-4.206441,-4.258986,-4.305651,-4.279154
2022-06-22,-4.022843,-4.022843,-4.022843,-4.022843,-4.022843,-4.206441,-4.258986,-4.305651,-4.279154,-4.057176
2022-06-23,-4.206441,-4.206441,-4.206441,-4.206441,-4.206441,-4.258986,-4.305651,-4.279154,-4.057176,-3.768837
2022-06-24,-4.258986,-4.258986,-4.258986,-4.258986,-4.258986,-4.305651,-4.279154,-4.057176,-3.768837,-4.044899
2022-06-27,-4.305651,-4.305651,-4.305651,-4.305651,-4.305651,-4.279154,-4.057176,-3.768837,-4.044899,-4.008366
2022-06-28,-4.279154,-4.279154,-4.279154,-4.279154,-4.279154,-4.057176,-3.768837,-4.044899,-4.008366,-3.925088
2022-06-29,-4.057176,-4.057176,-4.057176,-4.057176,-4.057176,-3.768837,-4.044899,-4.008366,-3.925088,-4.717612
2022-06-30,-3.768837,-3.768837,-3.768837,-3.768837,-3.768837,-4.044899,-4.008366,-3.925088,-4.717612,-4.333950
2022-07-01,-4.044899,-4.044899,-4.044899,-4.044899,-4.044899,-4.008366,-3.925088,-4.717612,-4.333950,-4.421259
2022-07-05,-4.008366,-4.008366,-4.008366,-4.008366,-4.008366,-3.925088,-4.717612,-4.333950,-4.421259,-4.021827
2022-07-06,-3.925088,-3.925088,-3.925088,-3.925088,-3.925088,-4.717612,-4.333950,-4.421259,-4.021827,-3.676994
2022-07-07,-4.717612,-4.717612,-4.717612,-4.717612,-4.717612,-4.333950,-4.421259,-4.021827,-3.676994,-4.205546
2022-07-08,-4.333950,-4.333950,-4.333950,-4.333950,-4.333950,-4.421259,-4.021827,-3.676994,-4.205546,-4.402469
2022-07-11,-4.421259,-4.421259,-4.421259,-4.421259,-4.421259,-4.021827,-3.676994,-4.205546,-4.402469,-4.225309
2022-07-12,-4.021827,-4.021827,-4.021827,-4.021827,-4.021827,-3.676994,-4.205546,-4.402469,-4.225309,-4.452818
2022-07-13,-3.676994,-3.676994,-3.676994,-3.676994,-3.676994,-4.205546,-4.402469,-4.225309,-4.452818,-4.243542
2022-07-14,-4.205546,-4.205546,-4.205546,-4.205546,-4.205546,-4.402469,-4.225309,-4.452818,-4.243542,-4.331349
2022-07-15,-4.402469,-4.402469,-4.402469,-4.402469,-4.402469,-4.225309,-4.452818,-4.243542,-4.331349,-4.310948
2022-07-18,-4.225309,-4.225309,-4.225309,-4.225309,-4.225309,-4.452818,-4.243542,-4.331349,-4.310948,-4.532739
2022-07-19,-4.452818,-4.452818,-4.452818,-4.452818,-4.452818,-4.243542,-4.331349,-4.310948,-4.532739,-4.722634
2022-07-20,-4.243542,-4.243542,-4.243542,-4.243542,-4.243542,-4.331349,-4.310948,-4.532739,-4.722634,-4.108243
2022-07-21,-4.331349,-4.331349,-4.331349,-4.331349,-4.331349,-4.310948,-4.532739,-4.722634,-4.108243,-4.394662
2022-07-22,-4.310948,-4.310948,-4.310948,-4.310948,-4.310948,-4.532739,-4.722634,-4.108243,-4.394662,-4.032282
2022-07-25,-4.532739,-4.532739,-4.532739,-4.532739,-4.532739,-4.722634,-4.108243,-4.394662,-4.032282,-4.359690
2022-07-26,-4.722634,-4.722634,-4.722634,-4.722634,-4.722634,-4.108243,-4.394662,-4.032282,-4.359690,-4.320902
2022-07-27,-4.108243,-4.108243,-4.108243,-4.108243,-4.108243,-4.394662,-4.032282,-4.359690,-4.320902,-4.522145
2022-07-28,-4.394662,-4.394662,-4.394662,-4.394662,-4.394662,-4.032282,-4.359690,-4.320902,-4.522145,-4.352081
2022-07-29,-4.032282,-4.032282,-4.032282,-4.032282,-4.032282,-4.359690,-4.320902,-4.522145,-4.352081,-4.570189
