origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.157215,-4.157215,-4.157215,-4.157215,-4.157215,-4.056968,-3.928866,-3.779785,-3.843672,-3.879148
2022-04-20,-4.056968,-4.056968,-4.056968,-4.056968,-4.056968,-3.928866,-3.779785,-3.843672,-3.879148,-3.561262
2022-04-21,-3.928866,-3.928866,-3.928866,-3.928866,-3.928866,-3.779785,-3.843672,-3.879148,-3.561262,-3.873867
2022-04-22,-3.779785,-3.779785,-3.779785,-3.779785,-3.779785,-3.843672,-3.879148,-3.561262,-3.873867,-3.418215
2022-04-25,-3.843672,-3.843672,-3.843672,-3.843672,-3.843672,-3.879148,-3.561262,-3.873867,-3.418215,-3.330659
2022-04-26,-3.879148,-3.879148,-3.879148,-3.879148,-3.879148,-3.561262,-3.873867,-3.418215,-3.330659,-3.820760
2022-04-27,-3.561262,-3.561262,-3.561262,-3.561262,-3.561262,-3.873867,-3.418215,-3.330659,-3.820760,-3.328133
2022-04-28,-3.873867,-3.873867,-3.873867,-3.873867,-3.873867,-3.418215,-3.330659,-3.820760,-3.328133,-3.424848
2022-04-29,-3.418215,-3.418215,-3.418215,-3.418215,-3.418215,-3.330659,-3.820760,-3.328133,-3.424848,-3.217667
2022-05-02,-3.330659,-3.330659,-3.330659,-3.330659,-3.330659,-3.820760,-3.328133,-3.424848,-3.217667,-3.617340
2022-05-03,-3.820760,-3.820760,-3.820760,-3.820760,-3.820760,-3.328133,-3.424848,-3.217667,-3.617340,-3.324689
2022-05-04,-3.328133,-3.328133,-3.328133,-3.328133,-3.328133,-3.424848,-3.217667,-3.617340,-3.324689,-3.402485
2022-05-05,-3.424848,-3.424848,-3.424848,-3.424848,-3.424848,-3.217667,-3.617340,-3.324689,-3.402485,-3.143267
2022-05-06,-3.217667,-3.217667,-3.217667,-3.217667,-3.217667,-3.617340,-3.324689,-3.402485,-3.143267,-3.633874
2022-05-09,-3.617340,-3.617340,-3.617340,-3.617340,-3.617340,-3.324689,-3.402485,-3.143267,-3.633874,-3.613832
2022-05-10,-3.324689,-3.324689,-3.324689,-3.324689,-3.324689,-3.402485,-3.143267,-3.633874,-3.613832,-3.503765
2022-05-11,-3.402485,-3.402485,-3.402485,-3.402485,-3.402485,-3.143267,-3.633874,-3.613832,-3.503765,-3.709685
2022-05-12,-3.143267,-3.143267,-3.143267,-3.143267,-3.143267,-3.633874,-3.613832,-3.503765,-3.709685,-3.430189
2022-05-13,-3.633874,-3.633874,-3.633874,-3.633874,-3.633874,-3.613832,-3.503765,-3.709685,-3.430189,-3.605084
2022-05-16,-3.613832,-3.613832,-3.613832,-3.613832,-3.613832,-3.503765,-3.709685,-3.430189,-3.605084,-3.338033
2022-05-17,-3.503765,-3.503765,-3.503765,-3.503765,-3.503765,-3.709685,-3.430189,-3.605084,-3.338033,-3.462097
2022-05-18,-3.709685,-3.709685,-3.709685,-3.709685,-3.709685,-3.430189,-3.605084,-3.338033,-3.462097,-3.667487
2022-05-19,-3.430189,-3.430189,-3.430189,-3.430189,-3.430189,-3.605084,-3.338033,-3.462097,-3.667487,-3.938254
2022-05-20,-3.605084,-3.605084,-3.605084,-3.605084,-3.605084,-3.338033,-3.462097,-3.667487,-3.938254,-4.054259
2022-05-23,-3.338033,-3.338033,-3.338033,-3.338033,-3.338033,-3.462097,-3.667487,-3.938254,-4.054259,-3.641726
2022-05-24,-3.462097,-3.462097,-3.462097,-3.462097,-3.462097,-3.667487,-3.938254,-4.054259,-3.641726,-3.580036
2022-05-25,-3.667487,-3.667487,-3.667487,-3.667487,-3.667487,-3.938254,-4.054259,-3.641726,-3.580036,-3.863485
2022-05-26,-3.938254,-3.938254,-3.938254,-3.938254,-3.938254,-4.054259,-3.641726,-3.580036,-3.863485,-3.950471
2022-05-27,-4.054259,-4.054259,-4.054259,-4.054259,-4.054259,-3.641726,-3.580036,-3.863485,-3.950471,-3.719696
2022-05-31,-3.641726,-3.641726,-3.641726,-3.641726,-3.641726,-3.580036,-3.863485,-3.950471,-3.719696,-3.904114
2022-06-01,-3.580036,-3.580036,-3.580036,-3.580036,-3.580036,-3.863485,-3.950471,-3.719696,-3.904114,-3.887973
2022-06-02,-3.863485,-3.863485,-3.863485,-3.863485,-3.863485,-3.950471,-3.719696,-3.904114,-3.887973,-3.878899
2022-06-03,-3.950471,-3.950471,-3.950471,-3.950471,-3.950471,-3.719696,-3.904114,-3.887973,-3.878899,-3.831214
2022-06-06,-3.719696,-3.719696,-3.719696,-3.719696,-3.719696,-3.904114,-3.887973,-3.878899,-3.831214,-3.685531
2022-06-07,-3.904114,-3.904114,-3.904114,-3.904114,-3.904114,-3.887973,-3.878899,-3.831214,-3.685531,-3.726336
2022-06-08,-3.887973,-3.887973,-3.887973,-3.887973,-3.887973,-3.878899,-3.831214,-3.685531,-3.726336,-3.285658
2022-06-09,-3.878899,-3.878899,-3.878899,-3.878899,-3.878899,-3.831214,-3.685531,-3.726336,-3.285658,-3.717536
2022-06-10,-3.831214,-3.831214,-3.831214,-3.831214,-3.831214,-3.685531,-3.726336,-3.285658,-3.717536,-3.692858
2022-06-13,-3.685531,-3.685531,-3.685531,-3.685531,-3.685531,-3.726336,-3.285658,-3.717536,-3.692858,-3.887897
2022-06-14,-3.726336,-3.726336,-3.726336,-3.726336,-3.726336,-3.285658,-3.717536,-3.692858,-3.887897,-3.684722
2022-06-15,-3.285658,-3.285658,-3.285658,-3.285658,-3.285658,-3.717536,-3.692858,-3.887897,-3.684722,-3.719218
2022-06-16,-3.717536,-3.717536,-3.717536,-3.717536,-3.717536,-3.692858,-3.887897,-3.684722,-3.719218,-3.925433
2022-06-17,-3.692858,-3.692858,-3.692858,-3.692858,-3.692858,-3.887897,-3.684722,-3.719218,-3.925433,-3.873815
2022-06-21,-3.887897,-3.887897,-3.887897,-3.887897,-3.887897,-3.684722,-3.719218,-3.925433,-3.873815,-3.692755
2022-06-22,-3.684722,-3.684722,-3.684722,-3.684722,-3.684722,-3.719218,-3.925433,-3.873815,-3.692755,-3.569782
2022-06-23,-3.719218,-3.719218,-3.719218,-3.719218,-3.719218,-3.925433,-3.873815,-3.692755,-3.569782,-3.451892
2022-06-24,-3.925433,-3.925433,-3.925433,-3.925433,-3.925433,-3.873815,-3.692755,-3.569782,-3.451892,-3.799498
2022-06-27,-3.873815,-3.873815,-3.873815,-3.873815,-3.873815,-3.692755,-3.569782,-3.451892,-3.799498,-3.677524
2022-06-28,-3.692755,-3.692755,-3.692755,-3.692755,-3.692755,-3.569782,-3.451892,-3.799498,-3.677524,-3.464126
2022-06-29,-3.569782,-3.569782,-3.569782,-3.569782,-3.569782,-3.451892,-3.799498,-3.677524,-3.464126,-4.196779
2022-06-30,-3.451892,-3.451892,-3.451892,-3.451892,-3.451892,-3.799498,-3.677524,-3.464126,-4.196779,-3.916103
2022-07-01,-3.799498,-3.799498,-3.799498,-3.799498,-3.799498,-3.677524,-3.464126,-4.196779,-3.916103,-4.014635
2022-07-05,-3.677524,-3.677524,-3.677524,-3.677524,-3.677524,-3.464126,-4.196779,-3.916103,-4.014635,-3.794461
2022-07-06,-3.464126,-3.464126,-3.464126,-3.464126,-3.464126,-4.196779,-3.916103,-4.014635,-3.794461,-3.447961
2022-07-07,-4.196779,-4.196779,-4.196779,-4.196779,-4.196779,-3.916103,-4.014635,-3.794461,-3.447961,-3.924517
2022-07-08,-3.916103,-3.916103,-3.916103,-3.916103,-3.916103,-4.014635,-3.794461,-3.447961,-3.924517,-4.052141
2022-07-11,-4.014635,-4.014635,-4.014635,-4.014635,-4.014635,-3.794461,-3.447961,-3.924517,-4.052141,-3.939777
2022-07-12,-3.794461,-3.794461,-3.794461,-3.794461,-3.794461,-3.447961,-3.924517,-4.052141,-3.939777,-4.091056
2022-07-13,-3.447961,-3.447961,-3.447961,-3.447961,-3.447961,-3.924517,-4.052141,-3.939777,-4.091056,-3.786470
2022-07-14,-3.924517,-3.924517,-3.924517,-3.924517,-3.924517,-4.052141,-3.939777,-4.091056,-3.786470,-3.989558
2022-07-15,-4.052141,-4.052141,-4.052141,-4.052141,-4.052141,-3.939777,-4.091056,-3.786470,-3.989558,-3.935546
2022-07-18,-3.939777,-3.939777,-3.939777,-3.939777,-3.939777,-4.091056,-3.786470,-3.989558,-3.935546,-3.979765
2022-07-19,-4.091056,-4.091056,-4.091056,-4.091056,-4.091056,-3.786470,-3.989558,-3.935546,-3.979765,-3.967738
2022-07-20,-3.786470,-3.786470,-3.786470,-3.786470,-3.786470,-3.989558,-3.935546,-3.979765,-3.967738,-3.692661
2022-07-21,-3.989558,-3.989558,-3.989558,-3.989558,-3.989558,-3.935546,-3.979765,-3.967738,-3.692661,-3.972126
2022-07-22,-3.935546,-3.935546,-3.935546,-3.935546,-3.935546,-3.979765,-3.967738,-3.692661,-3.972126,-3.635120
2022-07-25,-3.979765,-3.979765,-3.979765,-3.979765,-3.979765,-3.967738,-3.692661,-3.972126,-3.635120,-3.615658
2022-07-26,-3.967738,-3.967738,-3.967738,-3.967738,-3.967738,-3.692661,-3.972126,-3.635120,-3.615658,-3.876162
2022-07-27,-3.692661,-3.692661,-3.692661,-3.692661,-3.692661,-3.972126,-3.635120,-3.615658,-3.876162,-4.274696
2022-07-28,-3.972126,-3.972126,-3.972126,-3.972126,-3.972126,-3.635120,-3.615658,-3.876162,-4.274696,-3.740857
2022-07-29,-3.635120,-3.635120,-3.635120,-3.635120,-3.635120,-3.615658,-3.876162,-4.274696,-3.740857,-4.133089
2022-08-01,-3.615658,-3.615658,-3.615658,-3.615658,-3.615658,-3.876162,-4.274696,-3.740857,-4.133089,-3.990738
2022-08-02,-3.876162,-3.876162,-3.876162,-3.876162,-3.876162,-4.274696,-3.740857,-4.133089,-3.990738,-4.295885
2022-08-03,-4.274696,-4.274696,-4.274696,-4.274696,-4.274696,-3.740857,-4.133089,-3.990738,-4.295885,-4.328228
2022-08-04,-3.740857,-3.740857,-3.740857,-3.740857,-3.740857,-4.133089,-3.990738,-4.295885,-4.328228,-4.093345
2022-08-05,-4.133089,-4.133089,-4.133089,-4.133089,-4.133089,-3.990738,-4.295885,-4.328228,-4.093345,-4.244263
2022-08-08,-3.990738,-3.990738,-3.990738,-3.990738,-3.990738,-4.295885,-4.328228,-4.093345,-4.244263,-4.466809
2022-08-09,-4.295885,-4.295885,-4.295885,-4.295885,-4.295885,-4.328228,-4.093345,-4.244263,-4.466809,-4.113271
2022-08-10,-4.328228,-4.328228,-4.328228,-4.328228,-4.328228,-4.093345,-4.244263,-4.466809,-4.113271,-4.095213
2022-08-11,-4.093345,-4.093345,-4.093345,-4.093345,-4.093345,-4.244263,-4.466809,-4.113271,-4.095213,-4.337924
2022-08-12,-4.244263,-4.244263,-4.244263,-4.244263,-4.244263,-4.466809,-4.113271,-4.095213,-4.337924,-4.574543
2022-08-15,-4.466809,-4.466809,-4.466809,-4.466809,-4.466809,-4.113271,-4.095213,-4.337924,-4.574543,-4.297363
2022-08-16,-4.113271,-4.113271,-4.113271,-4.113271,-4.113271,-4.095213,-4.337924,-4.574543,-4.297363,-3.970277
2022-08-17,-4.095213,-4.095213,-4.095213,-4.095213,-4.095213,-4.337924,-4.574543,-4.297363,-3.970277,-4.349161
2022-08-18,-4.337924,-4.337924,-4.337924,-4.337924,-4.337924,-4.574543,-4.297363,-3.970277,-4.349161,-4.363371
