origin,h1,h2,h3,h4,h5,a1,a2,a3,a4,a5
2022-04-19,-4.458256,-4.458256,-4.458256,-4.458256,-4.458256,-4.248732,-4.447357,-4.228238,-3.966359,-4.109745
2022-04-20,-4.248732,-4.248732,-4.248732,-4.248732,-4.248732,-4.447357,-4.228238,-3.966359,-4.109745,-4.262160
2022-04-21,-4.447357,-4.447357,-4.447357,-4.447357,-4.447357,-4.228238,-3.966359,-4.109745,-4.262160,-4.353462
2022-04-22,-4.228238,-4.228238,-4.228238,-4.228238,-4.228238,-3.966359,-4.109745,-4.262160,-4.353462,-4.163767
2022-04-25,-3.966359,-3.966359,-3.966359,-3.966359,-3.966359,-4.109745,-4.262160,-4.353462,-4.163767,-3.912933
2022-04-26,-4.109745,-4.109745,-4.109745,-4.109745,-4.109745,-4.262160,-4.353462,-4.163767,-3.912933,-4.132607
2022-04-27,-4.262160,-4.262160,-4.262160,-4.262160,-4.262160,-4.353462,-4.163767,-3.912933,-4.132607,-3.863345
2022-04-28,-4.353462,-4.353462,-4.353462,-4.353462,-4.353462,-4.163767,-3.912933,-4.132607,-3.863345,-3.973335
2022-04-29,-4.163767,-4.163767,-4.163767,-4.163767,-4.163767,-3.912933,-4.132607,-3.863345,-3.973335,-3.962795
2022-05-02,-3.912933,-3.912933,-3.912933,-3.912933,-3.912933,-4.132607,-3.863345,-3.973335,-3.962795,-3.992134
2022-05-03,-4.132607,-4.132607,-4.132607,-4.132607,-4.132607,-3.863345,-3.973335,-3.962795,-3.992134,-3.877514
2022-05-04,-3.863345,-3.863345,-3.863345,-3.863345,-3.863345,-3.973335,-3.962795,-3.992134,-3.877514,-3.818328
2022-05-05,-3.973335,-3.973335,-3.973335,-3.973335,-3.973335,-3.962795,-3.992134,-3.877514,-3.818328,-3.806931
2022-05-06,-3.962795,-3.962795,-3.962795,-3.962795,-3.962795,-3.992134,-3.877514,-3.818328,-3.806931,-4.234825
2022-05-09,-3.992134,-3.992134,-3.992134,-3.992134,-3.992134,-3.877514,-3.818328,-3.806931,-4.234825,-4.035636
2022-05-10,-3.877514,-3.877514,-3.877514,-3.877514,-3.877514,-3.818328,-3.806931,-4.234825,-4.035636,-4.226865
2022-05-11,-3.818328,-3.818328,-3.818328,-3.818328,-3.818328,-3.806931,-4.234825,-4.035636,-4.226865,-4.127749
2022-05-12,-3.806931,-3.806931,-3.806931,-3.806931,-3.806931,-4.234825,-4.035636,-4.226865,-4.127749,-4.081048
2022-05-13,-4.234825,-4.234825,-4.234825,-4.234825,-4.234825,-4.035636,-4.226865,-4.127749,-4.081048,-4.186007
2022-05-16,-4.035636,-4.035636,-4.035636,-4.035636,-4.035636,-4.226865,-4.127749,-4.081048,-4.186007,-3.957965
2022-05-17,-4.226865,-4.226865,-4.226865,-4.226865,-4.226865,-4.127749,-4.081048,-4.186007,-3.957965,-3.682600
2022-05-18,-4.127749,-4.127749,-4.127749,-4.127749,-4.127749,-4.081048,-4.186007,-3.957965,-3.682600,-4.343715
2022-05-19,-4.081048,-4.081048,-4.081048,-4.081048,-4.081048,-4.186007,-3.957965,-3.682600,-4.343715,-4.484637
2022-05-20,-4.186007,-4.186007,-4.186007,-4.186007,-4.186007,-3.957965,-3.682600,-4.343715,-4.484637,-4.621290
2022-05-23,-3.957965,-3.957965,-3.957965,-3.957965,-3.957965,-3.682600,-4.343715,-4.484637,-4.621290,-4.254808
2022-05-24,-3.682600,-3.682600,-3.682600,-3.682600,-3.682600,-4.343715,-4.484637,-4.621290,-4.254808,-4.323074
2022-05-25,-4.343715,-4.343715,-4.343715,-4.343715,-4.343715,-4.484637,-4.621290,-4.254808,-4.323074,-4.372919
2022-05-26,-4.484637,-4.484637,-4.484637,-4.484637,-4.484637,-4.621290,-4.254808,-4.323074,-4.372919,-4.346004
2022-05-27,-4.621290,-4.621290,-4.621290,-4.621290,-4.621290,-4.254808,-4.323074,-4.372919,-4.346004,-4.538939
2022-05-31,-4.254808,-4.254808,-4.254808,-4.254808,-4.254808,-4.323074,-4.372919,-4.346004,-4.538939,-4.535665
2022-06-01,-4.323074,-4.323074,-4.323074,-4.323074,-4.323074,-4.372919,-4.346004,-4.538939,-4.535665,-4.465422
2022-06-02,-4.372919,-4.372919,-4.372919,-4.372919,-4.372919,-4.346004,-4.538939,-4.535665,-4.465422,-4.240236
2022-06-03,-4.346004,-4.346004,-4.346004,-4.346004,-4.346004,-4.538939,-4.535665,-4.465422,-4.240236,-4.068757
2022-06-06,-4.538939,-4.538939,-4.538939,-4.538939,-4.538939,-4.535665,-4.465422,-4.240236,-4.068757,-4.055489
2022-06-07,-4.535665,-4.535665,-4.535665,-4.535665,-4.535665,-4.465422,-4.240236,-4.068757,-4.055489,-4.056686
