date,RW_MSE,AR_MSE,HAR_MSE,ARFIMA_MSE,FNN_MSE,LSTM_MSE,NAR_MSE,RW_QLIKE,AR_QLIKE,HAR_QLIKE,ARFIMA_QLIKE,FNN_QLIKE,LSTM_QLIKE,NAR_QLIKE
2022-04-20,0.012957,0.003716,0.001779,0.000276,0.000264,0.001445,0.002555,0.027998,0.007742,0.003660,0.000558,0.000534,0.002965,0.005287
2022-04-21,0.052335,0.062100,0.054620,0.047768,0.053161,0.075838,0.061507,0.122640,0.147683,0.128452,0.111121,0.124736,0.183821,0.146147
2022-04-22,0.031228,0.086465,0.083982,0.080997,0.081962,0.109317,0.059237,0.070512,0.212464,0.205719,0.197651,0.200255,0.275974,0.140284
2022-04-25,0.042341,0.164775,0.154443,0.142899,0.108781,0.134678,0.129382,0.097600,0.440220,0.408581,0.373785,0.274454,0.349365,0.333795
2022-04-26,0.131358,0.013949,0.008612,0.014057,0.028814,0.032245,0.022386,0.209255,0.025825,0.016206,0.026017,0.051624,0.057416,0.040621
2022-04-27,0.047763,0.044742,0.068858,0.052392,0.021844,0.024985,0.031399,0.111109,0.103559,0.165332,0.122784,0.048331,0.055681,0.070924
2022-04-28,0.000076,0.012729,0.015339,0.018244,0.006076,0.012369,0.014513,0.000151,0.027487,0.033377,0.040008,0.012808,0.026678,0.031504
2022-04-29,0.036532,0.070665,0.089864,0.095399,0.074562,0.079523,0.061381,0.083337,0.170093,0.221747,0.236988,0.180422,0.193686,0.145820
2022-05-02,0.012091,0.100557,0.091546,0.100048,0.091256,0.072203,0.095332,0.026057,0.251327,0.226362,0.249904,0.225565,0.174160,0.236800
2022-05-03,0.137720,0.028904,0.017654,0.019358,0.013423,0.045566,0.025071,0.218273,0.051777,0.032378,0.035361,0.024888,0.079436,0.045243
2022-05-04,0.071652,0.067706,0.083106,0.075527,0.058581,0.041610,0.056727,0.172700,0.162305,0.203347,0.182991,0.138595,0.095793,0.133836
2022-05-05,0.001959,0.011159,0.011787,0.016664,0.019723,0.011350,0.015829,0.003805,0.023977,0.025377,0.036392,0.043413,0.024401,0.034488
2022-05-06,0.043179,0.089596,0.102557,0.111835,0.126992,0.090766,0.094489,0.099674,0.221012,0.256920,0.283128,0.326811,0.224219,0.234470
2022-05-09,0.030954,0.003632,0.001229,0.002667,0.014276,0.000002,0.008957,0.055243,0.007566,0.002517,0.005522,0.030969,0.000004,0.019100
2022-05-10,0.001791,0.001643,0.005956,0.003819,0.010540,0.000022,0.002536,0.003484,0.003376,0.012550,0.007964,0.022600,0.000043,0.005247
2022-05-11,0.055898,0.102964,0.099231,0.103954,0.125091,0.079636,0.109567,0.131713,0.258062,0.247628,0.260840,0.321273,0.193991,0.276683
2022-05-12,0.064378,0.195280,0.198141,0.217805,0.319622,0.194994,0.246586,0.153605,0.536293,0.545503,0.609729,0.967128,0.535373,0.706572
2022-05-13,0.287043,0.054922,0.060182,0.048400,0.000428,0.078559,0.011183,0.414013,0.094518,0.102874,0.084036,0.000843,0.131453,0.020869
2022-05-16,0.033278,0.036434,0.030088,0.037277,0.015798,0.079068,0.028452,0.059150,0.064416,0.053782,0.065817,0.029108,0.132232,0.051010
2022-05-17,0.006153,0.019033,0.024218,0.020750,0.014187,0.017235,0.016841,0.011686,0.034794,0.043778,0.037786,0.026250,0.031641,0.030948
2022-05-18,0.012388,0.001409,0.000094,0.001867,0.007132,0.015198,0.000911,0.026722,0.002891,0.000189,0.003843,0.015102,0.033056,0.001860
2022-05-19,0.187754,0.260449,0.176489,0.204386,0.249307,0.287071,0.248702,0.512226,0.754408,0.476646,0.565729,0.715903,0.848409,0.713823
2022-05-20,0.005385,0.049965,0.026430,0.028564,0.061717,0.040979,0.039944,0.010262,0.116647,0.059087,0.064147,0.146692,0.094235,0.091688
2022-05-23,0.021076,0.002541,0.000930,0.000041,0.004775,0.000722,0.002439,0.038352,0.005257,0.001898,0.000083,0.010006,0.001419,0.005043
2022-05-24,0.000498,0.014184,0.009683,0.005926,0.014801,0.002874,0.014647,0.001011,0.030762,0.020701,0.012484,0.032157,0.005960,0.031807
2022-05-25,0.044511,0.018217,0.021561,0.018683,0.006764,0.016418,0.015611,0.077718,0.033365,0.039192,0.034182,0.012815,0.030201,0.028775
2022-05-26,0.007876,0.010205,0.020113,0.017894,0.005994,0.007998,0.012286,0.014860,0.019102,0.036678,0.032799,0.011393,0.015083,0.022853
2022-05-27,0.034548,0.035647,0.065611,0.065612,0.038472,0.030471,0.041279,0.061273,0.063107,0.111413,0.111414,0.067797,0.054428,0.072425
2022-05-31,0.039008,0.016158,0.004469,0.002119,0.019954,0.027821,0.008229,0.089389,0.035238,0.009350,0.004372,0.043948,0.062382,0.017501
2022-06-01,0.000128,0.006171,0.000229,0.000278,0.003188,0.009669,0.000931,0.000254,0.013014,0.000453,0.000551,0.006622,0.020670,0.001901
2022-06-02,0.031095,0.010238,0.027243,0.036909,0.016518,0.010897,0.025068,0.055480,0.019163,0.048955,0.065207,0.030378,0.020354,0.045237
