date,RW_MSE,AR_MSE,HAR_MSE,ARFIMA_MSE,FNN_MSE,LSTM_MSE,NAR_MSE,RW_QLIKE,AR_QLIKE,HAR_QLIKE,ARFIMA_QLIKE,FNN_QLIKE,LSTM_QLIKE,NAR_QLIKE
2022-04-20,0.010049,0.017912,0.015108,0.009166,0.004251,0.006021,0.004764,0.021512,0.039245,0.032852,0.019560,0.008885,0.012689,0.009983
2022-04-21,0.016410,0.051555,0.043542,0.036232,0.015716,0.025497,0.029365,0.035812,0.120665,0.100575,0.082605,0.034233,0.056884,0.066055
2022-04-22,0.022225,0.068576,0.078120,0.076268,0.047631,0.058141,0.051280,0.049218,0.164592,0.189923,0.184968,0.110777,0.137465,0.119968
2022-04-25,0.004082,0.014238,0.011963,0.016539,0.003010,0.002299,0.010938,0.007826,0.030884,0.025771,0.036106,0.006245,0.004749,0.023485
2022-04-26,0.001259,0.005222,0.009187,0.008322,0.000071,0.000233,0.001108,0.002459,0.010967,0.019606,0.017704,0.000142,0.000461,0.002267
2022-04-27,0.101052,0.153520,0.169008,0.172468,0.112450,0.101408,0.134572,0.252707,0.405778,0.453316,0.464077,0.284879,0.253706,0.349051
2022-04-28,0.097722,0.008755,0.006875,0.001296,0.004677,0.018863,0.001637,0.160359,0.016467,0.013021,0.002530,0.008942,0.034496,0.003187
2022-04-29,0.207619,0.235569,0.261043,0.260972,0.204853,0.156681,0.220030,0.576260,0.669105,0.756476,0.756227,0.567247,0.415397,0.617097
2022-05-02,0.007666,0.134056,0.129130,0.175100,0.181348,0.086998,0.220488,0.016268,0.347529,0.333058,0.472297,0.491928,0.213916,0.618613
2022-05-03,0.240199,0.065377,0.044997,0.025811,0.008928,0.094021,0.003203,0.355437,0.111047,0.078510,0.046511,0.016783,0.154841,0.006171
2022-05-04,0.242681,0.232486,0.249042,0.252497,0.235885,0.117932,0.255359,0.693238,0.658709,0.714991,0.726876,0.670175,0.300570,0.736757
2022-05-05,0.009354,0.020679,0.023978,0.053269,0.091706,0.012849,0.109764,0.017558,0.045626,0.053314,0.125012,0.226801,0.027754,0.277241
2022-05-06,0.042924,0.122644,0.137074,0.187354,0.266225,0.096050,0.309413,0.099043,0.314169,0.356451,0.510953,0.774565,0.238791,0.929450
2022-05-09,0.159739,0.013946,0.021272,0.004695,0.006242,0.050695,0.012657,0.248969,0.025819,0.038693,0.008976,0.013168,0.087741,0.027325
2022-05-10,0.085645,0.087921,0.122179,0.128749,0.183883,0.047696,0.190733,0.210231,0.216431,0.312823,0.331942,0.499939,0.110941,0.521724
2022-05-11,0.006052,0.015742,0.009991,0.033466,0.096424,0.004719,0.116389,0.011500,0.034292,0.021383,0.075900,0.239826,0.009886,0.296140
2022-05-12,0.067194,0.147267,0.154760,0.201997,0.336107,0.119412,0.351826,0.160963,0.386883,0.409545,0.557973,1.028826,0.304832,1.088637
2022-05-13,0.240695,0.040705,0.058819,0.024635,0.003010,0.077671,0.006727,0.356070,0.071481,0.100718,0.044494,0.006247,0.130092,0.014220
2022-05-16,0.000402,0.000006,0.000826,0.001265,0.019766,0.006599,0.020171,0.000814,0.000011,0.001683,0.002590,0.043513,0.012512,0.044449
