date,RW_MSE,AR_MSE,HAR_MSE,ARFIMA_MSE,FNN_MSE,LSTM_MSE,NAR_MSE,RW_QLIKE,AR_QLIKE,HAR_QLIKE,ARFIMA_QLIKE,FNN_QLIKE,LSTM_QLIKE,NAR_QLIKE
2022-04-20,0.043900,0.011976,0.012669,0.015607,0.007807,0.034073,0.016405,0.101465,0.025799,0.027352,0.033985,0.016575,0.077368,0.035800
2022-04-21,0.039452,0.014827,0.026322,0.023826,0.009499,0.006373,0.020262,0.069416,0.027387,0.047384,0.043105,0.017821,0.012094,0.036937
2022-04-22,0.048013,0.033567,0.033671,0.024370,0.024963,0.049265,0.018334,0.111736,0.076145,0.076395,0.054234,0.055628,0.114884,0.040215
2022-04-25,0.068581,0.137628,0.121589,0.105606,0.136200,0.148021,0.105502,0.164603,0.358092,0.311116,0.265486,0.353864,0.389152,0.265193
2022-04-26,0.020560,0.002588,0.004142,0.001380,0.021264,0.005239,0.000023,0.037455,0.005356,0.008652,0.002831,0.046982,0.011003,0.000045
2022-04-27,0.023230,0.005063,0.002842,0.006077,0.006137,0.009119,0.010248,0.042079,0.009662,0.005488,0.011546,0.011658,0.017129,0.019180
2022-04-28,0.008336,0.011469,0.006102,0.009529,0.023683,0.009662,0.012573,0.015702,0.021384,0.011593,0.017877,0.042859,0.018118,0.023368
2022-04-29,0.035984,0.019457,0.021001,0.022391,0.013591,0.038558,0.018296,0.082003,0.042799,0.046372,0.049604,0.029425,0.088285,0.040126
2022-05-02,0.062918,0.114878,0.092793,0.102756,0.144790,0.146387,0.104168,0.149806,0.291810,0.229792,0.257479,0.379445,0.384238,0.261440
2022-05-03,0.048257,0.000278,0.001215,0.001360,0.006522,0.000082,0.004887,0.083804,0.000550,0.002375,0.002653,0.013776,0.000163,0.009333
2022-05-04,0.072502,0.098267,0.109077,0.096312,0.093668,0.086815,0.068313,0.174952,0.244944,0.275294,0.239514,0.232205,0.213416,0.163899
2022-05-05,0.012098,0.003858,0.005235,0.004755,0.028155,0.002788,0.002732,0.022515,0.008046,0.010994,0.009963,0.063175,0.005777,0.005658
2022-05-06,0.000111,0.005280,0.010741,0.011672,0.030621,0.007475,0.004782,0.000224,0.011090,0.023046,0.025121,0.069057,0.015849,0.010020
2022-05-09,0.000861,0.003382,0.002924,0.004612,0.017604,0.001784,0.003783,0.001688,0.007034,0.006065,0.009655,0.038541,0.003670,0.007885
2022-05-10,0.013138,0.027693,0.033741,0.036758,0.067358,0.034581,0.020648,0.028404,0.062078,0.076564,0.083888,0.161394,0.078598,0.045553
2022-05-11,0.003503,0.033391,0.029297,0.036535,0.095892,0.034479,0.026789,0.007291,0.075718,0.065894,0.083344,0.238351,0.078348,0.059935
2022-05-12,0.000130,0.020974,0.021827,0.025207,0.092924,0.018875,0.017243,0.000262,0.046309,0.048290,0.056201,0.230152,0.041459,0.037715
2022-05-13,0.183093,0.093993,0.090111,0.083205,0.019109,0.108342,0.100141,0.280736,0.154798,0.148979,0.138539,0.034927,0.176035,0.163950
2022-05-16,0.039676,0.008413,0.012116,0.013089,0.009322,0.012494,0.004167,0.091029,0.017904,0.026113,0.028295,0.019904,0.026958,0.008704
2022-05-17,0.036569,0.017565,0.027500,0.019884,0.003724,0.008254,0.021074,0.064641,0.032221,0.049392,0.036279,0.007154,0.015552,0.038348
2022-05-18,0.009824,0.004271,0.001727,0.002948,0.008424,0.015246,0.001526,0.021013,0.008928,0.003551,0.006115,0.017929,0.033166,0.003134
2022-05-19,0.002181,0.015326,0.004141,0.004849,0.016790,0.018108,0.007641,0.004501,0.033347,0.008649,0.010164,0.036679,0.039695,0.016212
2022-05-20,0.011016,0.000714,0.002142,0.003370,0.003727,0.000293,0.005980,0.020569,0.001403,0.004155,0.006486,0.007161,0.000593,0.011367
2022-05-23,0.052003,0.066418,0.050742,0.048150,0.038727,0.075263,0.049646,0.121799,0.158930,0.118608,0.112079,0.088699,0.182288,0.115842
2022-05-24,0.075826,0.177925,0.152040,0.150669,0.140749,0.208747,0.160800,0.183789,0.481153,0.401290,0.397142,0.367369,0.579945,0.427994
2022-05-25,0.437073,0.172644,0.188973,0.185366,0.173453,0.157538,0.143917,0.588770,0.266618,0.288615,0.283788,0.267717,0.245934,0.226990
2022-05-26,0.019859,0.078555,0.069305,0.075706,0.113080,0.091715,0.108447,0.036235,0.131446,0.117176,0.127074,0.182954,0.151388,0.176188
2022-05-27,0.018674,0.076905,0.094356,0.087264,0.090682,0.042324,0.078832,0.034166,0.128917,0.155342,0.144688,0.149836,0.074141,0.131871
2022-05-31,0.134309,0.045693,0.023141,0.032067,0.094535,0.107254,0.050505,0.348276,0.105930,0.051356,0.072529,0.234599,0.270137,0.118009
2022-06-01,0.004660,0.004417,0.003674,0.001473,0.006677,0.017103,0.001991,0.008910,0.009239,0.007060,0.002873,0.014112,0.037393,0.004103
2022-06-02,0.002485,0.000148,0.001333,0.004638,0.000023,0.001090,0.005327,0.004808,0.000299,0.002602,0.008869,0.000047,0.002229,0.010154
2022-06-03,0.000724,0.003658,0.000330,0.000218,0.000006,0.004128,0.000161,0.001475,0.007620,0.000668,0.000432,0.000012,0.008621,0.000324
2022-06-06,0.037224,0.029071,0.038086,0.045782,0.032453,0.014810,0.035957,0.065729,0.052059,0.067158,0.079788,0.057766,0.027357,0.063624
2022-06-07,0.000011,0.003938,0.011257,0.012276,0.003163,0.000620,0.004725,0.000021,0.007556,0.021003,0.022835,0.006095,0.001219,0.009031
2022-06-08,0.004934,0.001923,0.000225,0.000417,0.003843,0.008029,0.001327,0.010347,0.003961,0.000446,0.000822,0.008015,0.017062,0.002719
