panel,model_1,model_2,alpha_1,alpha_2,p_value_1,verdict
AAPL,RW,AR,-0.0527,1.0542,0.5758,model_2_encompasses_1
AAPL,RW,HAR,-0.0832,1.0875,0.4046,model_2_encompasses_1
AAPL,RW,ARFIMA,-0.1101,1.1111,0.2273,model_2_encompasses_1
AAPL,RW,FNN,0.5144,0.3588,0.0000,mixed
AAPL,RW,LSTM,0.0528,0.9271,0.4806,model_2_encompasses_1
AAPL,RW,NAR,0.0624,0.8962,0.3824,model_2_encompasses_1
AAPL,AR,RW,1.0542,-0.0527,0.0000,model_1_encompasses_2
AAPL,AR,HAR,0.3586,0.6301,0.1603,model_2_dominant
AAPL,AR,ARFIMA,0.0228,0.9532,0.9164,model_2_encompasses_1
AAPL,AR,FNN,0.8904,0.1254,0.0000,model_1_encompasses_2
AAPL,AR,LSTM,0.4384,0.5585,0.0145,mixed
AAPL,AR,NAR,0.1719,0.8054,0.4214,model_2_encompasses_1
AAPL,HAR,RW,1.0875,-0.0832,0.0000,model_1_encompasses_2
AAPL,HAR,AR,0.6301,0.3586,0.0131,model_1_dominant
AAPL,HAR,ARFIMA,-0.6337,1.5969,0.1213,model_2_encompasses_1
AAPL,HAR,FNN,0.9163,0.0856,0.0000,model_1_encompasses_2
AAPL,HAR,LSTM,0.5205,0.4786,0.0005,mixed
AAPL,HAR,NAR,0.3519,0.6301,0.0947,model_2_dominant
AAPL,ARFIMA,RW,1.1111,-0.1101,0.0000,model_1_encompasses_2
AAPL,ARFIMA,AR,0.9532,0.0228,0.0000,model_1_encompasses_2
AAPL,ARFIMA,HAR,1.5969,-0.6337,0.0001,model_1_encompasses_2
AAPL,ARFIMA,FNN,0.9532,0.0286,0.0000,model_1_encompasses_2
AAPL,ARFIMA,LSTM,0.7402,0.2460,0.0000,model_1_encompasses_2
AAPL,ARFIMA,NAR,0.6229,0.3577,0.0010,model_1_dominant
AAPL,FNN,RW,0.3588,0.5144,0.0001,mixed
AAPL,FNN,AR,0.1254,0.8904,0.1118,model_2_encompasses_1
AAPL,FNN,HAR,0.0856,0.9163,0.3248,model_2_encompasses_1
