,RW,AR,HAR,ARFIMA,LSTAR,FNN,ENN,JNN,LSTM,NAR
RW,,-0.0168,-0.0818,-0.0703,0.5161,0.4566,0.5249,0.4448,0.1010,0.1085
AR,1.0155,,0.0895,-0.0453,1.0219,0.8511,0.8997,0.8488,0.6439,0.6280
HAR,1.0889,0.9027,,-0.1872,1.0913,0.8872,0.9200,0.8942,0.7277,0.8447
ARFIMA,1.0697,1.0305,1.1714,,1.0670,0.9339,0.9611,0.9458,0.8984,1.0510
LSTAR,0.3157,-0.0282,-0.1071,-0.0870,,0.5782,0.6608,0.5618,0.0908,0.1124
FNN,0.4611,0.1638,0.1187,0.0605,0.4580,,0.5878,0.4280,0.1236,0.1529
ENN,0.3880,0.1221,0.0915,0.0328,0.3972,0.5341,,0.5090,0.1329,0.1400
JNN,0.5074,0.1787,0.1188,0.0502,0.5053,0.6258,0.6553,,0.1573,0.1178
LSTM,0.8697,0.3537,0.2698,0.0908,0.9052,0.8808,0.8867,0.8610,,0.4844
NAR,0.8501,0.3647,0.1468,-0.0655,0.8741,0.8448,0.8702,0.8817,0.5071,
