,RW,AR,HAR,ARFIMA,ARFIMAX,LSTAR,FNN,ENN,JNN,LSTM,NAR,NARX
RW,,-0.0168,-0.0818,-0.0703,0.2162,0.5161,0.4566,0.5249,0.4448,0.1010,0.1085,0.2176
AR,1.0155,,0.0895,-0.0453,0.4135,1.0219,0.8511,0.8997,0.8488,0.6439,0.6280,0.4216
HAR,1.0889,0.9027,,-0.1872,0.4368,1.0913,0.8872,0.9200,0.8942,0.7277,0.8447,0.4784
ARFIMA,1.0697,1.0305,1.1714,,0.4675,1.0670,0.9339,0.9611,0.9458,0.8984,1.0510,0.5378
ARFIMAX,0.7008,0.5712,0.5436,0.5122,,0.7085,0.7368,0.7598,0.7255,0.5823,0.5885,0.5704
LSTAR,0.3157,-0.0282,-0.1071,-0.0870,0.2664,,0.5782,0.6608,0.5618,0.0908,0.1124,0.2623
FNN,0.4611,0.1638,0.1187,0.0605,0.2431,0.4580,,0.5878,0.4280,0.1236,0.1529,0.1316
ENN,0.3880,0.1221,0.0915,0.0328,0.2416,0.3972,0.5341,,0.5090,0.1329,0.1400,0.1524
JNN,0.5074,0.1787,0.1188,0.0502,0.2777,0.5053,0.6258,0.6553,,0.1573,0.1178,0.1673
LSTM,0.8697,0.3537,0.2698,0.0908,0.4015,0.9052,0.8808,0.8867,0.8610,,0.4844,0.3962
NAR,0.8501,0.3647,0.1468,-0.0655,0.3863,0.8741,0.8448,0.8702,0.8817,0.5071,,0.3513
NARX,0.7257,0.5760,0.5168,0.4529,0.3831,0.7385,0.8533,0.8515,0.8336,0.5996,0.6323,
